mechanism,rate,rate_pct,gene,rmse_mean,rmse_std,mae_mean,n_reps,n_predictors_selected_mean
mcar,0.2,20,UBE2T,0.3720268569024695,0.015751307515377826,0.28620711382444364,5,21.2
mcar,0.2,20,CDC20,0.37226799696185014,0.017841792365715772,0.2820066288110774,5,20.2
mcar,0.2,20,MELK,0.3765111114680832,0.017731835918773708,0.282760016928673,5,22.8
mcar,0.2,20,ORC6,0.38264960174109225,0.011014994158482286,0.3133893422336361,5,23.8
mcar,0.2,20,UBE2C,0.3968758850703059,0.02313963595709055,0.300448356325111,5,23.4
mcar,0.2,20,CENPF,0.41896443068871125,0.006988792151134201,0.31287538286534633,5,22.2
mcar,0.2,20,CCNE1,0.4585360215883453,0.05201635848056329,0.31410971272488164,5,23.2
mcar,0.2,20,MIA,0.46134179579599993,0.027303756518000898,0.28186701142225934,5,22.6
mcar,0.2,20,GRB7,0.4848731652164859,0.013849161768184515,0.36318948898752135,5,19.6
mcar,0.2,20,BIRC5,0.49205866076413474,0.03978886545695971,0.3575136078428575,5,21.2
mcar,0.2,20,TYMS,0.49471620080157974,0.020931766041250723,0.38348409229789304,5,23.0
mcar,0.2,20,TMEM45B,0.5057096906043377,0.023829745066274163,0.3708411957525125,5,22.8
mcar,0.2,20,ACTR3B,0.5105968495568962,0.02543107167726065,0.31934887162162146,5,21.0
mcar,0.2,20,ERBB2,0.5205829206428533,0.04055615717154281,0.38942922292264404,5,21.4
mcar,0.2,20,FOXA1,0.5460776659800276,0.03959497204256971,0.3991094616140791,5,21.4
mcar,0.2,20,CXXC5,0.5614031490529843,0.014479695526414179,0.42802643779766913,5,24.0
mcar,0.2,20,GPR160,0.5639898311194018,0.01685879653812265,0.4409614196218038,5,22.8
mcar,0.2,20,EGFR,0.5677189820744403,0.057440251489626094,0.3001604393259427,5,21.4
mcar,0.2,20,KRT5,0.5749911928958813,0.060200180264662506,0.3144802179377619,5,23.6
mcar,0.2,20,BLVRA,0.5993943772134023,0.030325743884074857,0.45033708242420756,5,21.4
mcar,0.2,20,MLPH,0.6448271409392693,0.04324246492851775,0.48747921622974133,5,23.4
mcar,0.2,20,BCL2,0.6596265942658119,0.02221319792706482,0.5056737906168188,5,23.4
mcar,0.2,20,KRT14,0.6648052447311773,0.05405298083275232,0.39223886922221896,5,21.4
mcar,0.2,20,FOXC1,0.7332628568530861,0.02440477565541866,0.5379161949195822,5,23.4
mcar,0.2,20,KRT17,0.7622912156691579,0.050488758978423094,0.517678719946301,5,3.8
mcar,0.2,20,CDH3,0.8193578358817479,0.03140006822849767,0.6197308545288681,5,23.8
mcar,0.2,20,MYC,0.8204883876504674,0.033306000336977934,0.6511740978285173,5,23.6
mcar,0.2,20,PGR,0.8529447209351166,0.0455344223097048,0.6501785684346421,5,22.8
mcar,0.2,20,FGFR4,0.8770285304189805,0.04638705427608475,0.5905839080662098,5,23.8
mcar,0.2,20,PHGDH,0.9008795601650655,0.06563365931898564,0.7090476326251147,5,23.0
mcar,0.2,20,ESR1,0.9239365396154957,0.04365413061826417,0.7269935088973606,5,21.4
mcar,0.2,20,SLC39A6,0.9578375031361626,0.022662705117176392,0.758304614410651,5,23.8
mcar,0.2,20,SFRP1,0.9595442354138306,0.05484151871222496,0.6593932956041054,5,19.6
mcar,0.2,20,MAPT,1.0691646733508562,0.033857533529417116,0.8224088376565654,5,22.2
mcar,0.2,20,NAT1,1.2387848144289404,0.04780694971793905,0.9662217795630665,5,23.6
mcar,0.2,20,MMP11,1.2636419547510735,0.04882362154404691,0.9936006350357026,5,22.2
mcar,0.3,30,MYBL2,0.16685980699187658,0.00497628148264959,0.1289314077500775,5,13.0
mcar,0.3,30,CDC6,0.19324977722461997,0.014924026837318511,0.13197272825622805,5,12.6
mcar,0.3,30,MKI67,0.21167759291685173,0.009260311254100762,0.15967215960880932,5,23.2
mcar,0.3,30,MDM2,0.21916138725309695,0.010760446841493253,0.1523565995137086,5,18.4
mcar,0.3,30,NDC80,0.23221946686522266,0.008772930329940698,0.17630967325807856,5,23.4
mcar,0.3,30,KIF2C,0.25066899466269293,0.009601269125884049,0.19199218300692755,5,9.8
mcar,0.3,30,CEP55,0.2715390283529128,0.010913835392667522,0.20736119280889423,5,22.2
mcar,0.3,30,NUF2,0.29597587144010035,0.024269754864693214,0.20135505618395758,5,22.8
mcar,0.3,30,ANLN,0.3018536300655913,0.008810453125798274,0.22699477326804351,5,21.2
mcar,0.3,30,BAG1,0.30643003785545436,0.015103428771092364,0.21825649195742244,5,21.4
