mechanism,rate,rate_pct,replicate,seed,mask_hash,mask_npz_sha16,rmse,mae,classification,svr_coverage,fallback_rate,n_predictor_nans_at_impute,n_genes_completed,n_failures,wall_seconds,evaluation_protocol,input_protocol,predictor_values,selection_protocol,use_scaler,max_candidates
mar,0.1,10,1,1117045,dd40ff6ab7cbe8c1,e6d2c1fb19a66b6c,0.6220266079393173,0.4135800141067745,A,1.0,0.0,0,50,0,5119.088611400002,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.1,10,2,2117048,1126850b2ab068b4,8c756c2f4ca169be,0.6364105257019339,0.4162120330966739,A,1.0,0.0,0,50,0,5129.693302300002,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.1,10,3,3117051,a6e42dc1508de8b9,37286902a3b1d807,0.6423945365163464,0.4196148644370832,A,1.0,0.0,0,50,0,5076.405151200001,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.1,10,4,4117054,f8e69fc8e478b26d,300151b2314cb502,0.6398314055674992,0.41548596185962383,A,1.0,0.0,0,50,0,4980.31203999999,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.2,20,0,217042,7fc2f2c153ce31fe,ef4b8e761d627b6f,0.6417125419656355,0.4197721781674413,A,1.0,0.0,0,50,0,4236.364920699998,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.2,20,1,1217045,66dcff0b9b3fd78b,4f4bc2357b8a8a31,0.6314675165357442,0.4162248254213697,A,1.0,0.0,0,50,0,4307.929459799998,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.2,20,2,2217048,f5a2f577b75a9009,f71cfb303f9af2c9,0.6377847399602956,0.4177898944708718,A,1.0,0.0,0,50,0,4179.666863900005,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.2,20,3,3217051,ab6dbc5c3a3e56d5,3c38fc4248a9b940,0.643394014760074,0.4212699758822335,A,1.0,0.0,0,50,0,4183.656380700006,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.2,20,4,4217054,0f6fa27b6a541e02,0de4a4f7ea3bd90c,0.644256137380235,0.42133195823563685,A,1.0,0.0,0,50,0,4158.024559099998,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.3,30,0,317042,95ab2432f4cfd174,408ead5fd5f9f6c9,0.6390872847560543,0.41726280636670654,A,1.0,0.0,0,50,0,3320.1534656000003,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.3,30,1,1317045,a7b8d456896e3063,6e6577e2351a63f2,0.6387470392970559,0.4193931249853288,A,1.0,0.0,0,50,0,3394.5062880999903,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.3,30,2,2317048,09b325fe8c84aa1a,4111e108ab37c8e8,0.6364776719153383,0.41545721206870306,A,1.0,0.0,0,50,0,3383.1915474999987,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.3,30,3,3317051,50e81e668e8f12b3,1ce4c54ec1d24773,0.6413714646379826,0.42170295389909856,A,1.0,0.0,0,50,0,3501.818228999997,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
mar,0.3,30,4,4317054,8e05cc26c0502af1,4201e47abf91c90d,0.6417852458191478,0.4190263910528475,A,1.0,0.0,0,50,0,3334.7386838000093,repeated_mask_holdout,target_wise_complete_predictors,original_complete_matrix,leakage_safe,False,49
