cohort,mechanism,imputer,missing_rate,f1_mean,f1_std,bal_mean,bal_std,n_cls_rows,rmse_mean,rmse_std,mae_mean,mae_std,corr_rv_mean,corr_frobenius_rel_mean
metabric,mcar,"KNN(k=5,dist)",0.2,0.8691416635535308,0.015847903373292595,0.8595983667594709,0.01748800369869037,50,0.7095707550674927,0.018666778306013775,0.4818204136789232,0.010495679882808404,0.9969743661175774,0.08924308767827639
metabric,mcar,RFECA_SVR(k=5),0.2,0.8699658920139648,0.01753249747912107,0.8605203293710997,0.017826526058410504,50,0.7231464675236973,0.018342062665282464,0.4815747325861956,0.008965755289063165,0.9962548502595415,0.09964145892802423
metabric,mcar,RFECA_SVR(k=10),0.2,0.8699883418704252,0.015241754023574118,0.8607514740287524,0.016003756726897116,50,0.7059020033174648,0.017471842100445473,0.4700406210726004,0.009135106647842828,0.9965909314014977,0.09863347573829379
metabric,mcar,RFECA_SVR(k=20),0.2,0.8748686891553615,0.016064608833883918,0.865457767663801,0.01634187187236575,50,0.7059426056470144,0.01813361610882965,0.4705407966283598,0.009351963212756068,0.996848921206677,0.09328320889335401
metabric,mcar,MissForest,0.2,0.8741775961522379,0.014666455903730783,0.8646195181227273,0.016385652592466483,50,0.6371393598958994,0.016651626118515152,0.4259799108337049,0.008827549373507092,0.9976544752451604,0.08558368360478794
metabric,mcar,SimpleMean,0.3,0.8550846750816824,0.01687651236868527,0.8453412114914041,0.01847016289984098,50,1.0688084698772478,0.016775138041021008,0.7538805993199805,0.009972455088563708,0.9795621827478052,0.3012994412822906
metabric,mcar,"KNN(k=5,dist)",0.3,0.8582261234591262,0.017149947601378585,0.8484000517739285,0.018178997261567534,50,0.7335889223533445,0.017523402628837188,0.4992099225485284,0.010017040545982658,0.9945285305584187,0.12421567068686284
metabric,mcar,RFECA_SVR(k=5),0.3,0.8611557612545109,0.016291041355183934,0.8521263385737069,0.016639882096003967,50,0.7433308152272197,0.017887173221129583,0.4970330291449667,0.00900729806694679,0.9930525068504295,0.13752041818899946
metabric,mcar,RFECA_SVR(k=10),0.3,0.863862901789948,0.01662064335091341,0.854794147230604,0.017192624311890815,50,0.7293349315575419,0.01794231845183444,0.4876072122536651,0.008883715169953755,0.9936388041852794,0.13827929376032658
metabric,mcar,RFECA_SVR(k=20),0.3,0.8627088318455879,0.018803994552445285,0.8543283370103011,0.019487597737064852,50,0.7360615266759072,0.0174004914176812,0.4932731240181425,0.008576959948426876,0.9941441473759676,0.12899380033316882
metabric,mcar,MissForest,0.3,0.8662237147375467,0.01454037978089944,0.8574428629778437,0.016298052977546013,50,0.6532032377531888,0.014464462860304096,0.4367002987725761,0.007693695834344002,0.9958367736412238,0.1215337288306297
discovery,mar,SimpleMean,0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mar,"KNN(k=5,dist)",0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mar,RFECA_SVR(k=5),0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mar,RFECA_SVR(k=10),0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mar,RFECA_SVR(k=20),0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mar,MissForest,0.0,0.9062598753903103,0.034908337047999095,0.8916666666666666,0.05552011341124293,50,,,,,,
discovery,mar,SimpleMean,0.05,0.9220299644799645,0.05059464437685042,0.9137121212121212,0.058196989058099,50,3.033038672853724,0.6148970205369987,2.2606505593834836,0.43043318445922735,0.9878405996994145,0.15674892325748008
discovery,mar,"KNN(k=5,dist)",0.05,0.9341653399740357,0.048646026388913126,0.9245833333333333,0.058607530975761365,50,2.1041907285185983,0.38762073481794007,1.5071751862253548,0.26073190694691345,0.9943017860791958,0.1041777338877895
discovery,mar,RFECA_SVR(k=5),0.05,0.9190361160578553,0.04260263561799812,0.91,0.05446347254141842,50,2.100681616263148,0.46060837165216223,1.4628196775973734,0.2792107903022976,0.9936628057456756,0.10920226167004916
