cohort,mechanism,missing_rate,metric,higher_is_better,n_blocks,n_imputers,friedman_chi2,p_value,note,mean_rank__SimpleMean,mean_value__SimpleMean,"mean_rank__KNN(k=5,dist)","mean_value__KNN(k=5,dist)",mean_rank__RFECA_SVR(k=20),mean_value__RFECA_SVR(k=20),mean_rank__MissForest,mean_value__MissForest
metabric,mcar,0.05,rmse,False,10,4,27.47999999999999,4.669409820165777e-06,,4.0,1.0667378370555554,2.7,0.6795133633865713,2.3,0.6734393084175554,1.0,0.6172462402652915
metabric,mcar,0.1,rmse,False,10,4,28.079999999999984,3.494281590861251e-06,,4.0,1.0632839529894023,2.8,0.6914800654508626,2.2,0.6858574707692758,1.0,0.6236001728353093
metabric,mcar,0.2,rmse,False,10,4,27.47999999999999,4.669409820165777e-06,,4.0,1.0675325388276042,2.7,0.7095707550674925,2.3,0.7059426056470143,1.0,0.6371393598958995
metabric,mcar,0.3,rmse,False,10,4,28.079999999999984,3.494281590861251e-06,,4.0,1.068808469877248,2.2,0.7335889223533446,2.8,0.7360615266759072,1.0,0.6532032377531888
metabric,mcar,0.05,corr_rv,True,10,4,27.120000000000005,5.55598717156124e-06,,4.0,0.9985714920820682,2.6,0.9994371221355808,2.4,0.9994486358123824,1.0,0.9995316108810928
metabric,mcar,0.1,corr_rv,True,10,4,27.120000000000005,5.55598717156124e-06,,4.0,0.9966124942973279,2.6,0.9987166407340518,2.4,0.9987456566432924,1.0,0.9989516647384129
metabric,mcar,0.2,corr_rv,True,10,4,28.079999999999984,3.494281590861251e-06,,4.0,0.9903330879887285,2.2,0.9969743661175772,2.8,0.9968489212066768,1.0,0.9976544752451604
metabric,mcar,0.3,corr_rv,True,10,4,28.919999999999987,2.3278065917953752e-06,,4.0,0.9795621827478052,2.1,0.9945285305584186,2.9,0.9941441473759676,1.0,0.9958367736412237
discovery,mar,0.05,f1_macro,True,10,4,3.865979381443299,0.2763043351538913,,2.9,0.9220299644799645,1.95,0.9341653399740357,2.85,0.9232721252177776,2.3,0.928858846467542
discovery,mar,0.1,f1_macro,True,10,4,3.787878787878788,0.28529918264289417,,3.0,0.9116729847447239,2.25,0.9241778115604202,2.75,0.9192542916021177,2.0,0.9260019545671719
discovery,mar,0.2,f1_macro,True,10,4,15.359999999999985,0.0015334708333917754,,3.3,0.8978391977587629,1.7,0.9283549399875486,3.3,0.8932843813191639,1.7,0.926764894525764
discovery,mar,0.3,f1_macro,True,10,4,8.879999999999995,0.030929639502284383,,3.2,0.8735600879796532,2.0,0.8891159432355085,3.0,0.8738902317489273,1.8,0.8960713607648392
discovery,mar,0.05,rmse,False,10,4,30.0,1.3800570312932553e-06,,4.0,3.0330386728537237,2.0,2.1041907285185983,3.0,2.4614301454742744,1.0,1.9185008004476796
discovery,mar,0.1,rmse,False,10,4,28.919999999999987,2.3278065917953752e-06,,3.9,2.9893512602003467,2.0,2.1978076836959892,3.1,2.7391707486616017,1.0,2.018421128757418
discovery,mar,0.2,rmse,False,10,4,26.400000000000006,7.864274593371464e-06,,3.7,2.944471595191907,1.9,2.202264428425988,3.3,2.875325803708043,1.1,2.1148904888293627
discovery,mar,0.3,rmse,False,10,4,28.919999999999987,2.3278065917953752e-06,,3.1,2.93204585025975,2.0,2.284470673693334,3.9,3.0672129711786233,1.0,2.152384195473986
discovery,mar,0.05,corr_rv,True,10,4,28.919999999999987,2.3278065917953752e-06,,3.9,0.9878405996994146,2.0,0.9943017860791958,3.1,0.9899348508292555,1.0,0.9953590366828836
discovery,mar,0.1,corr_rv,True,10,4,28.919999999999987,2.3278065917953752e-06,,3.9,0.9767277308923916,2.0,0.9881625295888018,3.1,0.9794746924902071,1.0,0.9902940253436092
discovery,mar,0.2,corr_rv,True,10,4,28.919999999999987,2.3278065917953752e-06,,3.9,0.948716014990462,2.0,0.9767158685511621,3.1,0.9533145528376433,1.0,0.9819462641031208
discovery,mar,0.3,corr_rv,True,10,4,27.120000000000005,5.55598717156124e-06,,3.6,0.9116598357490139,2.0,0.9633384089117574,3.4,0.9139264296406088,1.0,0.9711386610011562
