cohort,mechanism,missing_rate,metric,higher_is_better,n_blocks,n_imputers,friedman_chi2,p_value,note,mean_rank__SimpleMean,mean_value__SimpleMean,"mean_rank__KNN(k=5,dist)","mean_value__KNN(k=5,dist)",mean_rank__RFECA_SVR(k=5),mean_value__RFECA_SVR(k=5),mean_rank__RFECA_SVR(k=10),mean_value__RFECA_SVR(k=10),mean_rank__RFECA_SVR(k=20),mean_value__RFECA_SVR(k=20),mean_rank__MissForest,mean_value__MissForest
discovery,mar,0.1,f1_macro,True,10,6,4.514705882352927,0.47791825595336546,,4.4,0.9116729847447239,3.05,0.9241778115604202,3.65,0.919097001307871,3.5,0.9177577077511859,3.6,0.9192542916021177,2.8,0.9260019545671719
discovery,mar,0.2,f1_macro,True,10,6,20.273775216138322,0.001110176527348636,,4.5,0.8978391977587629,1.9,0.9283549399875486,3.75,0.904445165945166,3.9,0.9092047734873823,4.75,0.8932843813191639,2.2,0.926764894525764
discovery,mar,0.3,f1_macro,True,10,6,10.742857142857133,0.05672358536917789,,4.3,0.8735600879796532,2.8,0.8891159432355085,3.0,0.8902480753545972,4.1,0.8802132140806054,4.4,0.8738902317489273,2.4,0.8960713607648392
discovery,mar,0.05,rmse,False,10,6,45.542857142857144,1.1251884965710598e-08,,6.0,3.0330386728537237,2.7,2.1041907285185983,2.5,2.100681616263148,3.7,2.2021118067837158,5.0,2.4614301454742744,1.1,1.9185008004476796
discovery,mar,0.1,rmse,False,10,6,48.28571428571428,3.1054922594059283e-09,,5.9,2.9893512602003467,2.3,2.1978076836959892,2.7,2.299340362759831,4.0,2.4673704994704417,5.1,2.7391707486616017,1.0,2.018421128757418
discovery,mar,0.2,rmse,False,10,6,48.28571428571428,3.1054922594059283e-09,,5.7,2.944471595191907,1.9,2.202264428425988,3.0,2.4281262483168207,4.0,2.532989989419828,5.3,2.875325803708043,1.1,2.1148904888293627
discovery,mar,0.3,rmse,False,10,6,48.457142857142856,2.8649730580163434e-09,,4.9,2.93204585025975,2.0,2.284470673693334,3.0,2.5556382894695586,4.2,2.8020246525021455,5.9,3.0672129711786233,1.0,2.152384195473986
discovery,mar,0.05,corr_rv,True,10,6,47.71428571428572,4.062330962004387e-09,,5.9,0.9878405996994146,2.3,0.9943017860791958,2.7,0.9936628057456757,4.1,0.9922723901812829,5.0,0.9899348508292555,1.0,0.9953590366828836
discovery,mar,0.1,corr_rv,True,10,6,48.97142857142859,2.2492928529963847e-09,,5.9,0.9767277308923916,2.1,0.9881625295888018,2.9,0.9867367373314815,4.0,0.984118505000293,5.1,0.9794746924902071,1.0,0.9902940253436092
discovery,mar,0.2,corr_rv,True,10,6,49.485714285714266,1.7656527390849315e-09,,5.9,0.948716014990462,2.0,0.9767158685511621,3.0,0.9718248027986197,4.0,0.9663473544422615,5.1,0.9533145528376433,1.0,0.9819462641031208
discovery,mar,0.3,corr_rv,True,10,6,47.771428571428544,3.954710066399294e-09,,5.5,0.9116598357490139,2.0,0.9633384089117574,3.0,0.9463820415615005,4.1,0.9295804394756875,5.4,0.9139264296406088,1.0,0.9711386610011562
metabric,mar,0.05,f1_macro,True,10,6,3.0285714285714107,0.6955807830136138,,3.2,0.8807230463647768,3.8,0.8803363082962823,4.3,0.8801272587714714,3.1,0.8812410534187956,3.3,0.8816077162833883,3.3,0.8805805867748587
metabric,mar,0.1,f1_macro,True,10,6,12.05714285714285,0.03401312528735635,,4.9,0.8743290626841953,3.9,0.8778545991857504,2.7,0.8787595376156411,3.9,0.8768648126699196,3.2,0.8779987803856862,2.4,0.8791786876085735
metabric,mar,0.2,f1_macro,True,10,6,21.599999999999994,0.0006236565240405822,,5.8,0.8635717320954566,2.2,0.8721681465435436,3.3,0.8708808668237511,3.7,0.8709077508526741,3.0,0.8710153657068591,3.0,0.8707923202001207
metabric,mar,0.3,f1_macro,True,10,6,29.371428571428567,1.960398057205633e-05,,5.1,0.8480200851951301,5.4,0.848245423395533,3.2,0.8557480643509361,2.8,0.8576248921493402,2.7,0.8585895875390565,1.8,0.8606189427022096
metabric,mar,0.05,rmse,False,10,6,45.88571428571427,9.581903851109485e-09,,6.0,1.1688933346254948,2.8,0.699695891558898,5.0,0.7213461886337341,3.6,0.7054996376019977,2.6,0.7002640860420702,1.0,0.6290763935180603
metabric,mar,0.1,rmse,False,10,6,48.1142857142857,3.3661448968572175e-09,,6.0,1.1602141435329831,2.1,0.7098662056262381,5.0,0.7413737203136193,3.7,0.7191646774100003,3.2,0.717180193815534,1.0,0.6427895028879883
metabric,mar,0.2,rmse,False,10,6,47.542857142857144,4.403034656459636e-09,,6.0,1.1491114075405715,2.2,0.7507455341014431,5.0,0.7872681454981779,3.1,0.7637784680682839,3.7,0.767282303725871,1.0,0.6721495670652327
metabric,mar,0.3,rmse,False,10,6,49.485714285714266,1.7656527390849315e-09,,6.0,1.143003217234177,4.9,0.856710260394444,4.1,0.8350534197823981,2.0,0.8100384200337606,3.0,0.8155719327206805,1.0,0.7052613170597014
metabric,mar,0.05,corr_rv,True,10,6,46.74285714285713,6.4102270324400305e-09,,6.0,0.9977647441987761,3.1,0.9993058780812966,5.0,0.9992451360003857,3.6,0.9992936555593147,2.3,0.9993210733502712,1.0,0.9994367754978134
metabric,mar,0.1,corr_rv,True,10,6,47.25714285714287,5.035347573384987e-09,,6.0,0.9942925728728254,2.4,0.9984620111159137,5.0,0.9982069623234302,3.8,0.9983846503651442,2.8,0.998448242547688,1.0,0.9987570661639641
metabric,mar,0.2,corr_rv,True,10,6,47.08571428571429,5.4573949492623e-09,,6.0,0.9830501684053313,2.3,0.9961800963159358,5.0,0.9953430321793106,3.7,0.9958903125169473,3.0,0.9959980552093294,1.0,0.9971128483385948
metabric,mar,0.3,corr_rv,True,10,6,43.428571428571416,3.025026538415465e-08,,6.0,0.966421453522794,2.7,0.9924434633760825,4.8,0.9909994644331805,3.6,0.9919643916604055,2.9,0.9922312231768948,1.0,0.9950398714454506
