imputer,missing_rate,model,subtype,metric,mean,std,n_rows
RFECA_SVR(k=10),0.1,EnsembleSoft,LumA,precision,0.9081653533400774,0.019382100619976767,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumA,recall,0.9345714285714286,0.03691452580954333,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumB,f1,0.8753980079025024,0.02052330223685068,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumB,precision,0.8699200678414434,0.03528160518809702,50
RFECA_SVR(k=10),0.1,EnsembleSoft,LumB,recall,0.8827368421052632,0.03455441470100891,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Her2,f1,0.7910709396540532,0.041604959721113166,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Her2,precision,0.8189271614214144,0.05497549941249181,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Her2,recall,0.770949494949495,0.07125456087889122,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Basal,f1,0.9244767454386129,0.03079265158030979,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Basal,precision,0.9675807069418788,0.022140513220476443,50
RFECA_SVR(k=10),0.1,EnsembleSoft,Basal,recall,0.8867711962833914,0.051957809289757045,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumA,f1,0.9198245827600898,0.013910569764162635,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumA,precision,0.9066877997007526,0.01673665256049445,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumA,recall,0.9348571428571428,0.038685179423633725,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumB,f1,0.874821345243821,0.018809892963756306,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumB,precision,0.870340462447658,0.03655338244619019,50
RFECA_SVR(k=20),0.1,EnsembleSoft,LumB,recall,0.881263157894737,0.03267278504304968,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Her2,f1,0.7912664621545829,0.0388897903939542,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Her2,precision,0.8190504781453989,0.05130608633437341,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Her2,recall,0.770121212121212,0.06529381100780111,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Basal,f1,0.9247325763453377,0.03097410314641033,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Basal,precision,0.9675972949332461,0.022954008581910577,50
RFECA_SVR(k=20),0.1,EnsembleSoft,Basal,recall,0.8872357723577237,0.052025214516492696,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumA,f1,0.9166080079989588,0.012694078555930445,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumA,precision,0.9036684050654729,0.022030456296025028,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumA,recall,0.9312857142857144,0.03258570859796239,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumB,f1,0.8631810587937312,0.01786876886027281,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumB,precision,0.8588586341671309,0.03330617081840587,50
RFECA_SVR(k=5),0.2,EnsembleSoft,LumB,recall,0.8694736842105262,0.035202104994645496,50
RFECA_SVR(k=5),0.2,EnsembleSoft,Her2,f1,0.7796161781874439,0.043929318254345005,50
RFECA_SVR(k=5),0.2,EnsembleSoft,Her2,precision,0.8097195573834179,0.04323870655887112,50
RFECA_SVR(k=5),0.2,EnsembleSoft,Her2,recall,0.7562727272727274,0.07311163649207618,50
RFECA_SVR(k=5),0.2,EnsembleSoft,Basal,f1,0.9237243676273805,0.032157818566333735,50
RFECA_SVR(k=5),0.2,EnsembleSoft,Basal,precision,0.9607417000798981,0.02522474567919613,50
RFECA_SVR(k=5),0.2,EnsembleSoft,Basal,recall,0.8910336817653891,0.05164802336869268,50
RFECA_SVR(k=10),0.2,EnsembleSoft,LumA,f1,0.9153390494293758,0.011601672487656837,50
RFECA_SVR(k=10),0.2,EnsembleSoft,LumA,precision,0.9016182782827111,0.021152402810473973,50
RFECA_SVR(k=10),0.2,EnsembleSoft,LumA,recall,0.9308571428571429,0.03257132627471022,50
RFECA_SVR(k=10),0.2,EnsembleSoft,LumB,f1,0.8631348077902031,0.0195737104355702,50
RFECA_SVR(k=10),0.2,EnsembleSoft,LumB,precision,0.8604623880779804,0.032412864235828384,50
RFECA_SVR(k=10),0.2,EnsembleSoft,LumB,recall,0.8677894736842106,0.03828891539931321,50
RFECA_SVR(k=10),0.2,EnsembleSoft,Her2,f1,0.7789266641421466,0.04071370362156963,50
RFECA_SVR(k=10),0.2,EnsembleSoft,Her2,precision,0.8072960686706172,0.040075552767168315,50
RFECA_SVR(k=10),0.2,EnsembleSoft,Her2,recall,0.7562828282828282,0.06679703088788011,50
RFECA_SVR(k=10),0.2,EnsembleSoft,Basal,f1,0.9246016566511355,0.03225415260383349,50
RFECA_SVR(k=10),0.2,EnsembleSoft,Basal,precision,0.9613572695119551,0.02850653761561544,50
RFECA_SVR(k=10),0.2,EnsembleSoft,Basal,recall,0.8919860627177701,0.04917212916191641,50
RFECA_SVR(k=20),0.2,EnsembleSoft,LumA,f1,0.9180792642882264,0.013390119619376051,50
RFECA_SVR(k=20),0.2,EnsembleSoft,LumA,precision,0.9049421619492763,0.02082012968777679,50
RFECA_SVR(k=20),0.2,EnsembleSoft,LumA,recall,0.9328571428571429,0.03246117085834055,50
RFECA_SVR(k=20),0.2,EnsembleSoft,LumB,f1,0.8686084375288476,0.018889306264839156,50
RFECA_SVR(k=20),0.2,EnsembleSoft,LumB,precision,0.8633586183849657,0.03208668219037728,50
RFECA_SVR(k=20),0.2,EnsembleSoft,LumB,recall,0.8755789473684211,0.033872326487380575,50
RFECA_SVR(k=20),0.2,EnsembleSoft,Her2,f1,0.7836153455329833,0.03886852192112391,50
RFECA_SVR(k=20),0.2,EnsembleSoft,Her2,precision,0.8146782941662677,0.04650383490388143,50
RFECA_SVR(k=20),0.2,EnsembleSoft,Her2,recall,0.7594343434343434,0.06666092252384856,50
RFECA_SVR(k=20),0.2,EnsembleSoft,Basal,f1,0.9236592073994653,0.031795491044241536,50
RFECA_SVR(k=20),0.2,EnsembleSoft,Basal,precision,0.9624559481982088,0.028655857758231037,50
RFECA_SVR(k=20),0.2,EnsembleSoft,Basal,recall,0.8896051103368177,0.05091018159699338,50
RFECA_SVR(k=5),0.3,EnsembleSoft,LumA,f1,0.9113960756970323,0.013454306886262148,50
RFECA_SVR(k=5),0.3,EnsembleSoft,LumA,precision,0.8981451297200934,0.0200108715477668,50
RFECA_SVR(k=5),0.3,EnsembleSoft,LumA,recall,0.9262857142857145,0.03323587028677425,50
RFECA_SVR(k=5),0.3,EnsembleSoft,LumB,f1,0.8532994939659152,0.025519954319812826,50
RFECA_SVR(k=5),0.3,EnsembleSoft,LumB,precision,0.8506079451081712,0.043511815587077805,50
RFECA_SVR(k=5),0.3,EnsembleSoft,LumB,recall,0.8583157894736843,0.038409794857599586,50
RFECA_SVR(k=5),0.3,EnsembleSoft,Her2,f1,0.7636727239675153,0.04414391733526027,50
RFECA_SVR(k=5),0.3,EnsembleSoft,Her2,precision,0.787636329449738,0.049836310604878246,50
RFECA_SVR(k=5),0.3,EnsembleSoft,Her2,recall,0.7456060606060606,0.06994265728896762,50
RFECA_SVR(k=5),0.3,EnsembleSoft,Basal,f1,0.915224257401091,0.03627744612917399,50
RFECA_SVR(k=5),0.3,EnsembleSoft,Basal,precision,0.9578792214814221,0.030809283155275414,50
RFECA_SVR(k=5),0.3,EnsembleSoft,Basal,recall,0.8781649245063881,0.0565227459215224,50
RFECA_SVR(k=10),0.3,EnsembleSoft,LumA,f1,0.911333338213196,0.012686736895536824,50
RFECA_SVR(k=10),0.3,EnsembleSoft,LumA,precision,0.898656449518751,0.0218862953148182,50
RFECA_SVR(k=10),0.3,EnsembleSoft,LumA,recall,0.9255714285714286,0.030615305969403057,50
RFECA_SVR(k=10),0.3,EnsembleSoft,LumB,f1,0.8553041173913818,0.022577253628859026,50
RFECA_SVR(k=10),0.3,EnsembleSoft,LumB,precision,0.8523910909590993,0.03875711847753879,50
RFECA_SVR(k=10),0.3,EnsembleSoft,LumB,recall,0.8604210526315788,0.03791203806026495,50
RFECA_SVR(k=10),0.3,EnsembleSoft,Her2,f1,0.7662530096822079,0.04240860717071615,50
RFECA_SVR(k=10),0.3,EnsembleSoft,Her2,precision,0.7942556897552467,0.04876005730243583,50
