imputer,missing_rate,f1_mean,f1_std,bal_mean,bal_std,n_degenerate,n_rows,cohort,cv_f1
SimpleMean,0.1,0.9172617594965421,0.05855892429032289,0.9053787878787878,0.0672575294694097,0,50,discovery,0.06384101777279384
"KNN(k=5,dist)",0.2,0.9122281597629425,0.058788809014861,0.9040530303030303,0.06609224377933436,0,50,discovery,0.0644452907813526
RFECA_SVR(k=10),0.2,0.8916600081078342,0.0527662970758756,0.8816287878787878,0.060917194273080524,0,50,discovery,0.05917759751034413
RFECA_SVR(k=20),0.2,0.8938904054882316,0.056544130458699916,0.8853030303030303,0.06514796448019784,0,50,discovery,0.063256222587842
RFECA_SVR(k=5),0.2,0.8989780446606533,0.05289848731341126,0.8936742424242423,0.061371855290688254,0,50,discovery,0.058842913492263775
SimpleMean,0.2,0.8913581700907788,0.0589546656116472,0.8798863636363636,0.06591865320990316,0,50,discovery,0.06614026503581952
"KNN(k=5,dist)",0.3,0.9084213127452259,0.054857009191624444,0.9011363636363636,0.0660261863319032,0,50,discovery,0.06038718865572184
RFECA_SVR(k=10),0.3,0.8952167742885134,0.06812556313510357,0.889090909090909,0.07502755876302902,0,50,discovery,0.07609951588457148
RFECA_SVR(k=20),0.3,0.882757377163899,0.06274979142876841,0.8702272727272726,0.07310327682063066,0,50,discovery,0.07108384823740514
RFECA_SVR(k=5),0.3,0.897207557418427,0.06959625960237918,0.8936363636363636,0.0745677671355336,0,50,discovery,0.07756985440763721
SimpleMean,0.3,0.8885768499616326,0.06935960292671534,0.8791287878787878,0.07574278032702816,0,50,discovery,0.07805695470201612
"KNN(k=5,dist)",0.0,0.8859360095573787,0.013890854433734955,0.8752464911354514,0.013119020735135928,0,50,metabric,0.015679297696314373
RFECA_SVR(k=10),0.0,0.8859360095573787,0.013890854433734955,0.8752464911354514,0.013119020735135928,0,50,metabric,0.015679297696314373
RFECA_SVR(k=20),0.0,0.8859360095573787,0.013890854433734955,0.8752464911354514,0.013119020735135928,0,50,metabric,0.015679297696314373
RFECA_SVR(k=5),0.0,0.8859360095573787,0.013890854433734955,0.8752464911354514,0.013119020735135928,0,50,metabric,0.015679297696314373
SimpleMean,0.0,0.8859360095573787,0.013890854433734955,0.8752464911354514,0.013119020735135928,0,50,metabric,0.015679297696314373
"KNN(k=5,dist)",0.05,0.8812234101019348,0.013095090085023225,0.8717219615002029,0.01453704275886543,0,50,metabric,0.0148601250657974
RFECA_SVR(k=10),0.05,0.8821873344317992,0.012164697419181317,0.8725492380248479,0.01373084180055505,0,50,metabric,0.013789245146005612
RFECA_SVR(k=20),0.05,0.8822424970815849,0.013435926036057996,0.8722983442530939,0.014427038159888024,0,50,metabric,0.01522928909058834
RFECA_SVR(k=5),0.05,0.8811908119259191,0.012497676342548152,0.871560726465091,0.013575358366155909,0,50,metabric,0.014182712953206349
SimpleMean,0.05,0.878740165462206,0.013928484254435899,0.8694692667552103,0.015181964917662714,0,50,metabric,0.015850515091807252
"KNN(k=5,dist)",0.1,0.8756739489033231,0.012967224067309113,0.8661451610363677,0.013457949782120181,0,50,metabric,0.014808278907404989
RFECA_SVR(k=10),0.1,0.8780695701858201,0.014275775975616812,0.8684074293271984,0.01486017919807045,0,50,metabric,0.01625813769243333
RFECA_SVR(k=20),0.1,0.8788408255873515,0.014395842480499249,0.8690059303839791,0.01543486753173183,0,50,metabric,0.01638048900479577
RFECA_SVR(k=5),0.1,0.8770501697569496,0.014501363637311608,0.8672119054102366,0.015031685645488397,0,50,metabric,0.01653424642894746
SimpleMean,0.1,0.8747997280647161,0.015356181253130251,0.8652653182290538,0.01590985956474834,0,50,metabric,0.01755393921658173
"KNN(k=5,dist)",0.2,0.8691416635535307,0.015847903373292626,0.8595983667594708,0.017488003698690364,0,50,metabric,0.018233970407652133
RFECA_SVR(k=10),0.2,0.8699883418704252,0.015241754023574156,0.8607514740287526,0.01600375672689714,0,50,metabric,0.017519492262166706
RFECA_SVR(k=20),0.2,0.8748686891553613,0.01606460883388392,0.865457767663801,0.01634187187236575,0,50,metabric,0.01836230857615151
RFECA_SVR(k=5),0.2,0.8699658920139648,0.017532497479121105,0.8605203293710996,0.017826526058410525,0,50,metabric,0.02015308604632016
SimpleMean,0.2,0.866073659815381,0.01284516897060976,0.8568806092281701,0.014268364238298418,0,50,metabric,0.01483149709615685
