cohort,missing_rate,metric,method_a,method_b,mean_a,mean_b,delta_a_minus_b,p_value,n_pairs,note
metabric,0.05,f1_macro,SimpleMean,RFECA_SVR(k=5),0.878740165462206,0.881190811925919,-0.0024506464637129577,0.10546875,10,
metabric,0.05,f1_macro,SimpleMean,RFECA_SVR(k=10),0.878740165462206,0.8821873344317991,-0.003447168969593073,0.01953125,10,
metabric,0.05,f1_macro,SimpleMean,RFECA_SVR(k=20),0.878740165462206,0.8822424970815849,-0.003502331619378851,0.01953125,10,
metabric,0.05,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=5),0.8812234101019347,0.881190811925919,3.259817601575232e-05,0.625,10,
metabric,0.05,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8812234101019347,0.8821873344317991,-0.0009639243298643629,0.431640625,10,
metabric,0.05,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8812234101019347,0.8822424970815849,-0.0010190869796501412,0.130859375,10,
metabric,0.05,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=10),0.881190811925919,0.8821873344317991,-0.0009965225058801153,0.556640625,10,
metabric,0.05,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=20),0.881190811925919,0.8822424970815849,-0.0010516851556658935,0.322265625,10,
metabric,0.05,f1_macro,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8821873344317991,0.8822424970815849,-5.516264978577823e-05,1.0,10,
metabric,0.1,f1_macro,SimpleMean,"KNN(k=5,dist)",0.8747997280647162,0.8756739489033232,-0.0008742208386069983,0.76953125,10,
metabric,0.1,f1_macro,SimpleMean,RFECA_SVR(k=5),0.8747997280647162,0.8770501697569497,-0.00225044169223354,0.193359375,10,
metabric,0.1,f1_macro,SimpleMean,RFECA_SVR(k=10),0.8747997280647162,0.8780695701858203,-0.0032698421211041495,0.037109375,10,
metabric,0.1,f1_macro,SimpleMean,RFECA_SVR(k=20),0.8747997280647162,0.8788408255873517,-0.004041097522635484,0.005859375,10,
metabric,0.1,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=5),0.8756739489033232,0.8770501697569497,-0.001376220853626542,0.16015625,10,
metabric,0.1,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8756739489033232,0.8780695701858203,-0.0023956212824971512,0.083984375,10,
metabric,0.1,f1_macro,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8756739489033232,0.8788408255873517,-0.0031668766840284857,0.005859375,10,
metabric,0.1,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8770501697569497,0.8780695701858203,-0.0010194004288706093,0.275390625,10,
metabric,0.1,f1_macro,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8770501697569497,0.8788408255873517,-0.0017906558304019438,0.193359375,10,
metabric,0.1,f1_macro,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8780695701858203,0.8788408255873517,-0.0007712554015313344,0.556640625,10,
metabric,0.2,f1_macro,SimpleMean,"KNN(k=5,dist)",0.8660736598153809,0.8691416635535308,-0.0030680037381499714,0.048828125,10,
