gene,rmse,mae,r2,pearson,spearman,n_observed_train,n_masked,winning_prefix_len,n_predictors_selected,winning_predictors,best_oof_rmse,selection_seconds,final_fit_seconds,status,n_candidates,fallback_count,seed,mask_hash,mechanism,missing_rate,replicate,wall_seconds_slot,svr_ok
CXXC5,0.5971101150622499,0.44948516424210183,0.5574017107638736,0.7622160356358303,0.6876699484294422,1528,80,42,21,ESR1|MLPH|FOXC1|EGFR|ACTR3B|MAPT|PHGDH|CCNE1|MIA|ANLN|NDC80|GPR160|KIF2C|TYMS|CDC20|CEP55|BLVRA|UBE2T|RRM2|PTTG1|UBE2C,0.5469373601386357,1818.2198006000253,21.97993570001563,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
EGFR,0.5239574713007521,0.2992848460588564,0.5017102705053742,0.7165203262922918,0.7128973328461821,1539,69,46,23,ESR1|CDH3|FOXA1|FOXC1|KRT5|CXXC5|BCL2|SFRP1|CCNE1|PHGDH|ANLN|MIA|CDC20|EXO1|NDC80|PTTG1|KRT14|BLVRA|CENPF|MDM2|NUF2|CDC6|CCNB1,0.6046826121885995,2315.9393209999835,30.704083799995715,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
ERBB2,0.43903482714778913,0.34484898435712585,0.867337791574337,0.932210567561555,0.8121232133591207,1522,86,49,24,GRB7|FGFR4|CDC6|MYC|FOXA1|MIA|ACTR3B|NAT1|TYMS|MAPT|CCNE1|EXO1|CENPF|NDC80|BLVRA|MDM2|CDC20|GPR160|BAG1|KIF2C|MKI67|UBE2T|PTTG1|ANLN,0.5447277996649427,1843.9964113000024,27.572833500016714,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
ESR1,0.9495185265637057,0.737160504801726,0.7165979206086857,0.8610197062403393,0.7260896406963823,1518,90,40,20,BCL2|FOXA1|SLC39A6|MAPT|EGFR|NAT1|CXXC5|MELK|KIF2C|SFRP1|PGR|NDC80|UBE2C|PTTG1|FGFR4|GRB7|MKI67|RRM2|UBE2T|ERBB2,0.9412868318624732,1405.1360010000062,16.76552369998535,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
EXO1,0.3269242931023416,0.25542293295187835,0.7931013339901065,0.8914550709695305,0.8665789207249166,1524,84,46,23,CEP55|MELK|UBE2C|KIF2C|PTTG1|CENPF|BIRC5|UBE2T|CCNE1|MKI67|NDC80|TYMS|FOXA1|PHGDH|BCL2|NUF2|CDH3|ACTR3B|CDC6|MIA|ORC6|BAG1|MYBL2,0.3046602993805098,2062.842443099973,30.18083120000665,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
FGFR4,0.8423464850545883,0.5693340600792326,0.27475261419459984,0.5758496824333773,0.5561319221182675,1514,94,48,24,ERBB2|SLC39A6|BCL2|ESR1|PGR|TMEM45B|CDC20|CCNE1|EXO1|UBE2C|KIF2C|CEP55|MKI67|MELK|CENPF|PTTG1|CCNB1|UBE2T|BAG1|BLVRA|MDM2|FOXA1|MLPH|GPR160,0.8262233773970307,1603.037550500012,22.57058239998878,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
FOXA1,0.5034445122119119,0.4091470435245568,0.9055579147870785,0.9518469270606587,0.7030729359496483,1534,74,42,21,MLPH|FOXC1|ESR1|MIA|CCNE1|ACTR3B|GPR160|MELK|ANLN|CEP55|NDC80|EXO1|KRT17|UBE2C|BCL2|PTTG1|MKI67|UBE2T|RRM2|ERBB2|BAG1,0.5580023500112365,1947.646075800003,21.657927899999777,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
FOXC1,0.7057785513291152,0.5055054965214116,0.8163899604561947,0.9064204619667893,0.7204000257251271,1536,72,49,24,FOXA1|SFRP1|KRT17|ACTR3B|CXXC5|EGFR|CCNE1|CDC20|KIF2C|EXO1|MKI67|ANLN|CEP55|NDC80|CENPF|ERBB2|NUF2|UBE2T|ORC6|RRM2|MDM2|MYBL2|CDC6|CCNB1,0.7080857277960882,1513.2132188999967,25.83649330001208,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
GPR160,0.6540523183813616,0.5107361304120275,0.3434022742066082,0.6050955433374192,0.5456592512208356,1512,96,49,24,FOXA1|CCNE1|CDC20|NAT1|KIF2C|CDH3|ACTR3B|BIRC5|EGFR|MKI67|BLVRA|CEP55|MELK|ANLN|CXXC5|MYC|BCL2|ORC6|CCNB1|UBE2T|CDC6|MMP11|FGFR4|MYBL2,0.5751242989072783,1608.4349120999977,24.01677600000403,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
GRB7,0.447385958080703,0.32913517397694,0.8146380779832432,0.9034033385232679,0.6521651964715315,1521,87,43,21,ERBB2|CDC6|NAT1|MAPT|TMEM45B|MELK|CDC20|CCNE1|CEP55|KIF2C|CENPF|ANLN|UBE2T|PTTG1|RRM2|MKI67|BIRC5|MDM2|MYC|BAG1|TYMS,0.5172268079034916,1617.4057426999789,25.005697699991288,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
KIF2C,0.2786570117315278,0.21495484836134449,0.8733049424330878,0.944066208506135,0.9429532271998026,1535,73,49,24,CDC20|UBE2C|CEP55|EXO1|BIRC5|MKI67|NDC80|UBE2T|CCNB1|PHGDH|NUF2|BCL2|CDH3|RRM2|PGR|CXXC5|CDC6|KRT5|GRB7|ORC6|KRT17|MYBL2|BAG1|ERBB2,0.24723222014487667,2032.6314907999767,36.154578199988464,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
NDC80,0.24244744367752502,0.18281671254277015,0.7941268208399095,0.8957242652932196,0.8868116455774239,1516,92,48,24,ANLN|CEP55|PTTG1|CCNB1|NUF2|UBE2T|UBE2C|EXO1|TYMS|MLPH|CCNE1|FOXA1|MKI67|MAPT|RRM2|CXXC5|FOXC1|CDH3|CDC6|MYC|MMP11|MYBL2|GRB7|MDM2,0.23265118886530745,2215.117083000019,36.365166500007035,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
KRT14,0.5718583481015449,0.34962175858534505,0.7276036236325849,0.8731355943875001,0.8233697821055155,1541,67,40,20,KRT17|KRT5|SFRP1|MIA|FOXC1|FOXA1|MLPH|CXXC5|EGFR|ACTR3B|GPR160|BIRC5|UBE2T|MKI67|CEP55|MYBL2|NUF2|ERBB2|KIF2C|GRB7,0.6627023406391143,2034.3249007000122,19.58634490001714,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
KRT17,0.7162359973796258,0.46545470469036004,0.7942959286644039,0.8951302077145996,0.9376223675179712,1514,94,40,20,KRT5|KRT14|SFRP1|FOXC1|CDH3|MLPH|PHGDH|CCNE1|BCL2|MDM2|ANLN|KIF2C|CDC20|BIRC5|CCNB1|NDC80|CENPF|ORC6|GRB7|MKI67,0.7787359875466697,1707.4785525999905,15.998297200014349,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
KRT5,0.38396571440346516,0.23216132657696845,0.7749807775056835,0.8932336314663303,0.8835112256164886,1531,77,49,24,KRT17|KRT14|SFRP1|FOXC1|FOXA1|CDH3|MIA|EGFR|CXXC5|ACTR3B|PHGDH|BLVRA|SLC39A6|BCL2|ANLN|NDC80|CEP55|TMEM45B|MDM2|MKI67|NUF2|CENPF|ORC6|UBE2T,0.5818272607648198,2149.469899799995,33.3877282999747,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
MAPT,0.9908123290261308,0.7353877128567081,0.6060577928405486,0.7884809159721425,0.744514106583072,1521,87,47,23,ESR1|MLPH|PGR|BCL2|EXO1|KIF2C|CDC20|CXXC5|UBE2C|PTTG1|NDC80|MKI67|GRB7|RRM2|TYMS|CCNB1|ERBB2|BAG1|BLVRA|MDM2|MMP11|MYBL2|MYC,1.047717810695102,1268.99161930001,17.80369560001418,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
MDM2,0.20727382436511277,0.14708756754448732,-0.05248158391021618,0.21320937022664607,0.20269529803776376,1534,74,45,22,SLC39A6|SFRP1|KRT5|EGFR|RRM2|TYMS|BAG1|MLPH|FOXC1|GRB7|CDC6|MYC|UBE2T|MIA|TMEM45B|NDC80|CEP55|CDC20|KIF2C|MKI67|PGR|NUF2,0.2203328061057066,2818.3628206999856,30.650094799988437,ok,49,0,4050054,700af1b560d85ba9,mcar,0.05,4,6132.275483399979,1
