imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n,f1_pm_std,bal_pm_std
SimpleMean,0.1,RF,0.8857456603782691,0.0179829135586275,0.8701515151515151,0.0172410217604334,10,0.8857 ± 0.0180,0.8702 ± 0.0172
SimpleMean,0.1,GB,0.7829998692933475,0.0365463086245231,0.770719696969697,0.0422551984764701,10,0.7830 ± 0.0365,0.7707 ± 0.0423
SimpleMean,0.2,EnsembleSoft,0.9156347823673908,0.020653586127861,0.9040530303030304,0.0233015615711898,10,0.9156 ± 0.0207,0.9041 ± 0.0233
SimpleMean,0.2,EnsembleHard,0.9123623048449134,0.0224916234883949,0.8970454545454546,0.0274020735591913,10,0.9124 ± 0.0225,0.8970 ± 0.0274
SimpleMean,0.2,SVC,0.9119500907305256,0.022157500315868,0.8962121212121211,0.021246664994546,10,0.9120 ± 0.0222,0.8962 ± 0.0212
SimpleMean,0.2,LogReg,0.9060350000241304,0.0250839635129701,0.9,0.0248541814115738,10,0.9060 ± 0.0251,0.9000 ± 0.0249
SimpleMean,0.2,RF,0.8792406788863311,0.0157609758387011,0.8645833333333333,0.0206517569295969,10,0.8792 ± 0.0158,0.8646 ± 0.0207
SimpleMean,0.2,GB,0.7845027465288335,0.0480658324907882,0.7711893939393939,0.0515338281899712,10,0.7845 ± 0.0481,0.7712 ± 0.0515
SimpleMean,0.3,LogReg,0.9048504558243688,0.0221762622917453,0.8994166666666666,0.0255038766106489,10,0.9049 ± 0.0222,0.8994 ± 0.0255
SimpleMean,0.3,EnsembleSoft,0.902378817800557,0.0136673721942755,0.8888863636363634,0.0139182449172799,10,0.9024 ± 0.0137,0.8889 ± 0.0139
SimpleMean,0.3,EnsembleHard,0.898426702283224,0.0240638388411769,0.8832196969696969,0.0239985696717782,10,0.8984 ± 0.0241,0.8832 ± 0.0240
SimpleMean,0.3,SVC,0.894166932584324,0.0367795453668332,0.8803787878787878,0.037758141199132,10,0.8942 ± 0.0368,0.8804 ± 0.0378
SimpleMean,0.3,RF,0.8300829023633371,0.0268716254128367,0.8133560606060606,0.0292130583434493,10,0.8301 ± 0.0269,0.8134 ± 0.0292
SimpleMean,0.3,GB,0.7457512014555493,0.0337112097352243,0.7381666666666666,0.0294393718450506,10,0.7458 ± 0.0337,0.7382 ± 0.0294
