imputer,source_imputer,mechanism,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n_rows,protocol
Mean,SimpleMean,mcar,0.3,SVC,0.850169461710153,0.01628129356513701,0.8398490627900128,0.017302407848859214,50,imputer_within_cv
MissForest,MissForest,mcar,0.05,EnsembleSoft,0.8812120143458076,0.012240245295965521,0.8716584870342894,0.013384414917864459,50,imputer_within_cv
MissForest,MissForest,mcar,0.1,EnsembleSoft,0.8786664667109548,0.015455670887344454,0.869314236255828,0.015885850525976422,50,imputer_within_cv
MissForest,MissForest,mcar,0.2,EnsembleSoft,0.8741775961522379,0.01466645590373077,0.8646195181227273,0.016385652592466493,50,imputer_within_cv
MissForest,MissForest,mcar,0.2,GB,0.860224847530081,0.01642137074362726,0.8493582038058932,0.02112026035073719,50,imputer_within_cv
MissForest,MissForest,mcar,0.2,LogReg,0.8596583073744481,0.016114134233929687,0.8562211561794361,0.015563523101370064,50,imputer_within_cv
MissForest,MissForest,mcar,0.2,RF,0.8597043795667798,0.014781094149223614,0.8433912122323547,0.01732280346823898,50,imputer_within_cv
MissForest,MissForest,mcar,0.2,SVC,0.8704953013063508,0.015826399140777256,0.8602220402262123,0.016826195700753926,50,imputer_within_cv
MissForest,MissForest,mcar,0.3,EnsembleSoft,0.8662237147375467,0.01454037978089943,0.8574428629778437,0.016298052977546017,50,imputer_within_cv
MissForest,MissForest,mcar,0.3,GB,0.8513412903365911,0.01577440090783366,0.8415815041113501,0.017634757244592802,50,imputer_within_cv
MissForest,MissForest,mcar,0.3,LogReg,0.8535365447320805,0.01674562497652869,0.8505197000261185,0.015781199037234087,50,imputer_within_cv
MissForest,MissForest,mcar,0.3,RF,0.854447663179506,0.015481321279755732,0.8391372939925571,0.018400858315348257,50,imputer_within_cv
MissForest,MissForest,mcar,0.3,SVC,0.8650798783337165,0.016513524208178795,0.8556875776840475,0.016973962308545597,50,imputer_within_cv
RFECA,OriginalRFECA,mar,0.05,EnsembleSoft,0.882465236946783,0.013962487489697155,0.8719862979696099,0.013261248261481184,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.05,GB,0.8645976260792766,0.023027122544484347,0.8536751718542476,0.023687064169813424,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.05,LogReg,0.8686817853893778,0.013722939063996875,0.8652064455299372,0.011846150808713707,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.05,RF,0.8672022681471754,0.013389317497067031,0.8517702821354939,0.015667943940021377,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.05,SVC,0.8834351770673812,0.01770462068389704,0.8735951658525472,0.016441481586765786,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.1,EnsembleSoft,0.8789098886811282,0.013479296882346175,0.8696992953559064,0.013910974177888898,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.1,GB,0.8653294361696243,0.018860013874666594,0.8544752077903555,0.021268024107234627,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.1,LogReg,0.8662172399741006,0.014140265663984715,0.8633525684129022,0.010877722023888876,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.1,RF,0.8672168218858868,0.014949679740021971,0.8515058303556379,0.018545938329192307,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.1,SVC,0.8805246788705077,0.01751988553897419,0.870991497590984,0.016717960566416,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.2,EnsembleSoft,0.8765333637551836,0.015955684235247986,0.8674813752785512,0.0167413636133714,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.2,GB,0.8595660750459462,0.019664628926775125,0.8489442971804975,0.021844627974211436,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.2,LogReg,0.8639167614794804,0.017358135494501752,0.8597949298597566,0.015043570841783097,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.2,RF,0.8612522979057782,0.017580442700100132,0.8460725529640806,0.020345571264130835,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.2,SVC,0.8725633375465507,0.017114094814547714,0.8635791816940726,0.016324608566686615,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.3,EnsembleSoft,0.872464949088644,0.018624086137467914,0.8640593705253525,0.019292180553832257,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.3,GB,0.8525862940419913,0.018930027203303664,0.8426963287746344,0.02286084301141027,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.3,LogReg,0.8583104051756705,0.014686495405096985,0.8548864409730905,0.01600306861276198,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.3,RF,0.8574803961415056,0.016301176189534104,0.8431679318399472,0.01950088048200908,25,post_target_wise_impute
RFECA,OriginalRFECA,mar,0.3,SVC,0.8738022453308758,0.017058435671103624,0.8652869035115505,0.017352867963187697,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.05,EnsembleSoft,0.8820947897770414,0.014008635644129647,0.8724540962531977,0.015167241760223509,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.05,GB,0.8708246885828737,0.019718761390648515,0.859829222909454,0.02209250993733145,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.05,LogReg,0.8736075051348393,0.014113847176161135,0.8697704201375575,0.011619941291271163,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.05,RF,0.8649948095471105,0.015226445360139299,0.8487442238263805,0.018319949932302383,25,post_target_wise_impute
RFECA,OriginalRFECA,mcar,0.05,SVC,0.8810440063156497,0.018227003476407398,0.8717259825469068,0.016445179141981556,25,post_target_wise_impute
