cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,note,p_holm
discovery,mcar,0.3,f1_macro,True,SimpleMean,"KNN(k=5,dist)",0.8885768499616326,0.9084213127452259,-0.01984446278359331,3.0,0.009765625,-0.8909090909090909,10,,0.126953125
discovery,mcar,0.3,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.8885768499616326,0.8972075574184271,-0.008630707456794506,22.0,0.625,-0.19999999999999996,10,,1.0
discovery,mcar,0.3,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.8885768499616326,0.8952167742885134,-0.006639924326880875,17.0,0.322265625,-0.38181818181818183,10,,1.0
discovery,mcar,0.3,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.8885768499616326,0.8827573771638988,0.00581947279773376,26.0,0.921875,0.054545454545454564,10,,1.0
discovery,mcar,0.3,f1_macro,True,SimpleMean,MissForest,0.8885768499616326,0.9158477886847454,-0.027270938723112814,3.0,0.009765625,-0.8909090909090909,10,,0.126953125
discovery,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9084213127452259,0.8972075574184271,0.011213755326798802,13.0,0.16015625,0.5272727272727273,10,,1.0
discovery,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9084213127452259,0.8952167742885134,0.013204538456712434,13.0,0.16015625,0.5272727272727273,10,,1.0
discovery,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9084213127452259,0.8827573771638988,0.02566393558132707,3.0,0.009765625,0.8909090909090909,10,,0.126953125
discovery,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",MissForest,0.9084213127452259,0.9158477886847454,-0.007426475939519506,15.0,0.232421875,-0.4545454545454546,10,,1.0
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8972075574184271,0.8952167742885134,0.0019907831299136314,24.0,0.76953125,0.12727272727272732,10,,1.0
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8972075574184271,0.8827573771638988,0.014450180254528266,14.0,0.193359375,0.49090909090909096,10,,1.0
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),MissForest,0.8972075574184271,0.9158477886847454,-0.018640231266318308,10.0,0.083984375,-0.6363636363636365,10,,0.83984375
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.8952167742885134,0.8827573771638988,0.012459397124614635,18.0,0.375,0.34545454545454546,10,,1.0
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=10),MissForest,0.8952167742885134,0.9158477886847454,-0.02063101439623194,1.0,0.00390625,-0.9636363636363636,10,,0.05859375
discovery,mcar,0.3,f1_macro,True,RFECA_SVR(k=20),MissForest,0.8827573771638988,0.9158477886847454,-0.033090411520846574,0.0,0.00390625,-1.0,10,,0.05859375
discovery,mcar,0.05,rmse,False,SimpleMean,"KNN(k=5,dist)",2.8081285785899355,2.016992315275133,0.7911362633148027,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,SimpleMean,RFECA_SVR(k=5),2.8081285785899355,2.0406309920844974,0.7674975865054381,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,SimpleMean,RFECA_SVR(k=10),2.8081285785899355,2.1476662234311603,0.6604623551587752,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,SimpleMean,RFECA_SVR(k=20),2.8081285785899355,2.388047481929054,0.42008109666088167,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,SimpleMean,MissForest,2.8081285785899355,1.7610788481651167,1.0470497304248187,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=5),2.016992315275133,2.0406309920844974,-0.0236386768093646,23.0,0.6953125,-0.16363636363636358,10,,0.6953125
discovery,mcar,0.05,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=10),2.016992315275133,2.1476662234311603,-0.13067390815602753,12.0,0.130859375,-0.5636363636363637,10,,0.26171875
discovery,mcar,0.05,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=20),2.016992315275133,2.388047481929054,-0.371055166653921,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,"KNN(k=5,dist)",MissForest,2.016992315275133,1.7610788481651167,0.25591346711001606,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),2.0406309920844974,2.1476662234311603,-0.10703523134666293,9.0,0.064453125,-0.6727272727272726,10,,0.193359375
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),2.0406309920844974,2.388047481929054,-0.3474164898445564,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=5),MissForest,2.0406309920844974,1.7610788481651167,0.27955214391938066,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),2.1476662234311603,2.388047481929054,-0.2403812584978935,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=10),MissForest,2.1476662234311603,1.7610788481651167,0.3865873752660436,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,rmse,False,RFECA_SVR(k=20),MissForest,2.388047481929054,1.7610788481651167,0.6269686337639371,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,"KNN(k=5,dist)",2.8483087786082413,2.0850778545925936,0.7632309240156476,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,RFECA_SVR(k=5),2.8483087786082413,2.0960004545578665,0.7523083240503747,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,RFECA_SVR(k=10),2.8483087786082413,2.250653198847436,0.5976555797608052,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,RFECA_SVR(k=20),2.8483087786082413,2.4792008052240244,0.36910797338421686,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,SimpleMean,MissForest,2.8483087786082413,1.8333837943905078,1.0149249842177335,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=5),2.0850778545925936,2.0960004545578665,-0.010922599965272894,22.0,0.625,-0.19999999999999996,10,,0.625
discovery,mcar,0.1,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=10),2.0850778545925936,2.250653198847436,-0.16557534425484244,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=20),2.0850778545925936,2.4792008052240244,-0.39412295063143077,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,"KNN(k=5,dist)",MissForest,2.0850778545925936,1.8333837943905078,0.25169406020208585,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),2.0960004545578665,2.250653198847436,-0.15465274428956954,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),2.0960004545578665,2.4792008052240244,-0.3832003506661579,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=5),MissForest,2.0960004545578665,1.8333837943905078,0.26261666016735874,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),2.250653198847436,2.4792008052240244,-0.22854760637658833,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=10),MissForest,2.250653198847436,1.8333837943905078,0.4172694044569283,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,rmse,False,RFECA_SVR(k=20),MissForest,2.4792008052240244,1.8333837943905078,0.6458170108335166,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,SimpleMean,"KNN(k=5,dist)",2.7960689101501353,2.0782866261679245,0.7177822839822108,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,SimpleMean,RFECA_SVR(k=5),2.7960689101501353,2.1743004675557405,0.6217684425943948,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,SimpleMean,RFECA_SVR(k=10),2.7960689101501353,2.3227051231032236,0.4733637870469116,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,SimpleMean,RFECA_SVR(k=20),2.7960689101501353,2.6260577692841762,0.17001114086595903,1.0,0.00390625,0.9636363636363636,10,,0.029296875
discovery,mcar,0.2,rmse,False,SimpleMean,MissForest,2.7960689101501353,1.8573458378272778,0.9387230723228575,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=5),2.0782866261679245,2.1743004675557405,-0.09601384138781599,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=10),2.0782866261679245,2.3227051231032236,-0.24441849693529916,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=20),2.0782866261679245,2.6260577692841762,-0.5477711431162517,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,"KNN(k=5,dist)",MissForest,2.0782866261679245,1.8573458378272778,0.22094078834064668,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),2.1743004675557405,2.3227051231032236,-0.14840465554748317,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),2.1743004675557405,2.6260577692841762,-0.45175730172843576,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,RFECA_SVR(k=5),MissForest,2.1743004675557405,1.8573458378272778,0.31695462972846267,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),2.3227051231032236,2.6260577692841762,-0.3033526461809526,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,RFECA_SVR(k=10),MissForest,2.3227051231032236,1.8573458378272778,0.46535928527594583,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.2,rmse,False,RFECA_SVR(k=20),MissForest,2.6260577692841762,1.8573458378272778,0.7687119314568984,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,SimpleMean,"KNN(k=5,dist)",2.785821428510163,2.1541714459240033,0.6316499825861595,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,SimpleMean,RFECA_SVR(k=5),2.785821428510163,2.320350083104958,0.46547134540520485,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,SimpleMean,RFECA_SVR(k=10),2.785821428510163,2.5591873431285808,0.22663408538158203,1.0,0.00390625,0.9636363636363636,10,,0.029296875
discovery,mcar,0.3,rmse,False,SimpleMean,RFECA_SVR(k=20),2.785821428510163,2.825793539666974,-0.03997211115681143,19.0,0.431640625,-0.3090909090909091,10,,0.431640625
discovery,mcar,0.3,rmse,False,SimpleMean,MissForest,2.785821428510163,1.925343403590792,0.8604780249193709,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=5),2.1541714459240033,2.320350083104958,-0.1661786371809546,1.0,0.00390625,-0.9636363636363636,10,,0.029296875
discovery,mcar,0.3,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=10),2.1541714459240033,2.5591873431285808,-0.4050158972045774,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,"KNN(k=5,dist)",RFECA_SVR(k=20),2.1541714459240033,2.825793539666974,-0.6716220937429709,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,"KNN(k=5,dist)",MissForest,2.1541714459240033,1.925343403590792,0.2288280423332114,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),2.320350083104958,2.5591873431285808,-0.23883726002362282,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),2.320350083104958,2.825793539666974,-0.5054434565620163,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,RFECA_SVR(k=5),MissForest,2.320350083104958,1.925343403590792,0.395006679514166,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),2.5591873431285808,2.825793539666974,-0.26660619653839346,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,RFECA_SVR(k=10),MissForest,2.5591873431285808,1.925343403590792,0.6338439395377888,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.3,rmse,False,RFECA_SVR(k=20),MissForest,2.825793539666974,1.925343403590792,0.9004501360761823,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,SimpleMean,"KNN(k=5,dist)",0.991395823608008,0.9957050645445056,-0.004309240936497538,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,SimpleMean,RFECA_SVR(k=5),0.991395823608008,0.9955150706972308,-0.004119247089222733,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,SimpleMean,RFECA_SVR(k=10),0.991395823608008,0.9949992664452653,-0.0036034428372572203,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,SimpleMean,RFECA_SVR(k=20),0.991395823608008,0.9933479263751421,-0.0019521027671340896,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,SimpleMean,MissForest,0.991395823608008,0.9965444435856412,-0.005148619977633162,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9957050645445056,0.9955150706972308,0.00018999384727480528,16.0,0.275390625,0.4181818181818182,10,,0.275390625
discovery,mcar,0.05,corr_rv,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9957050645445056,0.9949992664452653,0.0007057980992403179,6.0,0.02734375,0.7818181818181819,10,,0.08203125
discovery,mcar,0.05,corr_rv,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9957050645445056,0.9933479263751421,0.0023571381693634486,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,"KNN(k=5,dist)",MissForest,0.9957050645445056,0.9965444435856412,-0.0008393790411356239,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.9955150706972308,0.9949992664452653,0.0005158042519655126,10.0,0.083984375,0.6363636363636364,10,,0.16796875
discovery,mcar,0.05,corr_rv,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.9955150706972308,0.9933479263751421,0.0021671443220886433,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,RFECA_SVR(k=5),MissForest,0.9955150706972308,0.9965444435856412,-0.0010293728884104292,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.9949992664452653,0.9933479263751421,0.0016513400701231307,1.0,0.00390625,0.9636363636363636,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,RFECA_SVR(k=10),MissForest,0.9949992664452653,0.9965444435856412,-0.0015451771403759418,1.0,0.00390625,-0.9636363636363636,10,,0.029296875
discovery,mcar,0.05,corr_rv,True,RFECA_SVR(k=20),MissForest,0.9933479263751421,0.9965444435856412,-0.0031965172104990724,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,SimpleMean,"KNN(k=5,dist)",0.9810641913992681,0.9910019525176054,-0.009937761118337218,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,SimpleMean,RFECA_SVR(k=5),0.9810641913992681,0.990267457217902,-0.009203265818633843,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,SimpleMean,RFECA_SVR(k=10),0.9810641913992681,0.9887258934007797,-0.007661702001511506,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,SimpleMean,RFECA_SVR(k=20),0.9810641913992681,0.9857749182836555,-0.0047107268843873396,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,SimpleMean,MissForest,0.9810641913992681,0.9929716829525848,-0.011907491553316607,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.9910019525176054,0.990267457217902,0.0007344952997033749,10.0,0.083984375,0.6363636363636364,10,,0.083984375
discovery,mcar,0.1,corr_rv,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.9910019525176054,0.9887258934007797,0.0022760591168257127,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.9910019525176054,0.9857749182836555,0.005227034233949879,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,"KNN(k=5,dist)",MissForest,0.9910019525176054,0.9929716829525848,-0.0019697304349793887,0.0,0.001953125,-1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.990267457217902,0.9887258934007797,0.0015415638171223378,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.990267457217902,0.9857749182836555,0.004492538934246504,0.0,0.001953125,1.0,10,,0.029296875
discovery,mcar,0.1,corr_rv,True,RFECA_SVR(k=5),MissForest,0.990267457217902,0.9929716829525848,-0.0027042257346827636,0.0,0.001953125,-1.0,10,,0.029296875
