mechanism,gene,rmse_mean,mae_mean,n,rank_within_mech
mar,NAT1,1.1982185232918536,0.929885855016396,20,2.0
mar,NDC80,0.2360710048421578,0.1816151343034526,20,46.0
mar,NUF2,0.27985320748327025,0.19715204055374363,20,44.0
mar,ORC6,0.3811218743040469,0.3122059436556116,20,33.0
mar,PGR,0.8373451565375696,0.6347188215432633,20,10.0
mar,PHGDH,0.9556908901220392,0.7477533725368287,20,7.0
mar,PTTG1,0.37659859730984124,0.29436362571819175,20,37.0
mar,RRM2,0.34075313770329363,0.2539068580712104,20,39.0
mar,SFRP1,1.0560234846318082,0.7304454061858245,20,4.0
mar,SLC39A6,0.9640621238843738,0.7667053750107385,20,6.0
mar,TMEM45B,0.5055403546556518,0.3694425427247462,20,29.0
mar,TYMS,0.49427101213121594,0.3867652229824431,20,30.0
mar,UBE2C,0.41431404686000894,0.32004896097956603,20,31.0
mar,UBE2T,0.377078064545808,0.285922415397557,20,36.0
mcar,ACTR3B,0.5368511484740401,0.3371152591612998,20,23.0
mcar,ANLN,0.29902989452983403,0.22368837924977797,20,42.0
mcar,BAG1,0.3080684465360102,0.2178699147419842,20,41.0
mcar,BCL2,0.6559616096563916,0.5085752494799709,20,15.0
mcar,BIRC5,0.49486542072267675,0.3605768423103254,20,27.0
mcar,BLVRA,0.6168489578354918,0.45907052246510194,20,17.0
mcar,CCNB1,0.35098632655876427,0.2694059215322136,20,38.0
mcar,CCNE1,0.4738950835638528,0.31685772150145275,20,30.0
mcar,CDC20,0.36043871854321813,0.2755534392610196,20,37.0
mcar,CDC6,0.19814916333482968,0.13308109200350718,20,49.0
mcar,CDH3,0.815152879899513,0.6182598789853313,20,10.0
mcar,CENPF,0.409219592450072,0.3101647632576595,20,31.0
mcar,CEP55,0.27319962351953964,0.20938285971189688,20,44.0
mcar,CXXC5,0.5583251437757808,0.42576367821727124,20,20.0
mcar,EGFR,0.5969990310558598,0.30281459135913746,20,18.0
mcar,ERBB2,0.5262829995032707,0.3922731364067336,20,24.0
mcar,ESR1,0.939289971723092,0.737289941936303,20,6.0
mcar,EXO1,0.3087804042800114,0.23895976978069014,20,40.0
mcar,FGFR4,0.839214079519808,0.5647776695205529,20,8.0
mcar,FOXA1,0.54716855509067,0.4024403438246488,20,21.0
mcar,FOXC1,0.7237739511090494,0.5292523997538248,20,13.0
mcar,GPR160,0.5830664809365371,0.45177182973443547,20,19.0
mcar,GRB7,0.5137168578910783,0.3742116058697963,20,26.0
mcar,KIF2C,0.24871535669587325,0.1918617483360618,20,45.0
mcar,KRT14,0.659939928915542,0.39340185645957637,20,14.0
mcar,KRT17,0.7640781483198855,0.5161700768015124,20,12.0
mcar,KRT5,0.5396447907066676,0.30412779765697845,20,22.0
mcar,MAPT,1.06041383251261,0.8077571001069612,20,3.0
mcar,MDM2,0.22133018317470304,0.15219854469037858,20,47.0
mcar,MELK,0.3821213207470126,0.28744542251980726,20,34.0
mcar,MIA,0.48199682796682336,0.29299235440017507,20,29.0
mcar,MKI67,0.20297216528501477,0.15450158196331276,20,48.0
mcar,MLPH,0.6340893431657293,0.48304972880395036,20,16.0
mcar,MMP11,1.2496471528384618,0.9757074211121879,20,1.0
mcar,MYBL2,0.16286541704352236,0.12727155096695095,20,50.0
mcar,MYC,0.810643695609657,0.6510874544902261,20,11.0
mcar,NAT1,1.2228986699316486,0.9444856704012766,20,2.0
mcar,NDC80,0.22606491370857018,0.1734483924634459,20,46.0
mcar,NUF2,0.28491632768520947,0.19497390884336632,20,43.0
mcar,ORC6,0.38826579794200955,0.31997153648540044,20,33.0
mcar,PGR,0.829204574494584,0.6383204393575534,20,9.0
mcar,PHGDH,0.918883213763461,0.7209122254423685,20,7.0
mcar,PTTG1,0.3794847560090321,0.29599800630357587,20,35.0
mcar,RRM2,0.3411518729758124,0.2604207600981559,20,39.0
mcar,SFRP1,0.9421343053378427,0.6572215616522551,20,5.0
mcar,SLC39A6,0.958468391588088,0.7624864610341139,20,4.0
mcar,TMEM45B,0.5179820543336365,0.3836923816786936,20,25.0
mcar,TYMS,0.48572654382995506,0.3801637967045827,20,28.0
mcar,UBE2C,0.40471622243114613,0.3094526915517391,20,32.0
mcar,UBE2T,0.3760301749320019,0.2869736009929763,20,36.0
