cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,p_holm
METABRIC,MCAR,0.1,f1_macro,True,Mean,MissForest,0.8747997280647162,0.8786664667109548,-0.0038667386462386544,-0.006693764807177193,-0.0009733664974482546,8.0,0.048828125,-0.6,10,5000,0.146484375
METABRIC,MCAR,0.1,f1_macro,True,KNN,MissForest,0.8756739489033232,0.8786664667109548,-0.002992517807631656,-0.00649601715062148,0.00038856824914901695,15.0,0.232421875,0.0,10,5000,0.46484375
METABRIC,MCAR,0.2,rmse,False,Mean,KNN,1.0675325388276042,0.7095707550674925,0.3579617837601118,0.352816166420231,0.3630208069228163,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,rmse,False,Mean,MissForest,1.0675325388276042,0.6371393598958995,0.4303931789317047,0.42575912883204897,0.4349618351915779,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,rmse,False,KNN,MissForest,0.7095707550674925,0.6371393598958995,0.07243139517159292,0.07080900907911113,0.07415807479267222,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,mae,False,Mean,KNN,0.7506195095902716,0.4818204136789229,0.26879909591134865,0.2660405595264133,0.27112166170717683,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,mae,False,Mean,MissForest,0.7506195095902716,0.42597991083370496,0.3246395987565666,0.32231995300497046,0.3267085773551192,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,mae,False,KNN,MissForest,0.4818204136789229,0.42597991083370496,0.055840502845217965,0.05453496697217343,0.05724227409165015,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,corr_rv,True,Mean,KNN,0.9903330879887285,0.9969743661175773,-0.006641278128848738,-0.006972873630150506,-0.006318717385049164,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,corr_rv,True,Mean,MissForest,0.9903330879887285,0.9976544752451604,-0.007321387256431833,-0.007643174067475824,-0.007005004627434507,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,corr_rv,True,KNN,MissForest,0.9969743661175773,0.9976544752451604,-0.000680109127583095,-0.000754622351377105,-0.0005990580186959707,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,f1_macro,True,Mean,KNN,0.8660736598153809,0.8691416635535306,-0.0030680037381497494,-0.005130963202457486,-0.0009089461177281375,8.0,0.048828125,-0.6,10,5000,0.048828125
METABRIC,MCAR,0.2,f1_macro,True,Mean,MissForest,0.8660736598153809,0.8741775961522379,-0.00810393633685702,-0.010347092037933263,-0.005742564767974974,0.0,0.001953125,-1.0,10,5000,0.005859375
METABRIC,MCAR,0.2,f1_macro,True,KNN,MissForest,0.8691416635535306,0.8741775961522379,-0.005035932598707271,-0.007386687901025988,-0.0025050354500288936,3.0,0.009765625,-0.8,10,5000,0.01953125
METABRIC,MCAR,0.3,rmse,False,Mean,KNN,1.0688084698772478,0.7335889223533446,0.33521954752390315,0.33052908412832105,0.3397074308379912,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.3,rmse,False,Mean,MissForest,1.0688084698772478,0.6532032377531888,0.415605232124059,0.4117576807012364,0.4190395944754474,0.0,0.001953125,1.0,10,5000,0.005859375
METABRIC,MCAR,0.3,rmse,False,KNN,MissForest,0.7335889223533446,0.6532032377531888,0.08038568460015583,0.07748596553943077,0.0835044541390519,0.0,0.001953125,1.0,10,5000,0.005859375
