mechanism,missing_rate,gene,rmse_mean,mae_mean,n
mcar,0.2,EGFR,0.5677189820744403,0.3001604393259427,5
mcar,0.2,ERBB2,0.5205829206428533,0.38942922292264404,5
mcar,0.2,ESR1,0.9239365396154957,0.7269935088973606,5
mcar,0.2,EXO1,0.30604536492288525,0.2359077599732693,5
mcar,0.2,FGFR4,0.8770285304189805,0.5905839080662098,5
mcar,0.2,FOXA1,0.5460776659800276,0.3991094616140791,5
mcar,0.2,FOXC1,0.7332628568530861,0.5379161949195822,5
mcar,0.2,GPR160,0.5639898311194018,0.4409614196218038,5
mcar,0.2,GRB7,0.4848731652164859,0.36318948898752135,5
mcar,0.2,KIF2C,0.24131288928640976,0.1878441134375654,5
mcar,0.2,KRT14,0.6648052447311773,0.39223886922221896,5
mcar,0.2,KRT17,0.7622912156691579,0.517678719946301,5
mcar,0.2,KRT5,0.5749911928958813,0.3144802179377619,5
mcar,0.2,MAPT,1.0691646733508562,0.8224088376565654,5
mcar,0.2,MDM2,0.21998415990296313,0.15100051624306707,5
mcar,0.2,MELK,0.3765111114680832,0.282760016928673,5
mcar,0.2,MIA,0.46134179579599993,0.28186701142225934,5
mcar,0.2,MKI67,0.2103071948912994,0.15890010023640067,5
mcar,0.2,MLPH,0.6448271409392693,0.48747921622974133,5
mcar,0.2,MMP11,1.2636419547510735,0.9936006350357026,5
mcar,0.2,MYBL2,0.1632409521635584,0.12704848534469182,5
mcar,0.2,MYC,0.8204883876504674,0.6511740978285173,5
mcar,0.2,NAT1,1.2387848144289404,0.9662217795630665,5
mcar,0.2,NDC80,0.23228954388363915,0.17823225374748167,5
mcar,0.2,NUF2,0.27880701524062285,0.19337626212079267,5
mcar,0.2,ORC6,0.38264960174109225,0.3133893422336361,5
mcar,0.2,PGR,0.8529447209351166,0.6501785684346421,5
mcar,0.2,PHGDH,0.9008795601650655,0.7090476326251147,5
mcar,0.2,PTTG1,0.3691008494359213,0.2871727501431767,5
mcar,0.2,RRM2,0.3501621114612775,0.2648769512332265,5
mcar,0.2,SFRP1,0.9595442354138306,0.6593932956041054,5
mcar,0.2,SLC39A6,0.9578375031361626,0.758304614410651,5
mcar,0.2,TMEM45B,0.5057096906043377,0.3708411957525125,5
mcar,0.2,TYMS,0.49471620080157974,0.38348409229789304,5
mcar,0.2,UBE2C,0.3968758850703059,0.300448356325111,5
mcar,0.2,UBE2T,0.3720268569024695,0.28620711382444364,5
mcar,0.3,ACTR3B,0.529538927194324,0.3277226465065266,5
mcar,0.3,ANLN,0.3018536300655913,0.22699477326804351,5
mcar,0.3,BAG1,0.30643003785545436,0.21825649195742244,5
mcar,0.3,BCL2,0.6523235619887573,0.5016603190960698,5
mcar,0.3,BIRC5,0.4901363295801112,0.3604472248407604,5
mcar,0.3,BLVRA,0.6193797653635382,0.46495837472413715,5
mcar,0.3,CCNB1,0.3362445680641277,0.2596921574129732,5
mcar,0.3,CCNE1,0.47435102497540715,0.32057753744095524,5
mcar,0.3,CDC20,0.3792528379680272,0.28909285224345815,5
mcar,0.3,CDC6,0.19324977722461997,0.13197272825622805,5
mcar,0.3,CDH3,0.8281121073532827,0.6122929998786801,5
mcar,0.3,CENPF,0.4155345578548883,0.31134861866049945,5
mcar,0.3,CEP55,0.2715390283529128,0.20736119280889423,5
mcar,0.3,CXXC5,0.5635541432128749,0.4256424704159548,5
mcar,0.3,EGFR,0.6250803420799258,0.3153356490264887,5
mcar,0.3,ERBB2,0.5516846738588759,0.3960161571107289,5
mcar,0.3,ESR1,0.9334731278148283,0.7318121093595812,5
mcar,0.3,EXO1,0.3163429413116225,0.24375000231381522,5
mcar,0.3,FGFR4,0.8004205616116092,0.5414705968310533,5
mcar,0.3,FOXA1,0.5723106224793038,0.4116732955458229,5
mcar,0.3,FOXC1,0.7215025766558669,0.5325841646980736,5
mcar,0.3,GPR160,0.5952477468360706,0.45850492319611896,5
mcar,0.3,GRB7,0.5264433178114555,0.3818845751625114,5
mcar,0.3,KIF2C,0.25066899466269293,0.19199218300692755,5
mcar,0.3,KRT14,0.6869897720513929,0.40185725270136635,5
mcar,0.3,KRT17,0.8164750402775219,0.5402068122379131,5
mcar,0.3,KRT5,0.5445559707830102,0.30976298652361256,5
mcar,0.3,MAPT,1.0820396024371883,0.8241297462768804,5
mcar,0.3,MDM2,0.21916138725309695,0.1523565995137086,5
mcar,0.3,MELK,0.3717097855440361,0.2780261201524327,5
mcar,0.3,MIA,0.46432446417654144,0.28155533154899437,5
mcar,0.3,MKI67,0.21167759291685173,0.15967215960880932,5
mcar,0.3,MLPH,0.619159701325166,0.47547664207199725,5
mcar,0.3,MMP11,1.2700905095969737,0.9912465222079634,5
mcar,0.3,MYBL2,0.16685980699187658,0.1289314077500775,5
mcar,0.3,MYC,0.8109438447471111,0.6511685718718148,5
mcar,0.3,NAT1,1.256572019525721,0.9738097908399908,5
mcar,0.3,NDC80,0.23221946686522266,0.17630967325807856,5
mcar,0.3,NUF2,0.29597587144010035,0.20135505618395758,5
mcar,0.3,ORC6,0.3842408309084974,0.3136228805413304,5
mcar,0.3,PGR,0.8435429820849224,0.6484167749317534,5
mcar,0.3,PHGDH,0.9350924307368305,0.7379364738494402,5
mcar,0.3,PTTG1,0.38401001160054926,0.29988776316677096,5
mcar,0.3,RRM2,0.3506776801693297,0.26291399957259093,5
mcar,0.3,SFRP1,0.9713657194914184,0.6811214728348115,5
mcar,0.3,SLC39A6,0.9656186890304325,0.7668232554985301,5
mcar,0.3,TMEM45B,0.5157739489670558,0.3833013212378583,5
mcar,0.3,TYMS,0.48060084493959393,0.37283974978836226,5
mcar,0.3,UBE2C,0.42064117479606067,0.32127535386752326,5
mcar,0.3,UBE2T,0.38625597300566084,0.2915422638951937,5
