cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,note,p_holm
cptac_2c,mcar,0.05,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),1.8019355319789043,1.8215748562860548,-0.019639324307150475,-0.04091596794504432,0.0009211568042460278,14.0,0.193359375,-0.49090909090909096,10,5000,,0.193359375
cptac_2c,mcar,0.05,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),1.8019355319789043,1.8814198921442298,-0.07948436016532537,-0.10993663190211456,-0.03816788443839997,4.0,0.013671875,-0.8545454545454545,10,5000,,0.041015625
cptac_2c,mcar,0.05,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),1.8215748562860548,1.8814198921442298,-0.05984503585817489,-0.0838775315251051,-0.02375265450160496,6.0,0.02734375,-0.7818181818181817,10,5000,,0.0546875
cptac_2c,mcar,0.1,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),1.8083404649737784,1.8152711388624219,-0.006930673888643923,-0.020781482799836496,0.00605836095147227,20.0,0.4921875,-0.2727272727272727,10,5000,,0.4921875
cptac_2c,mcar,0.1,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),1.8083404649737784,1.9105050502087846,-0.10216458523500611,-0.12185071004846432,-0.08043065795254505,0.0,0.001953125,-1.0,10,5000,,0.005859375
cptac_2c,mcar,0.1,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),1.8152711388624219,1.9105050502087846,-0.0952339113463622,-0.11861009529487594,-0.07315411908026762,0.0,0.001953125,-1.0,10,5000,,0.005859375
cptac_2c,mcar,0.2,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),1.9807884246272696,2.008597245048073,-0.027808820420803414,-0.04568301086288019,-0.009237795186022012,6.0,0.02734375,-0.7818181818181817,10,5000,,0.02734375
cptac_2c,mcar,0.2,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=20),1.9807884246272696,2.088108639015263,-0.10732021438799308,-0.14817908724682585,-0.0612750194001254,3.0,0.009765625,-0.8909090909090909,10,5000,,0.01953125
cptac_2c,mcar,0.2,rmse,False,RFECA_SVR(k=10),RFECA_SVR(k=20),2.008597245048073,2.088108639015263,-0.07951139396718968,-0.11389468372787087,-0.047335207223997845,1.0,0.00390625,-0.9636363636363636,10,5000,,0.01171875
cptac_2c,mcar,0.3,rmse,False,RFECA_SVR(k=5),RFECA_SVR(k=10),2.072919783458199,2.1225456653142145,-0.04962588185601528,-0.06573085829223617,-0.0331022130284419,1.0,0.00390625,-0.9636363636363636,10,5000,,0.005859375
