mechanism,missing_rate,gene,mean_pairwise_jaccard
MAR,0.3,EGFR,0.6577940577940578
MAR,0.3,ERBB2,0.6142991059120091
MAR,0.3,ESR1,0.5981534531879361
MAR,0.3,EXO1,0.5885788553551711
MAR,0.3,FGFR4,0.5623360843828029
MAR,0.3,FOXA1,0.7421086956521739
MAR,0.3,FOXC1,0.633639846743295
MAR,0.3,GPR160,0.6035249042145594
MAR,0.3,GRB7,0.630051654334776
MAR,0.3,KIF2C,0.49659761373891803
MAR,0.3,KRT14,0.5896433485998703
MAR,0.3,KRT17,0.85
MAR,0.3,KRT5,0.5573961385320413
MAR,0.3,MAPT,0.6031422811059908
MAR,0.3,MDM2,0.5226557752869596
MAR,0.3,MELK,0.5241998678080315
MAR,0.3,MIA,0.6436206362335394
MAR,0.3,MKI67,0.4981275354969574
MAR,0.3,MLPH,0.5896505707399756
MAR,0.3,MMP11,0.598587772935599
MAR,0.3,MYBL2,0.5473890291588059
MAR,0.3,MYC,0.6685997669368081
MAR,0.3,NAT1,0.6225441735786564
MAR,0.3,NDC80,0.5724923047948632
MAR,0.3,NUF2,0.6698518518518518
MAR,0.3,ORC6,0.5691512988926782
MAR,0.3,PGR,0.6061276998863205
MAR,0.3,PHGDH,0.6321109286626527
MAR,0.3,PTTG1,0.6324710538503642
MAR,0.3,RRM2,0.5695786708244996
MAR,0.3,SFRP1,0.6313853597676686
MAR,0.3,SLC39A6,0.615745537369564
MAR,0.3,TMEM45B,0.569653277756726
MAR,0.3,TYMS,0.6499566205908034
MAR,0.3,UBE2C,0.739041514041514
MAR,0.3,UBE2T,0.6707853527546621
MCAR,0.05,ACTR3B,0.7111790616790616
MCAR,0.05,ANLN,0.757207991242474
MCAR,0.05,BAG1,0.7597934472934473
MCAR,0.05,BCL2,0.8198974358974359
MCAR,0.05,BIRC5,0.6580490566682471
MCAR,0.05,BLVRA,0.6993341384863123
MCAR,0.05,CCNB1,0.7201358398944606
MCAR,0.05,CCNE1,0.8316464759073454
MCAR,0.05,CDC20,0.8208319088319088
MCAR,0.05,CDC6,0.53088447733299
MCAR,0.05,CDH3,0.7498733667354356
MCAR,0.05,CENPF,0.6793703703703704
MCAR,0.05,CEP55,0.9259999999999999
MCAR,0.05,CXXC5,0.77991452991453
MCAR,0.05,EGFR,0.7413899063899063
MCAR,0.05,ERBB2,0.7070547205029964
MCAR,0.05,ESR1,0.6609975845410628
MCAR,0.05,EXO1,0.740482905982906
MCAR,0.05,FGFR4,0.8271819291819293
MCAR,0.05,FOXA1,0.8981818181818182
MCAR,0.05,FOXC1,0.8255295075295075
MCAR,0.05,GPR160,0.7533072291692982
MCAR,0.05,GRB7,0.7479130305688388
MCAR,0.05,KIF2C,0.6280304243482655
MCAR,0.05,KRT14,0.7045007929490688
MCAR,0.05,KRT17,0.43245995423340966
MCAR,0.05,KRT5,0.7557667887667887
MCAR,0.05,MAPT,0.7845982905982906
MCAR,0.05,MDM2,0.5832804232804232
MCAR,0.05,MELK,0.7023944816358609
MCAR,0.05,MIA,0.7577357240183328
MCAR,0.05,MKI67,0.7678738298738299
MCAR,0.05,MLPH,0.6953296703296703
MCAR,0.05,MMP11,0.7450138026224984
MCAR,0.05,MYBL2,0.7507002801120449
MCAR,0.05,MYC,0.7914810744810744
MCAR,0.05,NAT1,0.784125356125356
MCAR,0.05,NDC80,0.7443921442542132
MCAR,0.05,NUF2,0.6922279733149298
MCAR,0.05,ORC6,0.622807881773399
MCAR,0.05,PGR,0.7616060236060236
MCAR,0.05,PHGDH,0.8198974358974359
MCAR,0.05,PTTG1,0.7439551176792556
MCAR,0.05,RRM2,0.741412319481285
MCAR,0.05,SFRP1,0.7298613592949977
MCAR,0.05,SLC39A6,0.8077460317460318
MCAR,0.05,TMEM45B,0.6595238095238096
MCAR,0.05,TYMS,0.8245003185220575
MCAR,0.05,UBE2C,0.9195496098104792
MCAR,0.05,UBE2T,0.6761902107554281
MCAR,0.1,ACTR3B,0.6243439074113737
MCAR,0.1,ANLN,0.575195675971538
MCAR,0.1,BAG1,0.7311941391941391
MCAR,0.1,BCL2,0.6871805397667466
MCAR,0.1,BIRC5,0.6682560121038381
MCAR,0.1,BLVRA,0.6677865238210066
MCAR,0.1,CCNB1,0.7186779504020883
MCAR,0.1,CCNE1,0.7516381766381767
MCAR,0.1,CDC20,0.6540547906754803
MCAR,0.1,CDC6,0.43159967865529597
MCAR,0.1,CDH3,0.7129948914431673
MCAR,0.1,CENPF,0.6575290163221197
MCAR,0.1,CEP55,0.895088071348941
MCAR,0.1,CXXC5,0.7975710215710216
MCAR,0.1,EGFR,0.6709825303520957
MCAR,0.1,ERBB2,0.6905442577856371
MCAR,0.1,ESR1,0.6502062731484312
MCAR,0.1,EXO1,0.6801280193236715
MCAR,0.1,FGFR4,0.8426080586080585
MCAR,0.1,FOXA1,0.8446822742474916
MCAR,0.1,FOXC1,0.7615238095238095
MCAR,0.1,GPR160,0.7460843753947202
MCAR,0.1,GRB7,0.6523038289813765
MCAR,0.1,KIF2C,0.5830565169185858
MCAR,0.1,KRT14,0.6321666666666667
MCAR,0.1,KRT17,0.6132352941176471
MCAR,0.1,KRT5,0.7236406186406186
MCAR,0.1,MAPT,0.705916197303294
MCAR,0.1,MDM2,0.507480546891003
MCAR,0.1,MELK,0.5637799952282713
MCAR,0.1,MIA,0.7697132682132681
MCAR,0.1,MKI67,0.7652893772893773
MCAR,0.1,MLPH,0.6257685992168751
MCAR,0.1,MMP11,0.8001823361823363
MCAR,0.1,MYBL2,0.7734593837535014
MCAR,0.1,MYC,0.7866275946275947
MCAR,0.1,NAT1,0.7764199682820372
MCAR,0.1,NDC80,0.7611672771672772
MCAR,0.1,NUF2,0.8307824898213914
MCAR,0.1,ORC6,0.6575126321789281
MCAR,0.1,PGR,0.7110280830280831
MCAR,0.1,PHGDH,0.7734407814407814
MCAR,0.1,PTTG1,0.7532944437427196
MCAR,0.1,RRM2,0.7735356125356125
MCAR,0.1,SFRP1,0.6922006102212052
MCAR,0.1,SLC39A6,0.7181492568733947
MCAR,0.1,TMEM45B,0.5931132654063689
MCAR,0.1,TYMS,0.7743443223443224
MCAR,0.1,UBE2C,0.8750641025641025
MCAR,0.1,UBE2T,0.7192407407407407
MCAR,0.2,ACTR3B,0.5269589411643385
MCAR,0.2,ANLN,0.4987037006527261
MCAR,0.2,BAG1,0.6039041163179094
