mechanism,missing_rate,replicate,method,rmse,mae
mcar,0.05,4,MissForest,0.588805571772493,0.4022642320126637
mcar,0.1,0,KNN,0.6988636097207188,0.4714577852427326
mcar,0.1,0,Mean,1.080738124386566,0.7516889016007503
mcar,0.1,0,MissForest,0.6413348387856357,0.4259770875017482
mcar,0.1,1,KNN,0.6828346899401215,0.4642749542561241
mcar,0.1,1,Mean,1.065815020009352,0.7505058150994282
mcar,0.1,1,MissForest,0.6164313439137173,0.4158598119566971
mcar,0.1,2,KNN,0.683411002072495,0.4664228657704257
mcar,0.1,2,Mean,1.078265588234172,0.7595963181747696
mcar,0.1,2,MissForest,0.6153929337568917,0.4111785127414091
mcar,0.1,3,KNN,0.6799166891875963,0.4651237007659338
mcar,0.1,3,Mean,1.0757574701289363,0.7600642314543867
mcar,0.1,3,MissForest,0.6094084036054136,0.4124124883887579
mcar,0.1,4,KNN,0.674836156212458,0.4621537425685798
mcar,0.1,4,Mean,1.065119147877512,0.7466741474842915
mcar,0.1,4,MissForest,0.6184274615376065,0.413588717916189
mcar,0.2,0,KNN,0.7051436643570418,0.4774384940026064
mcar,0.2,0,Mean,1.067847081453147,0.7519408916933435
mcar,0.2,0,MissForest,0.6286945447413039,0.4221258689825806
mcar,0.2,1,KNN,0.7104887701399921,0.4833948475014786
mcar,0.2,1,Mean,1.0721562752394245,0.7525537240791589
mcar,0.2,1,MissForest,0.627066529391576,0.4224140309662436
mcar,0.2,2,KNN,0.7060011702979415,0.4790207155540303
mcar,0.2,2,Mean,1.0732970668998014,0.750850387726736
mcar,0.2,2,MissForest,0.6319592074531527,0.4201068438890885
mcar,0.2,3,KNN,0.7033030918493528,0.4775122034820098
mcar,0.2,3,Mean,1.0678603515664848,0.7512081925381142
mcar,0.2,3,MissForest,0.6209621459869447,0.4184012815939287
mcar,0.2,4,KNN,0.7044396887665276,0.4805459376837063
mcar,0.2,4,Mean,1.0587265700627992,0.7476112219230885
mcar,0.2,4,MissForest,0.6197829217286233,0.4166709483731588
mcar,0.3,0,KNN,0.7287439162517397,0.4969680422103665
mcar,0.3,0,Mean,1.0600414614831708,0.7505630136930725
mcar,0.3,0,MissForest,0.6545807453408653,0.4366394585167897
mcar,0.3,1,KNN,0.7340288400448276,0.499521787944823
mcar,0.3,1,Mean,1.0759661302508416,0.7559561867448008
mcar,0.3,1,MissForest,0.6469398614864158,0.4320568120024013
mcar,0.3,2,KNN,0.7278368167331896,0.493085642091117
mcar,0.3,2,Mean,1.0657692959416083,0.7528085098576196
mcar,0.3,2,MissForest,0.6446903454723685,0.4304809174385278
mcar,0.3,3,KNN,0.7313553331177313,0.4975151160218801
mcar,0.3,3,Mean,1.070493662493066,0.7524080678496649
mcar,0.3,3,MissForest,0.6482223920253394,0.4333297881006929
mcar,0.3,4,KNN,0.7313410214720568,0.4952953156301098
mcar,0.3,4,Mean,1.0639634383671726,0.7504164318444934
mcar,0.3,4,MissForest,0.6421144556805498,0.4306278275698011
mcar,0.05,0,OriginalRFECA,0.6107631328917148,0.4028106636086227
mcar,0.05,1,OriginalRFECA,0.6128626735278541,0.3985806843926208
mcar,0.05,2,OriginalRFECA,0.6267313411728871,0.4138948991892275
mcar,0.05,3,OriginalRFECA,0.6184607828978039,0.4136945567679597
mcar,0.05,4,OriginalRFECA,0.5943293081711918,0.3976411974523214
mcar,0.1,0,OriginalRFECA,0.6252048164625302,0.4108696323027072
mcar,0.1,1,OriginalRFECA,0.6192621529081638,0.406687634547618
mcar,0.1,2,OriginalRFECA,0.6089959488632618,0.4034432463788689
mcar,0.1,3,OriginalRFECA,0.6057922263981441,0.4044635073746678
mcar,0.1,4,OriginalRFECA,0.6139865059422975,0.4088212476286723
mcar,0.2,0,OriginalRFECA,0.6210393322162794,0.4080637203205495
