mechanism,missing_rate,method,gene,rmse_mean,rmse_std,mae_mean,mae_std,n_reps
mar,0.1,KNN,BIRC5,0.5446581151779132,0.0315663802007233,0.4106048208577291,0.015621405807017959,5
mar,0.1,KNN,BLVRA,0.6770977032872986,0.04640227076093682,0.5256119396533521,0.027386576978017663,5
mar,0.1,KNN,CCNB1,0.4646346278692114,0.03547035108538774,0.35151306027473794,0.017652854360653485,5
mar,0.1,KNN,CCNE1,0.5409705409575192,0.07825531825575144,0.37370908348220644,0.03654363302694957,5
mar,0.1,KNN,CDC20,0.5492734045337717,0.01932172137657942,0.4245420074690678,0.011407709509284776,5
mar,0.1,KNN,CDC6,0.24660279154111145,0.03847144097471447,0.15363351309470002,0.012085633414383708,5
mar,0.1,KNN,CDH3,0.893983757351241,0.08857597362018489,0.6844141583614485,0.054506367025762496,5
mar,0.1,KNN,CENPF,0.5328075182941361,0.02613379617963663,0.40831796468539727,0.014936419496005266,5
mar,0.1,KNN,CEP55,0.35632294075300663,0.032084972224840747,0.2734919366797999,0.021368433489866768,5
mar,0.1,KNN,CXXC5,0.6232989835866991,0.04405519673124668,0.4945011861780067,0.03489184630257617,5
mar,0.1,KNN,EGFR,0.758736151008012,0.1177361080468605,0.3738923333065604,0.042872408988057234,5
mar,0.1,KNN,ERBB2,0.7987932938938387,0.0579820126048064,0.5788204163509091,0.02032027273662751,5
mar,0.1,KNN,ESR1,0.9623914905021401,0.031233731040577577,0.7402457501268124,0.028886970617056848,5
mar,0.1,KNN,EXO1,0.3788541359187762,0.01920908634470659,0.28919394856735253,0.018141916277237036,5
mar,0.1,KNN,FGFR4,0.8248983856307077,0.027060001998304224,0.5704108126989572,0.023860303267579857,5
mar,0.1,KNN,FOXA1,0.7242073848834191,0.08750845551551205,0.48535809364865684,0.020392038746170103,5
mar,0.1,KNN,FOXC1,0.7487149494007816,0.042449293315196604,0.5630333090613705,0.03532174112717561,5
mar,0.1,KNN,GPR160,0.6629739579298345,0.04646724760458287,0.5220570359404321,0.0350023172177734,5
mar,0.1,KNN,GRB7,0.7053473482925415,0.06913418615162054,0.4891491688956065,0.042499123354825745,5
mar,0.1,KNN,KIF2C,0.3604382611512958,0.03227931547117267,0.27849777736753706,0.024986854009295723,5
mar,0.1,KNN,KRT14,0.8972872239968073,0.0683487287437715,0.6069986814714362,0.02806758385932471,5
mar,0.1,KNN,KRT17,0.9516523279433748,0.10322698095888187,0.707004676765301,0.06775836562368596,5
mar,0.1,KNN,KRT5,0.6737639129435781,0.05215338149850706,0.41478419449463255,0.04746107886915313,5
mar,0.1,KNN,MAPT,1.1386113040889314,0.08489017923329838,0.87540859801095,0.057788325940569686,5
mar,0.1,KNN,MDM2,0.2553957904443137,0.03185239984675831,0.17826231789232844,0.012754420265641407,5
mar,0.1,KNN,MELK,0.4760936692491898,0.03452784254730035,0.3693381141836819,0.026668695309285152,5
mar,0.1,KNN,MIA,0.5782004709477307,0.05245721787322842,0.3396766157375265,0.013411606695557025,5
mar,0.1,KNN,MKI67,0.2527737699413831,0.010196690557224867,0.18455535681600999,0.010071795438944443,5
mar,0.1,KNN,MLPH,0.8018211935751595,0.046976394317358235,0.6043359335655898,0.02642029259128691,5
mar,0.1,KNN,MMP11,1.3601808748014552,0.10181098610620523,1.077947565259549,0.07430207158399017,5
mar,0.1,KNN,MYBL2,0.18693479295925305,0.014456319543562846,0.1453398418976645,0.010459059043580509,5
mar,0.1,KNN,MYC,0.9412500172876225,0.06028540145377926,0.7434213224358086,0.048334869831274906,5
mar,0.1,KNN,NAT1,1.3019942187565292,0.0766044109604473,0.9515093827112301,0.04954890286024892,5
mar,0.1,KNN,NDC80,0.33179082280986655,0.022338515575240026,0.24586604511883295,0.021088889010887055,5
mar,0.1,KNN,NUF2,0.33554447530390774,0.03385015806194333,0.2422219402899723,0.020807496548936204,5
mar,0.1,KNN,ORC6,0.4190715460330597,0.02270821948518019,0.3393296431815893,0.024714440680893405,5
mar,0.1,KNN,PGR,0.876171047439259,0.0700458588565653,0.6606522461315825,0.06269419737493463,5
mar,0.1,KNN,PHGDH,1.0208685281127408,0.0524688687696706,0.8060433740806783,0.048492714791247414,5
mar,0.1,KNN,PTTG1,0.4749861303526909,0.03491345886875885,0.3725014106174214,0.022511386378239975,5
mar,0.1,KNN,RRM2,0.38635093409584315,0.007227743672894046,0.28969536932634715,0.004912868116249796,5
mar,0.1,KNN,SFRP1,1.1152566385801053,0.0836925375158422,0.8480043075991324,0.04623985817619101,5
mar,0.1,KNN,SLC39A6,1.0851062006849759,0.07201756880194811,0.8464055562189241,0.061247014524961355,5
mar,0.1,KNN,TMEM45B,0.5256069633415188,0.044436148217359764,0.3773482533261927,0.01930429365224629,5
mar,0.1,KNN,TYMS,0.5816409616587755,0.029313455076591433,0.45342590684639533,0.0307173587327023,5
mar,0.1,KNN,UBE2C,0.5617869189748357,0.02632598591206838,0.4376543308666001,0.02491276564685881,5
mar,0.1,KNN,UBE2T,0.48839333078538383,0.01778560263748741,0.3816201996024476,0.012094382324323399,5
mar,0.1,Mean,ACTR3B,0.8403595207668062,0.08058163351725106,0.5210625621548456,0.048911037839354105,5
mar,0.1,Mean,ANLN,0.6614415326376885,0.04439645166069669,0.5389226861451915,0.027535895490540842,5
mar,0.1,Mean,BAG1,0.3489104655003996,0.038072908166600306,0.253367997165779,0.012449856455795235,5
mar,0.1,Mean,BCL2,1.136951990733399,0.05304528877092514,0.9363005096597851,0.05161560774931788,5
mar,0.1,Mean,BIRC5,1.0488268233468108,0.037992484939741646,0.8584571512059572,0.04176653586707244,5
mar,0.1,Mean,BLVRA,0.7836850070434255,0.014701678738097699,0.622109225766723,0.014325832096206456,5
mar,0.1,Mean,CCNB1,0.6621857834263044,0.052528119925072135,0.5381514803574436,0.04089161063843595,5
mar,0.1,Mean,CCNE1,0.949900857077384,0.09603405369942397,0.716724958650422,0.060416824619953596,5
mar,0.1,Mean,CDC20,1.2744657632564076,0.07571017310862015,1.0411544952515663,0.07605680335160375,5
mar,0.1,Mean,CDC6,0.2697366848386612,0.04394226630898581,0.16167608341207912,0.018040111629232598,5
mar,0.1,Mean,CDH3,1.4220852929039403,0.02663217433052869,1.1507070006613107,0.027326470500871825,5
mar,0.1,Mean,CENPF,0.9359335793908625,0.038000235059844074,0.7679672314084857,0.02778428160116114,5
mar,0.1,Mean,CEP55,0.8523216809996679,0.05765872218761651,0.7094366364457295,0.055377351472676625,5
mar,0.1,Mean,CXXC5,0.9130170752847411,0.0644613360923016,0.6959015231328869,0.06279370800179505,5
mar,0.1,Mean,EGFR,0.983904361319324,0.11752008906386334,0.5930166997845356,0.03813320711093148,5
mar,0.1,Mean,ERBB2,1.3174430267153212,0.06779008508745077,0.972388583061855,0.07129944100442426,5
mar,0.1,Mean,ESR1,2.3127057841101992,0.08757143218182895,1.868492791763583,0.0876629600447802,5
mar,0.1,Mean,EXO1,0.8567185072611112,0.01649209881299162,0.7229812916611015,0.021144483996439117,5
mar,0.1,Mean,FGFR4,0.9832061034309685,0.06819165583777387,0.755489550933303,0.03262160059746834,5
mar,0.1,Mean,FOXA1,2.1951758841585565,0.1038478119067207,1.3795278965356412,0.08206034738566813,5
mar,0.1,Mean,FOXC1,1.565514420852302,0.15336960354529366,1.0699660644295235,0.0991897443451419,5
mar,0.1,Mean,GPR160,0.8914927017576805,0.05396784691009764,0.6966371470877274,0.03342731605391044,5
mar,0.1,Mean,GRB7,1.1844497416563748,0.11392539276204156,0.8456048048784242,0.04519393923558817,5
mar,0.1,Mean,KIF2C,0.8751283211669622,0.019104206435444585,0.7339730917582252,0.02237101444879373,5
mar,0.1,Mean,KRT14,1.3434475479709973,0.08691870273288585,1.0566206562526865,0.04214278063108619,5
mar,0.1,Mean,KRT17,1.7000163705945788,0.06283536600545447,1.3880313828337107,0.04506057704113605,5
mar,0.1,Mean,KRT5,1.2915166630569364,0.05227726744110095,0.9007338312992303,0.035925246560549906,5
mar,0.1,Mean,MAPT,1.6009696698804554,0.06495423187967117,1.377764444901254,0.05797288959906035,5
