imputer,missing_rate,replicate,rmse_mean,rmse_std,mae_mean,mae_std,folds,total_masked_test_values
"KNN(k=5,dist)",0.05,9,1.8476771526986853,0.20310110766641284,1.2670071379261851,0.09105014834512175,5,291
RFECA_SVR(k=5),0.05,9,1.9642029149279925,0.16934887550629665,1.3478348519450425,0.14382701119632416,5,291
RFECA_SVR(k=10),0.05,9,1.9603414435036988,0.16256611744422353,1.3215594613981871,0.05796314121588192,5,291
RFECA_SVR(k=20),0.05,9,2.1913356882367263,0.15859822154362171,1.538933220491399,0.14569726169467032,5,291
SimpleMean,0.1,0,2.487455438058093,0.3050303131501619,1.8862358293289112,0.2431614149364159,5,562
"KNN(k=5,dist)",0.1,0,1.8691130122277055,0.12164073093042668,1.3047519981913704,0.100099672832686,5,562
RFECA_SVR(k=5),0.1,0,1.790214754652138,0.09553475861590795,1.2503764409744906,0.0672650464080168,5,562
RFECA_SVR(k=10),0.1,0,2.0632270584509147,0.14715305860714126,1.4070027938336105,0.07489559171346494,5,562
RFECA_SVR(k=20),0.1,0,2.181312363256105,0.28354901447632325,1.5639921583350582,0.18737971685680774,5,562
SimpleMean,0.1,1,2.739554817420239,0.2802122740274535,2.0406614368300415,0.20728826562781683,5,581
"KNN(k=5,dist)",0.1,1,2.0253607015359805,0.23677810064903634,1.4262709853792708,0.17221784360141987,5,581
RFECA_SVR(k=5),0.1,1,1.8800958187198529,0.24724673679933232,1.326170135979783,0.17500568730514998,5,581
RFECA_SVR(k=10),0.1,1,2.115189254876597,0.27423465655791524,1.4384339927655563,0.15898108867663172,5,581
RFECA_SVR(k=20),0.1,1,2.370462407073082,0.4191761476459474,1.6916468547298031,0.22043387056302932,5,581
SimpleMean,0.1,2,2.6063158401437407,0.2817482102212381,1.9300998664483058,0.20157222808025507,5,564
"KNN(k=5,dist)",0.1,2,1.893712813084445,0.19186280885621473,1.3328699693765071,0.09394957825158816,5,564
RFECA_SVR(k=5),0.1,2,1.887283026518745,0.18965200156009232,1.3266273059626204,0.14566440883456408,5,564
RFECA_SVR(k=10),0.1,2,2.020218673807313,0.19525777159298055,1.4288468678738462,0.11132397017043626,5,564
RFECA_SVR(k=20),0.1,2,2.282404431776207,0.37373961626943714,1.631652635265289,0.22408590867999495,5,564
SimpleMean,0.1,3,2.996918946506744,0.15100235624617173,2.1364681866690867,0.10897408849503025,5,590
"KNN(k=5,dist)",0.1,3,2.18616541037651,0.10403193595857425,1.4970813716098765,0.10342103455757105,5,590
RFECA_SVR(k=5),0.1,3,1.9290456058837067,0.2339765808471993,1.360322557317224,0.149950578625919,5,590
RFECA_SVR(k=10),0.1,3,2.0433776781150375,0.1552570657989515,1.4273735437566626,0.10726401273061784,5,590
RFECA_SVR(k=20),0.1,3,2.453118779342725,0.4820601284694386,1.746611628389886,0.09168614469578816,5,590
SimpleMean,0.1,4,2.676108541269477,0.398482717237433,2.02258276116153,0.27219061063093647,5,590
"KNN(k=5,dist)",0.1,4,1.9279445208703123,0.16427555171574024,1.3769849561225374,0.06672330094504052,5,590
RFECA_SVR(k=5),0.1,4,2.0104896033745816,0.17643075280666004,1.373088379431875,0.08161427819190757,5,590
RFECA_SVR(k=10),0.1,4,2.0424126194832355,0.06007617311180458,1.4184045771830318,0.035093713103560124,5,590
