imputer,missing_rate,replicate,fold,rmse,mae,n_masked_test_values
RFECA_SVR(k=20),0.0,7,2,,,0
RFECA_SVR(k=20),0.0,7,3,,,0
RFECA_SVR(k=20),0.0,7,4,,,0
RFECA_SVR(k=20),0.0,7,5,,,0
SimpleMean,0.0,8,1,,,0
SimpleMean,0.0,8,2,,,0
SimpleMean,0.0,8,3,,,0
SimpleMean,0.0,8,4,,,0
SimpleMean,0.0,8,5,,,0
"KNN(k=5,dist)",0.0,8,1,,,0
"KNN(k=5,dist)",0.0,8,2,,,0
"KNN(k=5,dist)",0.0,8,3,,,0
"KNN(k=5,dist)",0.0,8,4,,,0
"KNN(k=5,dist)",0.0,8,5,,,0
RFECA_SVR(k=5),0.0,8,1,,,0
RFECA_SVR(k=5),0.0,8,2,,,0
RFECA_SVR(k=5),0.0,8,3,,,0
RFECA_SVR(k=5),0.0,8,4,,,0
RFECA_SVR(k=5),0.0,8,5,,,0
RFECA_SVR(k=10),0.0,8,1,,,0
RFECA_SVR(k=10),0.0,8,2,,,0
RFECA_SVR(k=10),0.0,8,3,,,0
RFECA_SVR(k=10),0.0,8,4,,,0
RFECA_SVR(k=10),0.0,8,5,,,0
RFECA_SVR(k=20),0.0,8,1,,,0
RFECA_SVR(k=20),0.0,8,2,,,0
RFECA_SVR(k=20),0.0,8,3,,,0
RFECA_SVR(k=20),0.0,8,4,,,0
RFECA_SVR(k=20),0.0,8,5,,,0
SimpleMean,0.0,9,1,,,0
SimpleMean,0.0,9,2,,,0
SimpleMean,0.0,9,3,,,0
SimpleMean,0.0,9,4,,,0
SimpleMean,0.0,9,5,,,0
"KNN(k=5,dist)",0.0,9,1,,,0
"KNN(k=5,dist)",0.0,9,2,,,0
"KNN(k=5,dist)",0.0,9,3,,,0
"KNN(k=5,dist)",0.0,9,4,,,0
"KNN(k=5,dist)",0.0,9,5,,,0
RFECA_SVR(k=5),0.0,9,1,,,0
RFECA_SVR(k=5),0.0,9,2,,,0
RFECA_SVR(k=5),0.0,9,3,,,0
RFECA_SVR(k=5),0.0,9,4,,,0
RFECA_SVR(k=5),0.0,9,5,,,0
RFECA_SVR(k=10),0.0,9,1,,,0
RFECA_SVR(k=10),0.0,9,2,,,0
RFECA_SVR(k=10),0.0,9,3,,,0
RFECA_SVR(k=10),0.0,9,4,,,0
RFECA_SVR(k=10),0.0,9,5,,,0
RFECA_SVR(k=20),0.0,9,1,,,0
RFECA_SVR(k=20),0.0,9,2,,,0
RFECA_SVR(k=20),0.0,9,3,,,0
RFECA_SVR(k=20),0.0,9,4,,,0
RFECA_SVR(k=20),0.0,9,5,,,0
SimpleMean,0.05,0,1,2.5903841103452283,1.7919157041291178,48
SimpleMean,0.05,0,2,2.8983016229383187,2.10160289225906,49
SimpleMean,0.05,0,3,2.754777256918655,2.1144874029803082,76
SimpleMean,0.05,0,4,2.877516761615072,2.1744177138318053,60
SimpleMean,0.05,0,5,2.4894426029203576,1.943484420317064,50
"KNN(k=5,dist)",0.05,0,1,2.8302185946181666,1.8788662750504124,48
"KNN(k=5,dist)",0.05,0,2,1.5758745023038772,1.1351982662412379,49
"KNN(k=5,dist)",0.05,0,3,2.3491947165824247,1.5356450575187182,76
"KNN(k=5,dist)",0.05,0,4,1.987616202926664,1.318445290867412,60
"KNN(k=5,dist)",0.05,0,5,2.3470727604212986,1.1125657631138377,50
RFECA_SVR(k=5),0.05,0,1,2.7928053231380514,1.8067133517020981,48
RFECA_SVR(k=5),0.05,0,2,1.3940809358163377,0.9985493963030477,49
RFECA_SVR(k=5),0.05,0,3,2.847069239022061,1.5991637045603555,76
RFECA_SVR(k=5),0.05,0,4,1.9263563514759998,1.362386170661148,60
RFECA_SVR(k=5),0.05,0,5,2.529712752440393,1.4417827036332835,50
RFECA_SVR(k=10),0.05,0,1,2.5762297301126074,1.8242699796534858,48
RFECA_SVR(k=10),0.05,0,2,1.500907535039102,1.0265483680050982,49
RFECA_SVR(k=10),0.05,0,3,3.0377780847429134,1.8823440368797724,76
RFECA_SVR(k=10),0.05,0,4,1.7407233672903666,1.2486961991013787,60
RFECA_SVR(k=10),0.05,0,5,2.173743928355727,1.3412435298652727,50
RFECA_SVR(k=20),0.05,0,1,2.9748184058155447,2.0090426877837335,48
RFECA_SVR(k=20),0.05,0,2,2.8544647221270614,1.8804084575490851,49
RFECA_SVR(k=20),0.05,0,3,3.2433389367079366,2.0039451345789097,76
RFECA_SVR(k=20),0.05,0,4,2.0522718783131837,1.4039538375141312,60
RFECA_SVR(k=20),0.05,0,5,1.9974010948968477,1.3625537531987337,50
SimpleMean,0.05,1,1,2.879594677353694,2.1375911714791456,66
SimpleMean,0.05,1,2,2.693668176085263,2.090715877405971,65
SimpleMean,0.05,1,3,2.3870643558545144,1.775540084779326,44
SimpleMean,0.05,1,4,2.648475604321767,2.0436317461458944,52
SimpleMean,0.05,1,5,3.5962862124328807,2.4372574849900985,69
"KNN(k=5,dist)",0.05,1,1,2.515665598684682,1.695095100002331,66
"KNN(k=5,dist)",0.05,1,2,1.7302352590205043,1.3031028840148418,65
"KNN(k=5,dist)",0.05,1,3,1.4197823396827336,1.0869600261564916,44
"KNN(k=5,dist)",0.05,1,4,1.5598067271615446,1.1907500867700351,52
"KNN(k=5,dist)",0.05,1,5,3.046873877267602,1.8838037216580161,69
RFECA_SVR(k=5),0.05,1,1,2.374052413236121,1.5349814130712125,66
RFECA_SVR(k=5),0.05,1,2,1.8680345168846686,1.3732421331983538,65
RFECA_SVR(k=5),0.05,1,3,1.4586336647357747,0.9785517032873876,44
RFECA_SVR(k=5),0.05,1,4,1.6250343744759688,1.232965943072178,52
RFECA_SVR(k=5),0.05,1,5,3.137539213959496,1.770082301817437,69
RFECA_SVR(k=10),0.05,1,1,2.383064685381926,1.6078682033737441,66
RFECA_SVR(k=10),0.05,1,2,2.1932123758200786,1.6410578451554119,65
RFECA_SVR(k=10),0.05,1,3,1.955864159641014,1.306287910353151,44
RFECA_SVR(k=10),0.05,1,4,1.9019835954620032,1.2932254140933126,52
RFECA_SVR(k=10),0.05,1,5,3.1444674655237708,1.6705457982857188,69
RFECA_SVR(k=20),0.05,1,1,2.646756115839842,1.7555803380887107,66
RFECA_SVR(k=20),0.05,1,2,2.4603607913461363,1.815865851331326,65
RFECA_SVR(k=20),0.05,1,3,1.9009255297479468,1.306557047209857,44
RFECA_SVR(k=20),0.05,1,4,1.8023945212243762,1.3983983799935868,52
RFECA_SVR(k=20),0.05,1,5,3.139190185701862,1.850885386657446,69
SimpleMean,0.05,2,1,2.6896483416428634,2.0986522991494176,53
SimpleMean,0.05,2,2,3.0732851551767224,2.506172870458392,67
SimpleMean,0.05,2,3,2.0949667710407747,1.6281684516614003,46
SimpleMean,0.05,2,4,2.646354275231404,1.8880203706971084,53
SimpleMean,0.05,2,5,2.8262201000956533,2.048028931868535,58
"KNN(k=5,dist)",0.05,2,1,2.397566656891126,1.7324182499877463,53
"KNN(k=5,dist)",0.05,2,2,1.7079658612155881,1.2162393129223237,67
"KNN(k=5,dist)",0.05,2,3,1.8563998605509247,1.250610381888699,46
"KNN(k=5,dist)",0.05,2,4,1.960127194046344,1.4025898300530977,53
"KNN(k=5,dist)",0.05,2,5,2.5405207691253042,1.6891078144683072,58
RFECA_SVR(k=5),0.05,2,1,2.739199301880597,1.7068206513499276,53
RFECA_SVR(k=5),0.05,2,2,1.8792323110884757,1.2946052008195916,67
RFECA_SVR(k=5),0.05,2,3,2.00850286275915,1.408040166308204,46
RFECA_SVR(k=5),0.05,2,4,1.651849497105739,1.1795952455934524,53
RFECA_SVR(k=5),0.05,2,5,2.0424297114237313,1.3855405114106478,58
RFECA_SVR(k=10),0.05,2,1,2.899396382976972,1.9677168307452204,53
RFECA_SVR(k=10),0.05,2,2,2.2843239349864457,1.51850564044762,67
RFECA_SVR(k=10),0.05,2,3,2.313912162429139,1.4512535196264367,46
RFECA_SVR(k=10),0.05,2,4,1.9159457632503212,1.2536116792775218,53
RFECA_SVR(k=10),0.05,2,5,2.2118498431629585,1.4738342170955108,58
RFECA_SVR(k=20),0.05,2,1,2.709771103060767,1.7865833874765829,53
RFECA_SVR(k=20),0.05,2,2,2.015657562978617,1.455001872621723,67
RFECA_SVR(k=20),0.05,2,3,3.1137066295740965,2.1400320378415616,46
RFECA_SVR(k=20),0.05,2,4,1.9896296344425026,1.366997427303225,53
RFECA_SVR(k=20),0.05,2,5,2.279063200990497,1.6346807014560467,58
SimpleMean,0.05,3,1,2.825057818173769,2.2076988714268904,69
SimpleMean,0.05,3,2,2.5553513582368095,1.8878315128283985,66
SimpleMean,0.05,3,3,2.5124987133636885,1.9908223680974253,55
SimpleMean,0.05,3,4,3.395749728095713,2.564924671441575,61
SimpleMean,0.05,3,5,2.963315133518748,2.06521291503079,65
"KNN(k=5,dist)",0.05,3,1,2.0333010630176935,1.4695608582096973,69
"KNN(k=5,dist)",0.05,3,2,1.582638168459573,1.051543213505911,66
"KNN(k=5,dist)",0.05,3,3,1.337678823627017,0.9997126877770662,55
"KNN(k=5,dist)",0.05,3,4,2.169296116086201,1.572153857896489,61
"KNN(k=5,dist)",0.05,3,5,1.7667115377293026,1.1700723953549408,65
RFECA_SVR(k=5),0.05,3,1,2.2317045349196794,1.58970368659337,69
RFECA_SVR(k=5),0.05,3,2,2.0055351403156956,1.237155312230281,66
RFECA_SVR(k=5),0.05,3,3,1.615277374985957,1.0866642630286985,55
RFECA_SVR(k=5),0.05,3,4,1.8674875557836275,1.2682993039062072,61
RFECA_SVR(k=5),0.05,3,5,2.1604962087530604,1.3952241280919213,65
RFECA_SVR(k=10),0.05,3,1,2.2632772645403527,1.5657630867563983,69
RFECA_SVR(k=10),0.05,3,2,2.05198319317679,1.4080318739283926,66
RFECA_SVR(k=10),0.05,3,3,1.7452290656041696,1.2128917830443466,55
RFECA_SVR(k=10),0.05,3,4,1.9131361334789287,1.3820777384313625,61
RFECA_SVR(k=10),0.05,3,5,2.0850524615418147,1.4807271766376662,65
RFECA_SVR(k=20),0.05,3,1,2.4236865247642356,1.6916862005536601,69
RFECA_SVR(k=20),0.05,3,2,2.3892759594145008,1.41878713092625,66
RFECA_SVR(k=20),0.05,3,3,1.5890258115069675,1.1238728502497952,55
RFECA_SVR(k=20),0.05,3,4,2.2074919113830522,1.7109939834470653,61
RFECA_SVR(k=20),0.05,3,5,3.8231640427403275,2.0633977405948487,65
SimpleMean,0.05,4,1,2.337216104054881,1.8067393103655796,57
SimpleMean,0.05,4,2,2.862425831408088,2.328508989691769,56
SimpleMean,0.05,4,3,1.8579319431352268,1.398796220736762,55
SimpleMean,0.05,4,4,3.245161357322099,2.5821809617140636,69
SimpleMean,0.05,4,5,2.3680687476433864,1.836700461193008,50
"KNN(k=5,dist)",0.05,4,1,1.5656948657774905,1.1819724427859817,57
"KNN(k=5,dist)",0.05,4,2,2.1464290851713623,1.5454321087554521,56
"KNN(k=5,dist)",0.05,4,3,1.1164251986966478,0.8345506351639475,55
"KNN(k=5,dist)",0.05,4,4,2.098197353681522,1.5293117636986193,69
"KNN(k=5,dist)",0.05,4,5,1.453946114962567,1.0113458797455115,50
RFECA_SVR(k=5),0.05,4,1,1.8431212361610088,1.248935900152673,57
RFECA_SVR(k=5),0.05,4,2,1.6365812641678064,1.2263335532914081,56
RFECA_SVR(k=5),0.05,4,3,1.2939451327866114,0.8901503762114178,55
RFECA_SVR(k=5),0.05,4,4,2.1280767592734255,1.6081461474803456,69
RFECA_SVR(k=5),0.05,4,5,1.8315159893069861,1.3405804269905681,50
RFECA_SVR(k=10),0.05,4,1,1.869966881999445,1.22886606156962,57
RFECA_SVR(k=10),0.05,4,2,1.8620634319120577,1.2808804103897695,56
RFECA_SVR(k=10),0.05,4,3,1.4787606396013364,1.0755985949846558,55
RFECA_SVR(k=10),0.05,4,4,2.0336312336450706,1.5675690312222947,69
RFECA_SVR(k=10),0.05,4,5,1.6899476623798708,1.2607256479027926,50
RFECA_SVR(k=20),0.05,4,1,2.385344743351398,1.5783412964734458,57
RFECA_SVR(k=20),0.05,4,2,2.3496210147399794,1.532140726204106,56
RFECA_SVR(k=20),0.05,4,3,1.9750380896968913,1.3936839291883671,55
RFECA_SVR(k=20),0.05,4,4,2.195019640091623,1.61464859591666,69
RFECA_SVR(k=20),0.05,4,5,2.4733525669026992,1.695216536880619,50
SimpleMean,0.05,5,1,2.277795271155922,1.8157901052809784,64
SimpleMean,0.05,5,2,2.7372308099853457,1.986314281159637,52
SimpleMean,0.05,5,3,1.9478188979187436,1.4814445226313298,59
SimpleMean,0.05,5,4,2.653779162890274,2.137273948082943,42
SimpleMean,0.05,5,5,1.6465738983579108,1.3969037220478913,62
"KNN(k=5,dist)",0.05,5,1,1.7347124824354692,1.3109160805822833,64
"KNN(k=5,dist)",0.05,5,2,2.203471493735392,1.5061726151368608,52
"KNN(k=5,dist)",0.05,5,3,1.663303593461348,1.1890983677705107,59
"KNN(k=5,dist)",0.05,5,4,1.9904713233529625,1.4727121487764585,42
"KNN(k=5,dist)",0.05,5,5,1.6339500291629896,1.108068077728473,62
RFECA_SVR(k=5),0.05,5,1,1.7750756367269858,1.1595755052584504,64
RFECA_SVR(k=5),0.05,5,2,1.8953985824867596,1.4301427410042131,52
RFECA_SVR(k=5),0.05,5,3,1.7762751250748763,1.2470372962035183,59
RFECA_SVR(k=5),0.05,5,4,2.120150508710235,1.6779113745723162,42
RFECA_SVR(k=5),0.05,5,5,1.5321581224761138,0.9719389556098673,62
RFECA_SVR(k=10),0.05,5,1,1.8757721597446437,1.246471684481268,64
RFECA_SVR(k=10),0.05,5,2,2.1823331724156403,1.5323017410517064,52
RFECA_SVR(k=10),0.05,5,3,1.6862051517312842,1.2577046966127627,59
RFECA_SVR(k=10),0.05,5,4,2.398392421666793,1.6009217938238818,42
RFECA_SVR(k=10),0.05,5,5,1.5405464788138585,1.0965332575768543,62
RFECA_SVR(k=20),0.05,5,1,1.6742898871516725,1.18304529926799,64
RFECA_SVR(k=20),0.05,5,2,2.2191145382725552,1.5687907306419566,52
RFECA_SVR(k=20),0.05,5,3,2.041101796050969,1.4959536096293062,59
RFECA_SVR(k=20),0.05,5,4,2.766250519953085,2.0350892372211598,42
RFECA_SVR(k=20),0.05,5,5,1.8434355683405457,1.2647999245972985,62
SimpleMean,0.05,6,1,2.6160359863286846,1.9741391858140063,54
SimpleMean,0.05,6,2,2.7813667227943126,2.11105924361733,63
SimpleMean,0.05,6,3,2.9870325161117424,2.014048101846815,54
SimpleMean,0.05,6,4,2.9127413899364476,2.3115744485044254,58
SimpleMean,0.05,6,5,1.811981907992337,1.3183775345754565,51
"KNN(k=5,dist)",0.05,6,1,1.7676410116468007,1.2631785425279702,54
"KNN(k=5,dist)",0.05,6,2,2.2597752378034506,1.6746117024216034,63
"KNN(k=5,dist)",0.05,6,3,1.8100155607508452,1.06279380553512,54
"KNN(k=5,dist)",0.05,6,4,2.1520823689032897,1.4988423473143484,58
"KNN(k=5,dist)",0.05,6,5,1.320006825594567,0.9889921288026909,51
RFECA_SVR(k=5),0.05,6,1,1.8118600639815154,1.2277978483039176,54
RFECA_SVR(k=5),0.05,6,2,2.4279659330642187,1.7291758409178823,63
RFECA_SVR(k=5),0.05,6,3,1.4139825774546484,1.0262307410811948,54
RFECA_SVR(k=5),0.05,6,4,2.0667744492275992,1.3612044522582492,58
RFECA_SVR(k=5),0.05,6,5,1.3460585210050522,0.9359841617224545,51
RFECA_SVR(k=10),0.05,6,1,2.05477896770945,1.3280874423454667,54
RFECA_SVR(k=10),0.05,6,2,2.7447006700075107,1.6790951733097648,63
RFECA_SVR(k=10),0.05,6,3,1.8800334690542853,1.1622924996288728,54
RFECA_SVR(k=10),0.05,6,4,2.2147142152393644,1.5592374161679046,58
RFECA_SVR(k=10),0.05,6,5,1.4350513707042574,1.0319524581650668,51
