,ACTR3B,ANLN,BAG1,BCL2,BIRC5,BLVRA,CCNB1,CCNE1,CDC20,CDC6,NUF2,CDH3,CENPF,CEP55,CXXC5,EGFR,ERBB2,ESR1,EXO1,FGFR4,FOXA1,FOXC1,GPR160,GRB7,KIF2C,NDC80,KRT14,KRT17,KRT5,MAPT,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MYBL2,MYC,NAT1,ORC6,PGR,PHGDH,PTTG1,RRM2,SFRP1,SLC39A6,TMEM45B,TYMS,UBE2C,UBE2T
FGFR4,-0.027297505605193867,0.15495762066077862,-0.2737578045979219,-0.35262018110691395,0.1286706453796191,-0.05298700220891936,0.09379200236332913,0.21727517431173213,0.19178235477921482,0.048280364198234296,0.017473049270534786,0.3749806141893283,0.03252256580870133,0.08093246686525798,0.008959542554871906,0.13109227962882833,0.39143351857320263,-0.32205289261552517,0.12250621777183428,1.0,-0.03937447961056703,-0.09021034275864238,0.028807643302271035,0.3580922173444632,0.1395204234035261,-0.011165483222527181,-0.00030829420787721346,-0.023927507601440034,0.005647932306998964,-0.20081548138691632,-0.2515719519097165,0.09296468257932718,-0.10097805220658258,0.0892626356391969,0.01827133217398914,0.14324608679018466,0.2622985067786004,-0.1694131671019076,-0.21496761469246128,0.163357932074558,-0.37731100045613947,0.03706315032697799,0.0661464642021968,0.09301808853228788,0.027018398032439234,-0.32273649446452224,0.223266239491627,-0.0874385770800411,0.13867777000051923,0.05877453660340279
FOXA1,-0.6413914303941352,-0.43799723014192826,0.19678920437240013,0.48046992910219094,-0.37816578421257796,0.32551670729681215,-0.40706616708119336,-0.6590950885542262,-0.5155639047926562,-0.17881879208715884,-0.5008960449843154,-0.61001274955899,-0.4078366248472392,-0.45846286461568136,0.45058413674821346,-0.4821819178902776,0.26061304221633025,0.6234924784494812,-0.4439237223295516,-0.03937447961056703,1.0,-0.7394103538871626,0.7423232242558279,0.2264896909463568,-0.5026795070170956,-0.5619077644920599,-0.20362705303694442,-0.34903689050774683,-0.4625695346009108,0.6714497339597945,0.23353329340480203,-0.4862739254221843,-0.11781387521340413,-0.3633562008694833,0.83293078469126,0.21648788940299346,-0.4367181409706826,-0.4169363077154378,0.5771969222383105,-0.41137233547674945,0.5967608477550972,-0.4847647054498056,-0.4634782260600209,-0.3220023748264284,-0.47700572669158803,0.5327408050008462,0.4292909810428911,-0.562291191684723,-0.4686405096965561,-0.38483616559514194
FOXC1,0.5690525982160533,0.31894400806098877,-0.08470711484925558,-0.35974238443874307,0.13535979380642543,-0.33868436113932704,0.20419481862229721,0.4846325479161238,0.32514560328311753,0.02818821771845385,0.33528010252615104,0.5580333502135689,0.2780450387057276,0.28325661992948137,-0.503568286294094,0.6628068504858717,-0.28439871684004103,-0.5476725364655783,0.28358534422282483,-0.09021034275864238,-0.7394103538871626,1.0,-0.6009527212618144,-0.16255767751773503,0.3221488446522669,0.3624195358205466,0.24297273479865447,0.4403179190188426,0.5485995541800148,-0.5914609358516402,-0.20999971200878353,0.3625572877262322,0.03409289896127068,0.24266321490512796,-0.742774707942421,-0.21582872345848805,0.22409960999562303,0.31275984077353775,-0.4938999701105406,0.24227300827108095,-0.4563330232597892,0.5090827369679174,0.2897507214518254,0.2185046279170202,0.7022340165975955,-0.4790457333938451,-0.3790109467068549,0.4561493605375126,0.24741287077560795,0.2017967557423302
GPR160,-0.5352189623482346,-0.3904989295699718,0.029679820509013428,0.39802144704031406,-0.2898629479361386,0.1807242767911824,-0.40279222863295683,-0.5891169933819435,-0.4820283671754587,-0.09113815668319915,-0.41064086152315554,-0.5019393812438073,-0.286708913821228,-0.3347694614245897,0.4223227984478824,-0.3844476577890443,0.33874534730264894,0.5455408326098297,-0.3582964046741113,0.028807643302271035,0.7423232242558279,-0.6009527212618144,1.0,0.3038887654295852,-0.42261362999755286,-0.45007944988829296,-0.2273357184607474,-0.29210865116723417,-0.3682941156382818,0.5037693014319312,0.2915988400732083,-0.4093764534310661,-0.23323330705003992,-0.3377348856989221,0.6501164153757941,-0.04200599480453028,-0.3949787456904374,-0.32618079876398665,0.5081644731625266,-0.39559331869719216,0.42702571705936376,-0.4436570492011903,-0.4374943479497813,-0.28378594933519646,-0.31759273250110975,0.5113611484007334,0.4003973554105021,-0.46400126992052443,-0.4030732772105526,-0.34192140299157053
GRB7,-0.15774092009248675,0.11792248211968866,-0.1171428344411785,-0.12078809035463968,0.08789493072984203,0.10961248615160495,0.0028281669002003223,0.033197976052975635,0.031163416115260495,0.34739765940626716,-0.027455743037439743,0.04692598146936864,0.0920515003482122,0.025220316294780967,0.07607530610683631,-0.0032602181413662894,0.8878510913146554,-0.09632027979964922,-0.009461166646173899,0.3580922173444632,0.2264896909463568,-0.16255767751773503,0.3038887654295852,1.0,0.05547306663524282,-0.03069661620308979,-0.06247272502777754,-0.0023150479283181188,-0.05321596312423062,-0.08292250312750159,-0.20699350766770577,0.02457119131415806,-0.10998087813952928,0.09011306371169166,0.1488448957752442,0.08044936943214244,0.07021099536660136,-0.18712731200303254,-0.06262155452625992,-0.04206381551091068,-0.11824365504660506,0.03676659256790658,-0.016042782779634022,0.0861253949763858,-0.038062597413522185,-0.008271830769018407,0.36941331361512925,-0.11312433792659077,-0.001721404339654238,-0.00543166947198366
KIF2C,0.3699737098999968,0.8099154034295492,-0.292146628573192,-0.48694016983366273,0.8556617435732384,-0.03855009396929941,0.795657562710747,0.726692393649282,0.9324308980331547,0.6249413078311448,0.8388634252378112,0.4206370511804752,0.8269567687971092,0.8873547717995336,-0.16696897779710984,0.10780416844375632,0.009984811740441213,-0.47631221300129617,0.8373057069924795,0.1395204234035261,-0.5026795070170956,0.3221488446522669,-0.42261362999755286,0.05547306663524282,1.0,0.8690841530878887,-0.03826965919430245,0.08422479099082138,0.21175084428735266,-0.5422190255439523,-0.2530551996325448,0.887417005989431,0.06859475558260185,0.877033106122803,-0.5701999586008639,-0.048186045233736145,0.8508549484610582,0.3228535983182604,-0.5040435642292087,0.7868549789580078,-0.5472495275868874,0.3463810184043436,0.8996991009331287,0.8164962166625558,0.00814368079257881,-0.3682340027778963,-0.3648653330426059,0.6226759358696277,0.9053822460439085,0.7965528289264188
NDC80,0.4272734336116856,0.7790517858536475,-0.2802098392941761,-0.42205135507557695,0.775920392470981,-0.06540782892525021,0.7785140144366028,0.7162925809956846,0.822988037962591,0.5447392915845964,0.8425210333789027,0.3938172637836112,0.832014655409452,0.8405095060760934,-0.17910288777202477,0.12728847085059536,-0.11932828083967346,-0.4760927489251953,0.7974425670781281,-0.011165483222527181,-0.5619077644920599,0.3624195358205466,-0.45007944988829296,-0.03069661620308979,0.8690841530878887,1.0,-0.058190368951199445,0.0870666862784401,0.24250629095497198,-0.5317621844096184,-0.23651246525201045,0.8172074983252193,0.09297301971196124,0.7865054260705275,-0.6366799366179023,-0.12604156503870173,0.7267056040046762,0.3827537491477783,-0.4846205475047921,0.6798609775987743,-0.5201374694128851,0.3532772130787556,0.8623484600921671,0.7335731066795201,0.05029224538521747,-0.29430693295349414,-0.4460817646045761,0.7455118271333495,0.8372313469827939,0.8178552260223753
KRT14,0.07961930053698463,-0.041870625351198225,-0.10942560949895692,-0.10160377230069312,-0.12806141863271478,-0.16475337923126884,-0.1015174044132387,0.020991744107782387,0.028419282135429384,-0.12738642996115576,-0.053893353002241066,0.29044206045216847,-0.09760538058412048,-0.07141297504604222,-0.09759651341120318,0.32913610133419646,-0.06185187096091434,-0.17745584540021891,-0.09440664465748438,-0.00030829420787721346,-0.20362705303694442,0.24297273479865447,-0.2273357184607474,-0.06247272502777754,-0.03826965919430245,-0.058190368951199445,1.0,0.6123184608513026,0.41594930195337587,-0.0792887851355274,-0.07701763669805511,-0.08240086994559905,-0.029214963391596606,-0.11637858433619669,-0.16604386023889198,0.15487491553835286,0.008435046714157087,0.13589682278851314,-0.1403315359512369,-0.0658728713571958,-0.04121961450680796,0.15640216204474047,-0.08163729670326174,-0.1472300748879589,0.29951496564592894,-0.14230783280551254,0.0013381929320603594,-0.051288803633620185,-0.04634594344292689,-0.21336174712349676
KRT17,0.16898011158302736,0.07942990492038947,-0.028499576484389288,-0.17734657159716835,-0.0662081893488522,-0.15194731878236478,-0.014958161566357608,0.18458382288368275,0.0914429283345451,-0.0028261617561456624,0.06594986847091829,0.44626593533973485,0.048314330581843694,0.08076093516158052,-0.1734955143855169,0.4717213211388879,-0.06410809924154942,-0.31006707706757536,0.006153662403560089,-0.023927507601440034,-0.34903689050774683,0.4403179190188426,-0.29210865116723417,-0.0023150479283181188,0.08422479099082138,0.0870666862784401,0.6123184608513026,1.0,0.7486799288200084,-0.24243200063890896,-0.10638296742819774,0.08175801303211505,-0.03144009700779015,-0.0017948785761413523,-0.35368237679841813,0.11691047760129433,0.08685436117051293,0.2521707230586197,-0.206442403905568,-0.01629485237216849,-0.17295993604147994,0.316566891518412,0.06596574796640364,-0.020324324714038642,0.4857039058132364,-0.21638675989980174,-0.006410771622797101,0.10758039219462386,0.06761531976634853,-0.013481913175700461
KRT5,0.29660427299829684,0.22039773732553455,-0.22873464267205937,-0.3026296196749687,-0.006906592604954081,-0.11594468545938168,0.10085846605389623,0.3733066389619911,0.22183609207369495,0.03688313011413658,0.2163754404560434,0.6371334237438817,0.15546878492067936,0.1851305638760076,-0.29814032073160357,0.6593330317271938,-0.13523648556442447,-0.43840949215848807,0.10325998810150278,0.005647932306998964,-0.4625695346009108,0.5485995541800148,-0.3682941156382818,-0.05321596312423062,0.21175084428735266,0.24250629095497198,0.41594930195337587,0.7486799288200084,1.0,-0.4196853415117614,-0.274118672292427,0.16657567299572884,-0.1399989347314423,0.09500300297646867,-0.4994234235500408,0.027883549474482745,0.12242793955486835,0.24149883601453104,-0.2845676768629415,0.10902911796274292,-0.274048348457797,0.45830822025021495,0.17472058788360895,0.08798964867181676,0.5753975298796714,-0.3427013933295042,-0.09189725889982238,0.17012608487226671,0.1452488975681532,0.11305193023771556
MAPT,-0.4064278474213376,-0.5917245894623006,0.1971292887054427,0.652563370423821,-0.4475644048884892,0.1090100202306893,-0.4111004895186013,-0.7075752701274002,-0.520402630130549,-0.3422819675350677,-0.5017921823260871,-0.5732066011248079,-0.46078940822627995,-0.5378733960878592,0.4592142981604115,-0.4162730103781307,-0.015613673014109578,0.7540068876828839,-0.5158920251431816,-0.20081548138691632,0.6714497339597945,-0.5914609358516402,0.5037693014319312,-0.08292250312750159,-0.5422190255439523,-0.5317621844096184,-0.0792887851355274,-0.24243200063890896,-0.4196853415117614,1.0,0.36992742101338316,-0.5465381748123891,0.08059469893168145,-0.4167937164118401,0.6951913791264123,0.08742042595471866,-0.47888064569667455,-0.17802766363431816,0.6721676048433529,-0.5052855258340125,0.7451367734410073,-0.441480918169616,-0.542853707590127,-0.5072402105090162,-0.3115857503431235,0.5971390210465568,0.20339539784350083,-0.4215108452922533,-0.5124364629398164,-0.43182509906035815
MDM2,-0.22010519494644518,-0.23908380614782224,0.10953390339584226,0.46500832318263663,-0.17858915459611316,0.04830384293524256,-0.18881011681933854,-0.3185403735228633,-0.3360375729669206,-0.18144233995178158,-0.16254585300697713,-0.41441759359842584,-0.11807091303279572,-0.1832863899335253,0.24419003979809467,-0.33444234145474644,-0.1828178455406357,0.4419945245474525,-0.13252697944713213,-0.2515719519097165,0.23353329340480203,-0.20999971200878353,0.2915988400732083,-0.20699350766770577,-0.2530551996325448,-0.23651246525201045,-0.07701763669805511,-0.10638296742819774,-0.274118672292427,0.36992742101338316,1.0,-0.20938177307532313,-0.08830577216376312,-0.1979048923158024,0.26813088507631877,-0.220274580484576,-0.2250560858876556,0.04088242486948828,0.30160220521584297,-0.2147089362498658,0.3456484861330078,-0.4187746316195637,-0.23773869966257724,-0.1780318149667963,-0.11884794911778952,0.4788915620558766,-0.08932339045913297,-0.1006982703805388,-0.20362279860041366,-0.13156840365952238
MELK,0.3217113156489007,0.8245512468314089,-0.25279856119786365,-0.48143721680464313,0.8348502372430756,-0.06182486104334717,0.7892692937528656,0.7247279834490815,0.8513758423175231,0.6540486262088342,0.8350633666056895,0.38315753736376024,0.8544336935992608,0.8960175426861956,-0.18477365036170654,0.12021629468708653,-0.028549616377945803,-0.4487071453648651,0.8698697403517028,0.09296468257932718,-0.4862739254221843,0.3625572877262322,-0.4093764534310661,0.02457119131415806,0.887417005989431,0.8172074983252193,-0.08240086994559905,0.08175801303211505,0.16657567299572884,-0.5465381748123891,-0.20938177307532313,1.0,0.01912551996172245,0.878214925367014,-0.5529207793127752,-0.015653468591833877,0.8649934484262898,0.27493335211294495,-0.47881502891370126,0.798857387966487,-0.5399343165697327,0.3110672211507467,0.8793909702111312,0.874959974029512,0.02249752441328439,-0.3099316899718589,-0.4111484663815169,0.5725140888573823,0.8981678646983589,0.790961289528615
MIA,0.11669443555210224,-0.024551450707284102,0.2382331545343749,0.1843972226754475,0.13650661402534758,-0.01899660927427444,-0.0018678480848717217,0.0035733619137749252,0.10837841927665745,-0.06784876806464527,0.012716726854743675,-0.08079425540420583,0.0010671820346483246,-0.022264994449688748,0.16230193417143476,-0.11565098710946818,-0.16239099853710232,0.12215191752157477,0.02551408957859078,-0.10097805220658258,-0.11781387521340413,0.03409289896127068,-0.23323330705003992,-0.10998087813952928,0.06859475558260185,0.09297301971196124,-0.029214963391596606,-0.03144009700779015,-0.1399989347314423,0.08059469893168145,-0.08830577216376312,0.01912551996172245,1.0,0.03723760475680306,-0.02423185641002682,-0.12889990283311029,0.05191193948367489,0.25523299525391263,-0.0648547632848256,0.0524062512473265,0.012530337215267869,0.1822406349444488,0.06690832432582626,-0.023583549771818986,0.04110694583838871,0.03725267763667294,-0.24212244569963218,0.15284684762563194,0.05333289535736407,0.07728112529782093
MKI67,0.26629206489815943,0.8172482038921567,-0.2751743374375582,-0.3754754274834471,0.8345967017703275,-0.05120496970499343,0.769643553825195,0.6531996507044965,0.8403155711734007,0.6204355762512721,0.8310506700958028,0.2872819303918372,0.8605859260061728,0.8974625973550909,-0.16581394344909894,0.05068101935729501,0.03922459929202908,-0.3465298068505938,0.8200283254920433,0.0892626356391969,-0.3633562008694833,0.24266321490512796,-0.3377348856989221,0.09011306371169166,0.877033106122803,0.7865054260705275,-0.11637858433619669,-0.0017948785761413523,0.09500300297646867,-0.4167937164118401,-0.1979048923158024,0.878214925367014,0.03723760475680306,1.0,-0.4409749751338962,-0.06387563461931972,0.8221984643667919,0.28430786903153055,-0.4174992160819185,0.7091519283632941,-0.4448420668834065,0.2839005684877076,0.8606285832029318,0.8539466541560725,-0.050096477740738624,-0.2685012894480873,-0.3528747956668609,0.5095536275672342,0.8707495784219091,0.7911178790688482
MLPH,-0.5658542980442797,-0.5449709443946815,0.2880966781741067,0.4751976002920693,-0.4284682340632097,0.3268830728138276,-0.5131158997865054,-0.6842959703208432,-0.5818865727945104,-0.24394068640335176,-0.5902204913191391,-0.5662094767319251,-0.5175017733207429,-0.5503930340382115,0.48643033409454245,-0.5076670427903696,0.22604827164284452,0.6833018359699548,-0.5080955960405654,0.01827133217398914,0.83293078469126,-0.742774707942421,0.6501164153757941,0.1488448957752442,-0.5701999586008639,-0.6366799366179023,-0.16604386023889198,-0.35368237679841813,-0.4994234235500408,0.6951913791264123,0.26813088507631877,-0.5529207793127752,-0.02423185641002682,-0.4409749751338962,1.0,0.1689297008240213,-0.4492082517981675,-0.4080053544166284,0.6198368974655554,-0.4511795428896334,0.5836396857692165,-0.49311282975546716,-0.5795941719424276,-0.4417658224427354,-0.43671898810848636,0.5513776982488372,0.43251693633404553,-0.5689278000746364,-0.5293695643890399,-0.4719717286554172
MMP11,-0.3493556393336802,0.051544689238508495,0.012396074921049044,-0.09088038529940537,-0.11393367493195042,0.23602045660643978,0.010739814810658058,0.016671790595185105,0.01988923026725393,-0.0009266208122506909,-0.13744064958353058,0.10064398272820295,-0.053032197691534944,-0.04788190616504002,0.21042107370189525,0.02642901201851557,0.16843910670316287,-0.04140590181118617,-0.0388380237860403,0.14324608679018466,0.21648788940299346,-0.21582872345848805,-0.04200599480453028,0.08044936943214244,-0.048186045233736145,-0.12604156503870173,0.15487491553835286,0.11691047760129433,0.027883549474482745,0.08742042595471866,-0.220274580484576,-0.015653468591833877,-0.12889990283311029,-0.06387563461931972,0.1689297008240213,1.0,0.07342064863558007,-0.3437960806525829,0.21114391295597035,0.05500133822763813,0.2181194085225168,-0.13561982585675791,-0.050666182621115774,-0.033609366083764455,-0.21226050261558013,0.0001781536101142868,0.2658746084519224,-0.27696587825081825,-0.0547227255322989,-0.0814078714374724
MYBL2,0.28777552461465183,0.7449857200811926,-0.2861351063766785,-0.4874996510580678,0.8698356384551411,0.08390331038044395,0.7614101887033188,0.7148255620528657,0.8615113039412906,0.5997934609715874,0.7658150536492276,0.42446124835580545,0.7439018838392509,0.823343153491753,-0.09448011210393098,0.08020497449014052,0.05697394940623872,-0.4231007196375176,0.8299192390953856,0.2622985067786004,-0.4367181409706826,0.22409960999562303,-0.3949787456904374,0.07021099536660136,0.8508549484610582,0.7267056040046762,0.008435046714157087,0.08685436117051293,0.12242793955486835,-0.47888064569667455,-0.2250560858876556,0.8649934484262898,0.05191193948367489,0.8221984643667919,-0.4492082517981675,0.07342064863558007,1.0,0.22493598615715762,-0.4392860418185562,0.7739715010989192,-0.5346625714937103,0.3303204465902522,0.8323785485509511,0.8285383918917507,-0.05105458647620523,-0.2899508123527527,-0.30455469629647125,0.4733390857658626,0.9237058760095764,0.7272170875354912
