cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,rank_biserial_r,p_holm_primary_family
discovery,mcar,0.2,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9770641406279326,0.9806961092133687,-0.0036319685854361294,-1.0,0.015625
discovery,mcar,0.2,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),"KNN(k=5,dist)",0.9723549038949544,0.9806961092133687,-0.008341205318414313,-1.0,0.015625
discovery,mcar,0.2,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9654728799402583,0.9806961092133687,-0.015223229273110372,-1.0,0.015625
discovery,mcar,0.2,corr_rv,True,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",0.9847160971369705,0.9806961092133687,0.004019987923601809,1.0,0.015625
discovery,mcar,0.3,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.9576778831883758,0.9191185000117372,0.03855938317663854,1.0,0.015625
discovery,mcar,0.3,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.946074424253494,0.9191185000117372,0.026955924241756746,1.0,0.015625
discovery,mcar,0.3,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.9332244060327104,0.9191185000117372,0.014105906020973169,1.0,0.015625
discovery,mcar,0.3,corr_rv,True,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.97596488818435,0.9191185000117372,0.05684638817261278,1.0,0.015625
discovery,mcar,0.3,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),"KNN(k=5,dist)",0.9576778831883758,0.9677730567841589,-0.010095173595783158,-1.0,0.015625
discovery,mcar,0.3,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),"KNN(k=5,dist)",0.946074424253494,0.9677730567841589,-0.021698632530664952,-1.0,0.015625
discovery,mcar,0.3,corr_rv,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.9332244060327104,0.9677730567841589,-0.03454865075144853,-1.0,0.015625
discovery,mcar,0.3,corr_rv,True,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",0.97596488818435,0.9677730567841589,0.008191831400191085,1.0,0.015625
metabric,mcar,0.05,f1_macro,True,11.0,0.10546875,10,,1.0,RFECA_SVR(k=5),SimpleMean,0.881190811925919,0.878740165462206,0.0024506464637129577,0.6000000000000001,0.6328125
metabric,mcar,0.05,f1_macro,True,5.0,0.01953125,10,,0.29296875,RFECA_SVR(k=10),SimpleMean,0.8821873344317991,0.878740165462206,0.003447168969593073,0.8181818181818181,0.15625
metabric,mcar,0.05,f1_macro,True,5.0,0.01953125,10,,0.29296875,RFECA_SVR(k=20),SimpleMean,0.8822424970815849,0.878740165462206,0.003502331619378851,0.8181818181818181,0.15625
metabric,mcar,0.05,f1_macro,True,13.0,0.16015625,10,,1.0,MissForest,SimpleMean,0.881212014345808,0.878740165462206,0.002471848883601968,0.5272727272727273,0.654296875
metabric,mcar,0.05,f1_macro,True,22.0,0.625,10,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.881190811925919,0.8812234101019347,-3.259817601575232e-05,0.19999999999999996,1.0
metabric,mcar,0.05,f1_macro,True,19.0,0.431640625,10,,1.0,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8821873344317991,0.8812234101019347,0.0009639243298643629,0.3090909090909091,1.0
metabric,mcar,0.05,f1_macro,True,12.0,0.130859375,10,,1.0,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8822424970815849,0.8812234101019347,0.0010190869796501412,0.5636363636363637,0.654296875
metabric,mcar,0.05,f1_macro,True,24.0,0.76953125,10,,1.0,MissForest,"KNN(k=5,dist)",0.881212014345808,0.8812234101019347,-1.139575612674193e-05,0.1272727272727272,1.0
metabric,mcar,0.1,f1_macro,True,14.0,0.193359375,10,,1.0,RFECA_SVR(k=5),SimpleMean,0.8770501697569497,0.8747997280647162,0.00225044169223354,0.49090909090909096,0.48046875
metabric,mcar,0.1,f1_macro,True,7.0,0.037109375,10,,0.482421875,RFECA_SVR(k=10),SimpleMean,0.8780695701858203,0.8747997280647162,0.0032698421211041495,0.7454545454545454,0.22265625
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,,0.087890625,RFECA_SVR(k=20),SimpleMean,0.8788408255873517,0.8747997280647162,0.004041097522635484,0.9272727272727272,0.046875
metabric,mcar,0.1,f1_macro,True,8.0,0.048828125,10,,0.5859375,MissForest,SimpleMean,0.8786664667109548,0.8747997280647162,0.0038667386462386544,0.709090909090909,0.244140625
metabric,mcar,0.1,f1_macro,True,13.0,0.16015625,10,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8770501697569497,0.8756739489033232,0.001376220853626542,0.5272727272727273,0.48046875
metabric,mcar,0.1,f1_macro,True,10.0,0.083984375,10,,0.923828125,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8780695701858203,0.8756739489033232,0.0023956212824971512,0.6363636363636365,0.3359375
metabric,mcar,0.1,f1_macro,True,2.0,0.005859375,10,,0.087890625,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8788408255873517,0.8756739489033232,0.0031668766840284857,0.9272727272727272,0.046875
metabric,mcar,0.1,f1_macro,True,15.0,0.232421875,10,,1.0,MissForest,"KNN(k=5,dist)",0.8786664667109548,0.8756739489033232,0.002992517807631656,0.4545454545454546,0.48046875
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,,0.076171875,RFECA_SVR(k=5),SimpleMean,0.8699658920139648,0.8660736598153809,0.0038922321985839226,0.9272727272727272,0.03515625
metabric,mcar,0.2,f1_macro,True,7.0,0.037109375,10,,0.296875,RFECA_SVR(k=10),SimpleMean,0.8699883418704252,0.8660736598153809,0.003914682055044305,0.7454545454545454,0.111328125
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8748686891553614,0.8660736598153809,0.008795029339980553,1.0,0.015625
metabric,mcar,0.2,f1_macro,True,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.8741775961522379,0.8660736598153809,0.00810393633685702,1.0,0.015625
metabric,mcar,0.2,f1_macro,True,21.0,0.556640625,10,,1.0,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8699658920139648,0.8691416635535306,0.0008242284604341732,0.23636363636363633,1.0
metabric,mcar,0.2,f1_macro,True,24.0,0.76953125,10,,1.0,RFECA_SVR(k=10),"KNN(k=5,dist)",0.8699883418704252,0.8691416635535306,0.0008466783168945557,0.1272727272727272,1.0
metabric,mcar,0.2,f1_macro,True,2.0,0.005859375,10,,0.076171875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8748686891553614,0.8691416635535306,0.005727025601830804,0.9272727272727272,0.03515625
metabric,mcar,0.2,f1_macro,True,3.0,0.009765625,10,,0.09765625,MissForest,"KNN(k=5,dist)",0.8741775961522379,0.8691416635535306,0.005035932598707271,0.8909090909090909,0.0390625
metabric,mcar,0.3,f1_macro,True,4.0,0.013671875,10,,0.1640625,RFECA_SVR(k=5),SimpleMean,0.8611557612545108,0.8550846750816824,0.006071086172828366,0.8545454545454545,0.068359375
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.863862901789948,0.8550846750816824,0.008778226708265557,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,5.0,0.01953125,10,,0.1953125,RFECA_SVR(k=20),SimpleMean,0.8627088318455878,0.8550846750816824,0.0076241567639053764,0.8181818181818181,0.068359375
metabric,mcar,0.3,f1_macro,True,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.8662237147375468,0.8550846750816824,0.01113903965586438,1.0,0.015625
metabric,mcar,0.3,f1_macro,True,11.0,0.10546875,10,,0.6328125,RFECA_SVR(k=5),"KNN(k=5,dist)",0.8611557612545108,0.8582261234591261,0.0029296377953846875,0.6000000000000001,0.10546875
metabric,mcar,0.3,f1_macro,True,4.0,0.013671875,10,,0.1640625,RFECA_SVR(k=10),"KNN(k=5,dist)",0.863862901789948,0.8582261234591261,0.005636778330821879,0.8545454545454545,0.068359375
metabric,mcar,0.3,f1_macro,True,8.0,0.048828125,10,,0.341796875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.8627088318455878,0.8582261234591261,0.004482708386461698,0.709090909090909,0.09765625
metabric,mcar,0.3,f1_macro,True,2.0,0.005859375,10,,0.076171875,MissForest,"KNN(k=5,dist)",0.8662237147375468,0.8582261234591261,0.007997591278420701,0.9272727272727272,0.03515625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.6931456736171708,1.0667378370555554,-0.37359216343838453,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.6778398115407647,1.0667378370555554,-0.3888980255147907,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.6734393084175554,1.0667378370555554,-0.39329852863799997,-1.0,0.015625
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,SimpleMean,0.6172462402652915,1.0667378370555554,-0.44949159679026385,-1.0,0.015625
metabric,mcar,0.05,rmse,False,5.0,0.01953125,10,,0.078125,RFECA_SVR(k=5),"KNN(k=5,dist)",0.6931456736171708,0.6795133633865713,0.01363231023059952,0.8181818181818181,0.05859375
metabric,mcar,0.05,rmse,False,23.0,0.6953125,10,,0.6953125,RFECA_SVR(k=10),"KNN(k=5,dist)",0.6778398115407647,0.6795133633865713,-0.0016735518458066423,-0.1636363636363637,0.6953125
metabric,mcar,0.05,rmse,False,10.0,0.083984375,10,,0.16796875,RFECA_SVR(k=20),"KNN(k=5,dist)",0.6734393084175554,0.6795133633865713,-0.0060740549690159185,-0.6363636363636364,0.16796875
metabric,mcar,0.05,rmse,False,0.0,0.001953125,10,,0.029296875,MissForest,"KNN(k=5,dist)",0.6172462402652915,0.6795133633865713,-0.0622671231212798,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7057575081677976,1.0632839529894023,-0.35752644482160467,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.6890601949888076,1.0632839529894023,-0.3742237580005947,-1.0,0.015625
metabric,mcar,0.1,rmse,False,0.0,0.001953125,10,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.6858574707692758,1.0632839529894023,-0.3774264822201264,-1.0,0.015625
