cohort,mechanism,missing_rate,metric,higher_is_better,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,wilcoxon_stat,p_value,rank_biserial_r,n_pairs,n_boot,note,p_holm
metabric,mcar,0.3,f1_macro,True,SimpleMean,RFECA_SVR(k=5),0.8550846750816824,0.8611557612545108,-0.0060710861728285,-0.0102673089386276,-0.0023776226089187,4.0,0.013671875,-0.8545454545454545,10,5000,,0.1640625
metabric,mcar,0.3,f1_macro,True,SimpleMean,RFECA_SVR(k=10),0.8550846750816824,0.863862901789948,-0.0087782267082654,-0.0126055901814988,-0.0053953114637545,0.0,0.001953125,-1.0,10,5000,,0.029296875
metabric,mcar,0.3,f1_macro,True,SimpleMean,RFECA_SVR(k=20),0.8550846750816824,0.8627088318455878,-0.0076241567639054,-0.0127832676101342,-0.0028229265244764,5.0,0.01953125,-0.8181818181818181,10,5000,,0.1953125
metabric,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=5),0.8582261234591261,0.8611557612545108,-0.0029296377953847,-0.0057397292428188,-1.0373226353032902e-05,11.0,0.10546875,-0.6000000000000001,10,5000,,0.6328125
metabric,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=10),0.8582261234591261,0.863862901789948,-0.0056367783308216,-0.0086244970562276,-0.0023292884652161,4.0,0.013671875,-0.8545454545454545,10,5000,,0.1640625
metabric,mcar,0.3,f1_macro,True,"KNN(k=5,dist)",RFECA_SVR(k=20),0.8582261234591261,0.8627088318455878,-0.0044827083864616,-0.0082920929852863,-0.0005359401760494,8.0,0.048828125,-0.709090909090909,10,5000,,0.341796875
metabric,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=10),0.8611557612545108,0.863862901789948,-0.0027071405354369,-0.0043201058215912,-0.0011499013451108,6.0,0.02734375,-0.7818181818181817,10,5000,,0.24609375
metabric,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),RFECA_SVR(k=20),0.8611557612545108,0.8627088318455878,-0.0015530705910769,-0.004309403483332,0.0014332249190276,16.0,0.275390625,-0.4181818181818182,10,5000,,0.9296875
metabric,mcar,0.3,f1_macro,True,RFECA_SVR(k=5),MissForest,0.8611557612545108,0.8662237147375468,-0.0050679534830358,-0.0084418286768554,-0.0016216227344689,6.0,0.02734375,-0.7818181818181817,10,5000,,0.24609375
metabric,mcar,0.3,f1_macro,True,RFECA_SVR(k=10),RFECA_SVR(k=20),0.863862901789948,0.8627088318455878,0.00115406994436,-0.0016313922972246,0.0043556954659475,23.0,0.6953125,0.1636363636363637,10,5000,,1.0
metabric,mcar,0.3,f1_macro,True,RFECA_SVR(k=10),MissForest,0.863862901789948,0.8662237147375468,-0.0023608129475988,-0.0053116638763186,0.0002512325484747,15.0,0.232421875,-0.4545454545454546,10,5000,,0.9296875
