cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
metabric,mar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.7002640860420702,1.1688933346254948,-0.4686292485834246,-0.4759399591824587,-0.460795955159487,-1.0,0.015625
metabric,mar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7413737203136193,1.1602141435329831,-0.4188404232193639,-0.4237319757619194,-0.4134122319338639,-1.0,0.015625
metabric,mar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.7191646774100003,1.1602141435329831,-0.4410494661229828,-0.4457556490820749,-0.4359695460992689,-1.0,0.015625
metabric,mar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.717180193815534,1.1602141435329831,-0.443033949717449,-0.4481726424603798,-0.4379014813491685,-1.0,0.015625
metabric,mar,0.2,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.7872681454981779,1.1491114075405715,-0.3618432620423935,-0.3664476715497754,-0.3575204572183367,-1.0,0.015625
metabric,mar,0.2,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.7637784680682839,1.1491114075405715,-0.3853329394722875,-0.3896447117476881,-0.3806285075164013,-1.0,0.015625
metabric,mar,0.2,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.767282303725871,1.1491114075405715,-0.3818291038147003,-0.3860432657456119,-0.3774739928071219,-1.0,0.015625
metabric,mar,0.3,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.8350534197823981,1.143003217234177,-0.3079497974517788,-0.3117651775295142,-0.3043659210351822,-1.0,0.015625
metabric,mar,0.3,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.8100384200337606,1.143003217234177,-0.3329647972004163,-0.3353195868203309,-0.3306285627314375,-1.0,0.015625
metabric,mar,0.3,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8155719327206805,1.143003217234177,-0.3274312845134964,-0.3302713336027927,-0.3244003805149232,-1.0,0.015625
