mechanism,missing_rate,method,metric,mean,std,ci95_low,ci95_high,n_replications
MAR,0.05,KNN,f1_macro,0.9341653399740357,0.012679317930945582,0.9250951023291362,0.9432355776189353,10
MAR,0.05,RFECA-k5,f1_macro,0.9190361160578551,0.010570284246157538,0.9114745902242933,0.9265976418914168,10
MAR,0.05,RFECA-k10,f1_macro,0.9268685867272823,0.007574615030993056,0.9214500335547923,0.9322871398997724,10
MAR,0.05,RFECA-k20,f1_macro,0.9232721252177776,0.013915002282758852,0.9133179322382085,0.9332263181973467,10
MAR,0.05,MissForest,f1_macro,0.928858846467542,0.011746628034909647,0.9204558149809008,0.9372618779541833,10
MAR,0.1,Mean,f1_macro,0.9116729847447239,0.022274348415368295,0.8957388757797935,0.9276070937096543,10
MAR,0.1,KNN,f1_macro,0.9241778115604202,0.015857115495099,0.9128343144822267,0.9355213086386137,10
MAR,0.1,RFECA-k5,f1_macro,0.919097001307871,0.023332819667990185,0.9024057076226061,0.9357882949931359,10
MAR,0.1,RFECA-k10,f1_macro,0.9177577077511859,0.01848117210621455,0.9045370736545729,0.9309783418477989,10
MAR,0.1,RFECA-k20,f1_macro,0.9192542916021177,0.018083845595968685,0.9063178877685343,0.9321906954357011,10
MAR,0.1,MissForest,f1_macro,0.9260019545671719,0.014712825624030944,0.9154770331506793,0.9365268759836646,10
MAR,0.2,Mean,f1_macro,0.8978391977587629,0.02057716030312312,0.8831191840306584,0.9125592114868674,10
MAR,0.2,KNN,f1_macro,0.9283549399875486,0.020240693105584313,0.913875620392836,0.9428342595822612,10
MAR,0.2,RFECA-k5,f1_macro,0.904445165945166,0.019944055436797385,0.8901780481553913,0.9187122837349407,10
MAR,0.2,RFECA-k10,f1_macro,0.9092047734873823,0.016295209856748878,0.8975478825821157,0.9208616643926488,10
MAR,0.2,RFECA-k20,f1_macro,0.8932843813191639,0.02132181042425964,0.8780316769843725,0.9085370856539553,10
MAR,0.2,MissForest,f1_macro,0.926764894525764,0.008780321188720373,0.9204838311267723,0.9330459579247558,10
MAR,0.3,Mean,f1_macro,0.8735600879796532,0.02282670365288644,0.8572308478810151,0.8898893280782914,10
MAR,0.3,KNN,f1_macro,0.8891159432355085,0.03268485016561387,0.8657346099489202,0.9124972765220968,10
MAR,0.3,RFECA-k5,f1_macro,0.8902480753545972,0.02164069880730591,0.8747672520127597,0.9057288986964346,10
MAR,0.3,RFECA-k10,f1_macro,0.8802132140806054,0.023016878236539844,0.8637479312802107,0.8966784968810001,10
MAR,0.3,RFECA-k20,f1_macro,0.8738902317489273,0.024072425389952076,0.8566698560027616,0.8911106074950931,10
MAR,0.3,MissForest,f1_macro,0.8960713607648392,0.024020991708823828,0.878887778457668,0.9132549430720104,10
MAR,0.05,Mean,rmse,3.0330386728537237,0.15163600716683914,2.924564807933108,3.1415125377743394,10
MAR,0.05,KNN,rmse,2.1041907285185983,0.1581092733800391,1.9910861679081835,2.217295289129013,10
MAR,0.05,RFECA-k5,rmse,2.100681616263148,0.20603345295492942,1.953294162830857,2.248069069695439,10
MAR,0.05,RFECA-k10,rmse,2.2021118067837158,0.1595674062698477,2.0879641607407535,2.316259452826678,10
MAR,0.05,RFECA-k20,rmse,2.4614301454742744,0.17986689568750405,2.3327611194887132,2.5900991714598356,10
MAR,0.05,MissForest,rmse,1.9185008004476796,0.15092463920028545,1.8105358175146244,2.0264657833807345,10
MAR,0.1,Mean,rmse,2.9893512602003467,0.06202641395770129,2.9449802366231097,3.0337222837775837,10
MAR,0.1,KNN,rmse,2.1978076836959892,0.07622315149927895,2.1432809258761316,2.252334441515847,10
MAR,0.1,RFECA-k5,rmse,2.299340362759831,0.14090461464599094,2.198543273589686,2.400137451929976,10
MAR,0.1,RFECA-k10,rmse,2.4673704994704417,0.16335046469347184,2.3505166164584494,2.584224382482434,10
MAR,0.1,RFECA-k20,rmse,2.7391707486616017,0.14865632983729976,2.6328284164962366,2.845513080826967,10
