dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MAR,0.05,KNN,corr_frobenius_rel,10,0.1041777338877895,0.005487438903861508,0.10232585215611253,0.008736718674000138,0.10025225657182008,0.10810321120375893
CPTAC 2C,MAR,0.05,RFECA-k5,corr_frobenius_rel,10,0.10920226167004916,0.009899477486502457,0.10633926761508733,0.011708001314735705,0.10212060208457852,0.11628392125551981
CPTAC 2C,MAR,0.05,RFECA-k10,corr_frobenius_rel,10,0.1194785697737614,0.00872562655184583,0.11914952168755535,0.010105254511912201,0.11323663256097749,0.1257205069865453
CPTAC 2C,MAR,0.05,RFECA-k20,corr_frobenius_rel,10,0.13506207684768204,0.014436350976719739,0.13256494505705052,0.021513931671895414,0.12473493347946922,0.14538922021589484
CPTAC 2C,MAR,0.05,MissForest,corr_frobenius_rel,10,0.09436082458879995,0.004913958030035153,0.09499250465930133,0.005471085050709035,0.0908455907763643,0.0978760584012356
CPTAC 2C,MAR,0.1,Mean,corr_frobenius_rel,10,0.22066830631555057,0.005236522771520378,0.22130213853339997,0.009252030782034515,0.21692232358767083,0.2244142890434303
CPTAC 2C,MAR,0.1,KNN,corr_frobenius_rel,10,0.15143994974161729,0.0041583928703641205,0.15182405492125328,0.003746142532585567,0.14846521468406315,0.15441468479917142
CPTAC 2C,MAR,0.1,RFECA-k5,corr_frobenius_rel,10,0.16020882422883195,0.007729906066255642,0.16008455336507155,0.010853081846799506,0.15467918254183144,0.16573846591583247
CPTAC 2C,MAR,0.1,RFECA-k10,corr_frobenius_rel,10,0.17465384663457156,0.008216717895214774,0.1756973051880683,0.007236406148362018,0.16877596074381693,0.1805317325253262
CPTAC 2C,MAR,0.1,RFECA-k20,corr_frobenius_rel,10,0.19656641208623366,0.011263831297983895,0.19882836685846758,0.014124662917572861,0.18850875257953237,0.20462407159293494
CPTAC 2C,MAR,0.1,MissForest,corr_frobenius_rel,10,0.13748280671051727,0.005262539302985267,0.138237949571689,0.0039411222559772585,0.13371821287718472,0.14124740054384982
CPTAC 2C,MAR,0.2,Mean,corr_frobenius_rel,10,0.33307305449993163,0.009717091570747164,0.3361926753218485,0.015535555415419955,0.3261218659388483,0.340024243061015
CPTAC 2C,MAR,0.2,KNN,corr_frobenius_rel,10,0.21519385196911545,0.009621880147618844,0.21419325736612183,0.007238447492151245,0.20831077355709426,0.22207693038113663
CPTAC 2C,MAR,0.2,RFECA-k5,corr_frobenius_rel,10,0.23588085261008573,0.012685165396021835,0.23466572808727076,0.008019061909929404,0.2268064319406614,0.24495527327951006
CPTAC 2C,MAR,0.2,RFECA-k10,corr_frobenius_rel,10,0.2575162615157265,0.008526302910981356,0.25564426135836416,0.011179972579175246,0.2514169118459582,0.26361561118549476
