missing_rate,method,model,mean,std,n_reps,mechanism
0.3,RFECA-k10,LogReg,0.8458557423537542,0.006958841176171051,10,MAR
0.3,RFECA-k10,RF,0.8456634461200411,0.006324175731953966,10,MAR
0.3,RFECA-k10,SVC,0.8550467238602597,0.007280432268127916,10,MAR
0.3,RFECA-k20,EnsembleSoft,0.860826003769866,0.007395886460665543,10,MAR
0.3,RFECA-k20,GB,0.8432182887996182,0.007973499839493943,10,MAR
0.3,RFECA-k20,LogReg,0.8484851563041031,0.008782882750134386,10,MAR
0.3,RFECA-k20,RF,0.8485656358832616,0.005936269254409308,10,MAR
0.3,RFECA-k20,SVC,0.8571442955483697,0.008170600342362515,10,MAR
0.3,RFECA-k5,EnsembleSoft,0.8601440120465881,0.007553355114291476,10,MAR
0.3,RFECA-k5,GB,0.8444537386316624,0.00730798305212179,10,MAR
0.3,RFECA-k5,LogReg,0.8472274979691135,0.010425353189436503,10,MAR
0.3,RFECA-k5,RF,0.8417012262070817,0.00512969542552664,10,MAR
0.3,RFECA-k5,SVC,0.8559858349258844,0.006044177531052946,10,MAR
