dataset,mechanism,missing_rate,method,replication,metric,value,seed_scheme,artifact
CPTAC 2C,MCAR,0.2,KNN,4,recall_macro,0.9291666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,5,f1_macro,0.875809564831304,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,5,bal_acc,0.8621212121212121,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,5,precision_macro,0.9286904761904762,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,5,recall_macro,0.8621212121212121,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,6,f1_macro,0.9154409407018104,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,6,bal_acc,0.8958333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,6,precision_macro,0.9706776556776557,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,6,recall_macro,0.8958333333333333,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,7,f1_macro,0.9263789230093579,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,7,bal_acc,0.9287878787878787,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,7,precision_macro,0.9491450216450217,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,7,recall_macro,0.9287878787878787,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,8,f1_macro,0.9127033377250768,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,8,bal_acc,0.9162878787878788,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,8,precision_macro,0.9198076923076922,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,8,recall_macro,0.9162878787878788,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,9,f1_macro,0.9109027325331673,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,9,bal_acc,0.8958333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,9,precision_macro,0.9543315018315018,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.2,KNN,9,recall_macro,0.8958333333333333,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,0,f1_macro,0.8995074852683548,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,0,bal_acc,0.8950757575757576,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,0,precision_macro,0.931547619047619,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,0,recall_macro,0.8950757575757576,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,1,f1_macro,0.9286580810493854,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,1,bal_acc,0.9208333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,1,precision_macro,0.9636904761904763,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,1,recall_macro,0.9208333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,2,f1_macro,0.9462815204119552,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,2,bal_acc,0.9375,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,2,precision_macro,0.9786904761904761,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,2,recall_macro,0.9375,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,3,f1_macro,0.8913081845690541,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,3,bal_acc,0.8833333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,3,precision_macro,0.9351648351648352,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,3,recall_macro,0.8833333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,4,f1_macro,0.9273882397795441,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,4,bal_acc,0.9208333333333334,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,4,precision_macro,0.9620238095238095,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,4,recall_macro,0.9208333333333332,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,5,f1_macro,0.903448187078622,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,5,bal_acc,0.8791666666666667,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,5,precision_macro,0.9671520146520146,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,5,recall_macro,0.8791666666666667,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,6,f1_macro,0.8935771378380075,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,6,bal_acc,0.9,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,6,precision_macro,0.9073076923076921,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,6,recall_macro,0.9,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,7,f1_macro,0.8839582880887228,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,7,bal_acc,0.875,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,7,precision_macro,0.9441391941391941,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,7,recall_macro,0.875,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,8,f1_macro,0.9162122563426912,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,8,bal_acc,0.9125,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,8,precision_macro,0.9554761904761904,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,8,recall_macro,0.9125,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,9,f1_macro,0.8938737470259209,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,9,bal_acc,0.8871212121212121,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,9,precision_macro,0.9286904761904762,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.3,KNN,9,recall_macro,0.8871212121212121,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,0,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,0,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,0,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,0,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,1,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,1,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,1,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,1,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,2,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,2,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,2,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,2,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,3,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,3,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,3,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,3,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,4,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,4,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,4,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,4,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,5,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,5,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,5,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,5,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,6,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,6,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,6,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,6,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,7,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,7,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,7,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,7,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,8,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,8,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,8,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,8,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,9,f1_macro,0.9062598753903103,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,9,bal_acc,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,9,precision_macro,0.9549725274725274,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.0,Mean,9,recall_macro,0.8916666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,Mean,0,f1_macro,0.9247908371821415,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,Mean,0,bal_acc,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,Mean,0,precision_macro,0.9620238095238095,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,Mean,0,recall_macro,0.9166666666666666,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,Mean,1,f1_macro,0.9224192956801653,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,Mean,1,bal_acc,0.9125,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,Mean,1,precision_macro,0.9620238095238095,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,Mean,1,recall_macro,0.9125,legacy,discovery_full_20260724_172348
CPTAC 2C,MCAR,0.05,Mean,2,f1_macro,0.8944431052039749,legacy,discovery_full_20260724_172348
