dataset,mechanism,missing_rate,method,legacy_rmse,inductive_rmse,delta_rmse_ind_minus_leg,legacy_f1,inductive_f1,delta_f1_ind_minus_leg,masks_identical,note
CPTAC 2C,MCAR,0.05,RFECA-k5,2.0406309920844974,1.8019355319789043,-0.23869546010559306,0.9222631691979518,0.9209817839165666,-0.0012813852813852167,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.1,RFECA-k10,2.2506531988474365,1.815271138862422,-0.43538205998501445,0.9101142379359772,0.9216713974431364,0.011557159507159187,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.1,RFECA-k20,2.479200805224024,1.9105050502087844,-0.5686957550152396,0.918145501841154,0.927162598271294,0.009017096430140037,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.1,RFECA-k5,2.0960004545578665,1.8083404649737784,-0.2876599895840881,0.9176499720086676,0.9302896608222696,0.012639688813602001,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.2,RFECA-k10,2.322705123103224,2.008597245048073,-0.31410787805515117,0.8916600081078342,0.9023079220296611,0.010647913921826957,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.2,RFECA-k20,2.626057769284176,2.088108639015263,-0.5379491302689128,0.8938904054882316,0.906778976337672,0.012888570849440395,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.2,RFECA-k5,2.1743004675557405,1.9807884246272696,-0.1935120429284709,0.8989780446606533,0.9027418086744174,0.0037637640137641037,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.3,RFECA-k10,2.5591873431285808,2.1225456653142145,-0.43664167781436625,0.8952167742885134,0.8985973454082149,0.00338057111970147,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.3,RFECA-k20,2.8257935396669747,2.251180482562588,-0.5746130571043868,0.8827573771638988,0.90033973393756,0.017582356773661156,False,legacy seed scheme vs v2 — not a pure ablation
CPTAC 2C,MCAR,0.3,RFECA-k5,2.320350083104957,2.0729197834581994,-0.24743029964675767,0.897207557418427,0.9016843123060516,0.004476754887624668,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.05,RFECA-k10,0.7054996376019977,0.6966587366116123,-0.00884090099038548,0.8812410534187957,0.8816948274532999,0.0004537740345041952,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.05,RFECA-k20,0.7002640860420704,0.6826827586804178,-0.01758132736165252,0.8816077162833884,0.8814222432822792,-0.00018547300110915987,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.05,RFECA-k5,0.721346188633734,0.7203940068274073,-0.000952181806326724,0.8801272587714714,0.8798430025036634,-0.00028425626780792523,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.1,RFECA-k10,0.7191646774100003,0.7217298916975501,0.002565214287549744,0.8768648126699197,0.8780880379289714,0.001223225259051719,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.1,RFECA-k20,0.717180193815534,0.7078906071175033,-0.009289586698030705,0.8779987803856862,0.877720977042099,-0.00027780334358729064,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.1,RFECA-k5,0.7413737203136193,0.74664575000249,0.00527202968887075,0.878759537615641,0.8783179642057267,-0.0004415734099142421,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.2,RFECA-k10,0.7637784680682839,0.7545024298792632,-0.009276038189020674,0.8709077508526741,0.8707125530472841,-0.00019519780539001275,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.2,RFECA-k20,0.767282303725871,0.743805154935207,-0.023477148790663982,0.8710153657068591,0.871576670869955,0.0005613051630959376,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.2,RFECA-k5,0.787268145498178,0.782769724521991,-0.004498420976187023,0.8708808668237511,0.8691843780086139,-0.001696488815137176,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.3,RFECA-k10,0.8100384200337607,0.7956771281308795,-0.014361291902881157,0.8576248921493402,0.8609453169449739,0.0033204247956336586,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.3,RFECA-k20,0.8155719327206806,0.785728998333106,-0.02984293438757457,0.8585895875390563,0.8592702044848255,0.0006806169457691524,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MAR,0.3,RFECA-k5,0.8350534197823981,0.8261300208613388,-0.008923398921059311,0.8557480643509362,0.8592191703292614,0.0034711059783252285,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MCAR,0.05,RFECA-k10,0.6778398115407647,0.6634448401127584,-0.014394971428006276,0.8821873344317992,0.8822808921451191,9.35577133198695e-05,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MCAR,0.05,RFECA-k20,0.6734393084175555,0.6487709661318126,-0.024668342285742884,0.8822424970815849,0.882858904217792,0.0006164071362071422,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MCAR,0.05,RFECA-k5,0.6931456736171708,0.6841588820133786,-0.008986791603792232,0.8811908119259191,0.8835451074301796,0.002354295504260473,False,legacy seed scheme vs v2 — not a pure ablation
METABRIC,MCAR,0.1,RFECA-k10,0.6890601949888076,0.6737971025302023,-0.015263092458605243,0.8780695701858201,0.8778479141048245,-0.0002216560809955581,False,legacy seed scheme vs v2 — not a pure ablation
