stage,imputer,missing_rate,replicate,fold,n_train,n_test,train_test_overlap,imputer_object_id,correlation_source,has_corr_csv_path
classification,RFECA_SVR(k=10),0.1,8,3,94,23,0,1866494246288,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.1,8,4,94,23,0,1866494600912,training_fold_X.corr(),False
classification,RFECA_SVR(k=10),0.1,8,5,94,23,0,1866494922320,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,8,1,93,24,0,1866495242576,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,8,2,93,24,0,1866495579696,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,8,3,94,23,0,1866495933168,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,8,4,94,23,0,1866496254576,training_fold_X.corr(),False
classification,RFECA_SVR(k=20),0.1,8,5,94,23,0,1866496624240,training_fold_X.corr(),False
imputation,SimpleMean,0.1,9,1,93,24,0,1866390223728,n/a,False
imputation,SimpleMean,0.1,9,2,93,24,0,1866390223376,n/a,False
imputation,SimpleMean,0.1,9,3,94,23,0,1866390223904,n/a,False
imputation,SimpleMean,0.1,9,4,94,23,0,1866472063056,n/a,False
imputation,SimpleMean,0.1,9,5,94,23,0,1866472063232,n/a,False
imputation,"KNN(k=5,dist)",0.1,9,1,93,24,0,1866495013712,n/a,False
imputation,"KNN(k=5,dist)",0.1,9,2,93,24,0,1866494630928,n/a,False
imputation,"KNN(k=5,dist)",0.1,9,3,94,23,0,1866327840080,n/a,False
imputation,"KNN(k=5,dist)",0.1,9,4,94,23,0,1866496349136,n/a,False
imputation,"KNN(k=5,dist)",0.1,9,5,94,23,0,1866513263760,n/a,False
imputation,RFECA_SVR(k=5),0.1,9,1,93,24,0,1866513510512,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,9,2,93,24,0,1866513508720,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,9,3,94,23,0,1866513508272,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,9,4,94,23,0,1866513508048,training_fold_X.corr(),False
imputation,RFECA_SVR(k=5),0.1,9,5,94,23,0,1866513509168,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.1,9,1,93,24,0,1866513509392,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.1,9,2,93,24,0,1866513509616,training_fold_X.corr(),False
imputation,RFECA_SVR(k=10),0.1,9,3,94,23,0,1866513509840,training_fold_X.corr(),False
