imputer,missing_rate,replicate,model,f1_macro,bal_acc
RFECA_SVR(k=20),0.05,7,SVC,0.9373426501035196,0.9208333333333332
RFECA_SVR(k=20),0.05,7,LogReg,0.9149559257167953,0.9079545454545453
RFECA_SVR(k=20),0.05,7,RF,0.9298188405797102,0.9166666666666666
RFECA_SVR(k=20),0.05,7,GB,0.8498960725265073,0.8571969696969697
RFECA_SVR(k=20),0.05,7,EnsembleSoft,0.9464855072463768,0.9333333333333332
RFECA_SVR(k=20),0.05,7,EnsembleHard,0.9464855072463768,0.9333333333333332
RFECA_SVR(k=20),0.05,8,SVC,0.9464855072463768,0.9333333333333332
RFECA_SVR(k=20),0.05,8,LogReg,0.9072264571177614,0.9037878787878787
RFECA_SVR(k=20),0.05,8,RF,0.9226853943158291,0.9121212121212121
RFECA_SVR(k=20),0.05,8,GB,0.7915241425241426,0.7867424242424242
RFECA_SVR(k=20),0.05,8,EnsembleSoft,0.9369711086015433,0.9287878787878787
RFECA_SVR(k=20),0.05,8,EnsembleHard,0.9344927536231884,0.9166666666666666
RFECA_SVR(k=20),0.05,9,SVC,0.9319400527009222,0.925
RFECA_SVR(k=20),0.05,9,LogReg,0.9072264571177614,0.9037878787878787
RFECA_SVR(k=20),0.05,9,RF,0.9081399397703744,0.9037878787878787
RFECA_SVR(k=20),0.05,9,GB,0.8121904448208795,0.8079545454545455
RFECA_SVR(k=20),0.05,9,EnsembleSoft,0.9164811155028547,0.9166666666666666
RFECA_SVR(k=20),0.05,9,EnsembleHard,0.919947299077734,0.9083333333333332
RFECA_SVR(k=20),0.1,0,SVC,0.9227971955580652,0.9125
RFECA_SVR(k=20),0.1,0,LogReg,0.9060187276491624,0.8954545454545453
RFECA_SVR(k=20),0.1,0,RF,0.8989970826275174,0.8912878787878787
RFECA_SVR(k=20),0.1,0,GB,0.7797332522549913,0.7708333333333333
RFECA_SVR(k=20),0.1,0,EnsembleSoft,0.9229472990777339,0.9083333333333332
RFECA_SVR(k=20),0.1,0,EnsembleHard,0.9108044419348766,0.8958333333333333
RFECA_SVR(k=20),0.1,1,SVC,0.9253498964803313,0.9041666666666666
RFECA_SVR(k=20),0.1,1,LogReg,0.9374472990777338,0.9287878787878787
RFECA_SVR(k=20),0.1,1,RF,0.89359448522492,0.8871212121212121
RFECA_SVR(k=20),0.1,1,GB,0.7743390425999122,0.7834090909090909
RFECA_SVR(k=20),0.1,1,EnsembleSoft,0.919947299077734,0.9083333333333332
RFECA_SVR(k=20),0.1,1,EnsembleHard,0.9344927536231884,0.9166666666666666
RFECA_SVR(k=20),0.1,2,SVC,0.9373426501035196,0.9208333333333332
RFECA_SVR(k=20),0.1,2,LogReg,0.9219883618796662,0.9204545454545453
RFECA_SVR(k=20),0.1,2,RF,0.9226853943158291,0.9121212121212121
RFECA_SVR(k=20),0.1,2,GB,0.834151515151515,0.8246212121212121
RFECA_SVR(k=20),0.1,2,EnsembleSoft,0.9127250768555116,0.9079545454545453
RFECA_SVR(k=20),0.1,2,EnsembleHard,0.9464855072463768,0.9333333333333332
