experiment,imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,f1_pm_std,bal_pm_std,n
no_scaler,SimpleMean,0.05,EnsembleHard,0.9349280914737436,0.0132542027650349,0.9245833333333332,0.0148876968842906,0.9349 ± 0.0133,0.9246 ± 0.0149,10
no_scaler,SimpleMean,0.05,EnsembleSoft,0.9319202961289916,0.0139321822718884,0.9195454545454546,0.0139177844503985,0.9319 ± 0.0139,0.9195 ± 0.0139,10
no_scaler,SimpleMean,0.05,SVC,0.9318232448710708,0.010641223616046,0.9208333333333332,0.009212846639876,0.9318 ± 0.0106,0.9208 ± 0.0092,10
no_scaler,SimpleMean,0.05,LogReg,0.917556299980213,0.0091294086533884,0.9116666666666664,0.0093430930868611,0.9176 ± 0.0091,0.9117 ± 0.0093,10
no_scaler,SimpleMean,0.05,RF,0.8965016061233453,0.0135845277825784,0.8856439393939393,0.0137544573105804,0.8965 ± 0.0136,0.8856 ± 0.0138,10
no_scaler,SimpleMean,0.05,GB,0.8121124697363827,0.0224846215868381,0.7931439393939395,0.0237060896901859,0.8121 ± 0.0225,0.7931 ± 0.0237,10
no_scaler,SimpleMean,0.1,SVC,0.9295902032749858,0.0180633307423735,0.9154166666666668,0.0182204013317862,0.9296 ± 0.0181,0.9154 ± 0.0182,10
no_scaler,SimpleMean,0.1,EnsembleHard,0.9275251769969162,0.0250176062157276,0.9133333333333332,0.0262643258968284,0.9275 ± 0.0250,0.9133 ± 0.0263,10
no_scaler,SimpleMean,0.1,EnsembleSoft,0.9258779104953018,0.0194783299555234,0.9152651515151516,0.0221230353591152,0.9259 ± 0.0195,0.9153 ± 0.0221,10
no_scaler,SimpleMean,0.1,LogReg,0.9196691323169583,0.0119924408770999,0.9143181818181818,0.0125538326584711,0.9197 ± 0.0120,0.9143 ± 0.0126,10
no_scaler,SimpleMean,0.1,RF,0.8857456603782691,0.0179829135586275,0.8701515151515151,0.0172410217604334,0.8857 ± 0.0180,0.8702 ± 0.0172,10
no_scaler,SimpleMean,0.1,GB,0.7829998692933475,0.0365463086245231,0.770719696969697,0.0422551984764701,0.7830 ± 0.0365,0.7707 ± 0.0423,10
no_scaler,SimpleMean,0.2,EnsembleSoft,0.9156347823673908,0.020653586127861,0.9040530303030304,0.0233015615711898,0.9156 ± 0.0207,0.9041 ± 0.0233,10
no_scaler,SimpleMean,0.2,EnsembleHard,0.9123623048449134,0.0224916234883949,0.8970454545454546,0.0274020735591913,0.9124 ± 0.0225,0.8970 ± 0.0274,10
no_scaler,SimpleMean,0.2,SVC,0.9119500907305256,0.022157500315868,0.8962121212121211,0.021246664994546,0.9120 ± 0.0222,0.8962 ± 0.0212,10
no_scaler,SimpleMean,0.2,LogReg,0.9060350000241304,0.0250839635129701,0.9,0.0248541814115738,0.9060 ± 0.0251,0.9000 ± 0.0249,10
no_scaler,SimpleMean,0.2,RF,0.8792406788863311,0.0157609758387011,0.8645833333333333,0.0206517569295969,0.8792 ± 0.0158,0.8646 ± 0.0207,10
no_scaler,SimpleMean,0.2,GB,0.7845027465288335,0.0480658324907882,0.7711893939393939,0.0515338281899712,0.7845 ± 0.0481,0.7712 ± 0.0515,10
no_scaler,SimpleMean,0.3,LogReg,0.9048504558243688,0.0221762622917453,0.8994166666666666,0.0255038766106489,0.9049 ± 0.0222,0.8994 ± 0.0255,10
no_scaler,SimpleMean,0.3,EnsembleSoft,0.902378817800557,0.0136673721942755,0.8888863636363634,0.0139182449172799,0.9024 ± 0.0137,0.8889 ± 0.0139,10
no_scaler,SimpleMean,0.3,EnsembleHard,0.898426702283224,0.0240638388411769,0.8832196969696969,0.0239985696717782,0.8984 ± 0.0241,0.8832 ± 0.0240,10
no_scaler,SimpleMean,0.3,SVC,0.894166932584324,0.0367795453668332,0.8803787878787878,0.037758141199132,0.8942 ± 0.0368,0.8804 ± 0.0378,10
no_scaler,SimpleMean,0.3,RF,0.8300829023633371,0.0268716254128367,0.8133560606060606,0.0292130583434493,0.8301 ± 0.0269,0.8134 ± 0.0292,10
no_scaler,SimpleMean,0.3,GB,0.7457512014555493,0.0337112097352243,0.7381666666666666,0.0294393718450506,0.7458 ± 0.0337,0.7382 ± 0.0294,10
k5_scaler,RFECA_SVR(k=5),0.0,EnsembleSoft,0.9419927536231884,0.0,0.9333333333333332,0.0,0.9420 ± 0.0000,0.9333 ± 0.0000,10
k5_scaler,RFECA_SVR(k=5),0.0,SVC,0.9319400527009222,0.0,0.925,0.0,0.9319 ± 0.0000,0.9250 ± 0.0000,10
k5_scaler,RFECA_SVR(k=5),0.0,EnsembleHard,0.9274472990777338,0.0,0.925,0.0,0.9274 ± 0.0000,0.9250 ± 0.0000,10
k5_scaler,RFECA_SVR(k=5),0.0,RF,0.9152733860342556,0.0,0.9083333333333334,0.0,0.9153 ± 0.0000,0.9083 ± 0.0000,10
