dataset,mechanism,missing_rate,method,metric,n_replications,mean,std,median,iqr,ci95_low,ci95_high
CPTAC 2C,MCAR,0.05,Mean,corr_rv,10,0.991395823608008,0.001320977007256634,0.9916871155671327,0.0013379845975576288,0.9904508535832386,0.9923407936327775
CPTAC 2C,MCAR,0.05,KNN,corr_rv,10,0.9957050645445056,0.000492292578248579,0.9958150056192063,0.0004263588495293513,0.9953528996488974,0.9960572294401138
CPTAC 2C,MCAR,0.05,MissForest,corr_rv,10,0.9965444435856412,0.0005140012047311847,0.9967127911003459,0.00048344153793455913,0.9961767492741596,0.9969121378971229
CPTAC 2C,MCAR,0.1,Mean,corr_rv,10,0.9810641913992681,0.0012136334165687586,0.98112329885475,0.0013234164735808074,0.9801960103534089,0.9819323724451274
CPTAC 2C,MCAR,0.1,KNN,corr_rv,10,0.9910019525176054,0.0006622427074509556,0.9910985007739253,0.0008409327961206303,0.9905282126234016,0.9914756924118091
CPTAC 2C,MCAR,0.1,MissForest,corr_rv,10,0.9929716829525848,0.0007556383933808629,0.992824335353858,0.0007454701648615947,0.9924311318094632,0.9935122340957063
CPTAC 2C,MCAR,0.2,Mean,corr_rv,10,0.9559710813457654,0.002959617299228878,0.9553824401235999,0.0049180414200648,0.9538538986717318,0.958088264019799
CPTAC 2C,MCAR,0.2,KNN,corr_rv,10,0.9806961092133687,0.0014300961646564207,0.9803551897916731,0.001571536313615285,0.9796730800457796,0.9817191383809578
CPTAC 2C,MCAR,0.2,MissForest,corr_rv,10,0.9847160971369705,0.0017695297026250857,0.9849758883896315,0.002774618812236729,0.9834502518438775,0.9859819424300635
CPTAC 2C,MCAR,0.3,Mean,corr_rv,10,0.9191185000117372,0.005192186046539386,0.9199373688629604,0.006148828463720335,0.9154042338662608,0.9228327661572137
CPTAC 2C,MCAR,0.3,KNN,corr_rv,10,0.9677730567841589,0.0029852401787900415,0.9678903970316282,0.002000489362481872,0.9656375446062804,0.9699085689620375
CPTAC 2C,MCAR,0.3,MissForest,corr_rv,10,0.97596488818435,0.002118455530091064,0.9762859462297381,0.003116008205984122,0.9744494363909076,0.9774803399777924
CPTAC 2C,MCAR,0.0,Mean,f1_macro,10,0.9062598753903103,0.0,0.9062598753903103,0.0,0.9062598753903103,0.9062598753903103
CPTAC 2C,MCAR,0.0,KNN,f1_macro,10,0.9062598753903103,0.0,0.9062598753903103,0.0,0.9062598753903103,0.9062598753903103
CPTAC 2C,MCAR,0.0,MissForest,f1_macro,10,0.9062598753903103,0.0,0.9062598753903103,0.0,0.9062598753903103,0.9062598753903103
CPTAC 2C,MCAR,0.05,Mean,f1_macro,10,0.9234447677925939,0.012870283434322225,0.9250336378597248,0.00697224574941957,0.9142379216560517,0.9326516139291361
CPTAC 2C,MCAR,0.05,KNN,f1_macro,10,0.9245413077260902,0.012442285315509023,0.9217645337754035,0.021837513332078506,0.9156406329995834,0.933441982452597
CPTAC 2C,MCAR,0.05,MissForest,f1_macro,10,0.9223843028951725,0.015136471387818885,0.9250336378597248,0.024992236024844683,0.9115563235558689,0.933212282234476
CPTAC 2C,MCAR,0.1,Mean,f1_macro,10,0.9172617594965422,0.01605824105352499,0.9173316490273014,0.013228990212685865,0.9057743858611614,0.928749133131923
CPTAC 2C,MCAR,0.1,KNN,f1_macro,10,0.9250435506522464,0.00944288687341676,0.9248814168922864,0.015743655499090292,0.918288516315048,0.9317985849894448
CPTAC 2C,MCAR,0.1,MissForest,f1_macro,10,0.9184111521328913,0.01743197676268891,0.9156775772536643,0.020921372106154634,0.9059410671709816,0.930881237094801
CPTAC 2C,MCAR,0.2,Mean,f1_macro,10,0.8913581700907788,0.02086018393114789,0.8872240621697143,0.03545213783800749,0.8764356934558138,0.9062806467257437
CPTAC 2C,MCAR,0.2,KNN,f1_macro,10,0.9122281597629425,0.024181115548930175,0.9140721392134437,0.015484560729125962,0.8949300317609407,0.9295262877649443
