cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",2.388047481929054,2.016992315275133,0.3710551666539208,0.2788003530411375,0.4687231685962292,1.0,0.015625
discovery,mcar,0.05,rmse,False,0.0,0.001953125,10,5000,,0.029296875,MissForest,"KNN(k=5,dist)",1.7610788481651167,2.016992315275133,-0.2559134671100161,-0.3401236676576907,-0.180140449567545,-1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,2.0960004545578665,2.8483087786082413,-0.7523083240503741,-0.8265186823795867,-0.677543986952895,-1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,2.250653198847436,2.8483087786082413,-0.5976555797608045,-0.67162479964308,-0.5190203291329836,-1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,2.4792008052240244,2.8483087786082413,-0.3691079733842167,-0.4564140903326593,-0.2752480641444615,-1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,1.833383794390508,2.8483087786082413,-1.0149249842177333,-1.080522081794881,-0.9508544793424992,-1.0,0.015625
discovery,mcar,0.1,rmse,False,22.0,0.625,10,5000,,0.625,RFECA_SVR(k=5),"KNN(k=5,dist)",2.0960004545578665,2.0850778545925936,0.0109225999652731,-0.0568034984266719,0.0765337011781989,0.1999999999999999,0.625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),"KNN(k=5,dist)",2.250653198847436,2.0850778545925936,0.1655753442548426,0.1063863691159109,0.2323874529032361,1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),"KNN(k=5,dist)",2.4792008052240244,2.0850778545925936,0.3941229506314305,0.3039620834104002,0.475809246126147,1.0,0.015625
discovery,mcar,0.1,rmse,False,0.0,0.001953125,10,5000,,0.029296875,MissForest,"KNN(k=5,dist)",1.833383794390508,2.0850778545925936,-0.2516940602020859,-0.2954843355954918,-0.2081623573430472,-1.0,0.015625
