mechanism,missing_rate,method,metric,mean,std,ci95_low,ci95_high,n_replications
MAR,0.2,Mean,recall_macro,0.8540339809242248,0.004040971400670299,0.8511432441259253,0.8569247177225242,10
MAR,0.2,KNN,recall_macro,0.8621136891563721,0.004198118390765903,0.8591105361734552,0.865116842139289,10
MAR,0.2,RFECA-k5,recall_macro,0.8620926003108288,0.005442527649079532,0.8581992505711235,0.8659859500505341,10
MAR,0.2,RFECA-k10,recall_macro,0.8623739096447697,0.005101728147962199,0.85872435318174,0.8660234661077993,10
MAR,0.2,RFECA-k20,recall_macro,0.8627023619655197,0.004707431869987547,0.8593348680679378,0.8660698558631017,10
MAR,0.2,MissForest,recall_macro,0.8613616575622352,0.00620776177830494,0.856920892303504,0.8658024228209663,10
MAR,0.3,Mean,bal_acc,0.83789716438176,0.009863028428180183,0.8308415788818763,0.8449527498816437,10
MAR,0.3,KNN,bal_acc,0.8380687893977367,0.00601165357656083,0.8337683114954406,0.8423692673000327,10
MAR,0.3,RFECA-k5,bal_acc,0.8461774146193273,0.004955242761760507,0.8426326474889407,0.8497221817497138,10
MAR,0.3,RFECA-k10,bal_acc,0.8487007832774841,0.005325832334183331,0.8448909123371842,0.852510654217784,10
MAR,0.3,RFECA-k20,bal_acc,0.8498464532543479,0.0055911893131339275,0.8458467573666082,0.8538461491420877,10
MAR,0.3,MissForest,bal_acc,0.850641678568187,0.005753666891878142,0.8465257532224272,0.8547576039139467,10
MAR,0.3,Mean,f1_macro,0.8480200851951301,0.010115055019838046,0.8407842107324157,0.8552559596578444,10
MAR,0.3,KNN,f1_macro,0.848245423395533,0.005582281160854551,0.8442521000160458,0.8522387467750202,10
MAR,0.3,RFECA-k5,f1_macro,0.8557480643509361,0.005444194596636954,0.8518535221487836,0.8596426065530886,10
MAR,0.3,RFECA-k10,f1_macro,0.8576248921493402,0.005947954418505813,0.8533699818796634,0.8618798024190171,10
MAR,0.3,RFECA-k20,f1_macro,0.8585895875390565,0.006064098639337196,0.8542515926989193,0.8629275823791936,10
MAR,0.3,MissForest,f1_macro,0.8606189427022096,0.00609808216996986,0.8562566375087451,0.8649812478956741,10
MAR,0.3,Mean,precision_macro,0.8625166160923146,0.01006986182590703,0.8553130708929816,0.8697201612916475,10
MAR,0.3,KNN,precision_macro,0.8633338543294207,0.005074383243879936,0.8597038592323694,0.866963849426472,10
MAR,0.3,RFECA-k5,precision_macro,0.8700505374649918,0.006291326286026799,0.8655499937585678,0.8745510811714159,10
MAR,0.3,RFECA-k10,precision_macro,0.8713836509251118,0.0074442285672245,0.8660583706099236,0.8767089312403,10
MAR,0.3,RFECA-k20,precision_macro,0.8716674503766992,0.007012464291161229,0.8666510356181444,0.8766838651352541,10
MAR,0.3,MissForest,precision_macro,0.8749053000617415,0.006375464450222924,0.8703445675385041,0.8794660325849789,10
MAR,0.3,Mean,recall_macro,0.83789716438176,0.009863028428180156,0.8308415788818764,0.8449527498816436,10
MAR,0.3,KNN,recall_macro,0.8380687893977367,0.006011653576560837,0.8337683114954406,0.8423692673000327,10
MAR,0.3,RFECA-k5,recall_macro,0.8461774146193273,0.004955242761760574,0.8426326474889407,0.8497221817497138,10
MAR,0.3,RFECA-k10,recall_macro,0.8487007832774841,0.005325832334183317,0.8448909123371842,0.852510654217784,10
MAR,0.3,RFECA-k20,recall_macro,0.8498464532543479,0.005591189313133923,0.8458467573666082,0.8538461491420877,10
MAR,0.3,MissForest,recall_macro,0.850641678568187,0.005753666891878097,0.8465257532224272,0.8547576039139467,10
MCAR,0.0,Mean,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,KNN,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,RFECA-k5,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,RFECA-k10,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,RFECA-k20,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,MissForest,bal_acc,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,Mean,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MCAR,0.0,KNN,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MCAR,0.0,RFECA-k5,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MCAR,0.0,RFECA-k10,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MCAR,0.0,RFECA-k20,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MCAR,0.0,MissForest,f1_macro,0.8859360095573787,0.0,0.8859360095573787,0.8859360095573787,10
MCAR,0.0,Mean,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MCAR,0.0,KNN,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MCAR,0.0,RFECA-k5,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MCAR,0.0,RFECA-k10,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MCAR,0.0,RFECA-k20,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MCAR,0.0,MissForest,precision_macro,0.9009817008448259,0.0,0.9009817008448259,0.9009817008448259,10
MCAR,0.0,Mean,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,KNN,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,RFECA-k5,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,RFECA-k10,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,RFECA-k20,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.0,MissForest,recall_macro,0.8752464911354514,0.0,0.8752464911354514,0.8752464911354514,10
MCAR,0.05,Mean,bal_acc,0.8694692667552104,0.005184901256327677,0.8657602118347204,0.8731783216757004,10
MCAR,0.05,KNN,bal_acc,0.871721961500203,0.002973847189213065,0.869594599376098,0.873849323624308,10
MCAR,0.05,RFECA-k5,bal_acc,0.871560726465091,0.0036909170902309123,0.8689204034352291,0.8742010494949528,10
MCAR,0.05,RFECA-k10,bal_acc,0.8725492380248479,0.00299724899535978,0.8704051352571036,0.8746933407925921,10
MCAR,0.05,RFECA-k20,bal_acc,0.8722983442530939,0.0019060004716490078,0.8709348736529164,0.8736618148532714,10
MCAR,0.05,MissForest,bal_acc,0.8716584870342894,0.003808668398428552,0.8689339297929213,0.8743830442756575,10
MCAR,0.05,Mean,f1_macro,0.878740165462206,0.0047473556388957045,0.8753441118208232,0.8821362191035889,10
MCAR,0.05,KNN,f1_macro,0.8812234101019347,0.00282992827665402,0.8791990013658286,0.8832478188380408,10
MCAR,0.05,RFECA-k5,f1_macro,0.881190811925919,0.003630579385841575,0.8785936518895825,0.8837879719622554,10
MCAR,0.05,RFECA-k10,f1_macro,0.8821873344317991,0.0029270451378553756,0.8800934524783464,0.8842812163852518,10
MCAR,0.05,RFECA-k20,f1_macro,0.8822424970815849,0.0018535896142256405,0.8809165189502131,0.8835684752129567,10
MCAR,0.05,MissForest,f1_macro,0.881212014345808,0.00406121612262882,0.8783067953458461,0.8841172333457699,10
MCAR,0.05,Mean,precision_macro,0.8922358612383221,0.0043452632159587095,0.8891274471885258,0.8953442752881184,10
MCAR,0.05,KNN,precision_macro,0.8950385581831295,0.003232238225956436,0.8927263542464492,0.8973507621198098,10
MCAR,0.05,RFECA-k5,precision_macro,0.8950149409454443,0.0039029664575571475,0.8922229269362589,0.8978069549546297,10
MCAR,0.05,RFECA-k10,precision_macro,0.8960541315384084,0.0031200895422095407,0.8938221539371419,0.8982861091396749,10
MCAR,0.05,RFECA-k20,precision_macro,0.8963823684119918,0.002030300229901788,0.8949299791213378,0.8978347577026459,10
MCAR,0.05,MissForest,precision_macro,0.8949657560033577,0.0047745482703076296,0.8915502499253029,0.8983812620814126,10
MCAR,0.05,Mean,recall_macro,0.8694692667552104,0.005184901256327715,0.8657602118347204,0.8731783216757004,10
MCAR,0.05,KNN,recall_macro,0.871721961500203,0.002973847189213055,0.869594599376098,0.873849323624308,10
MCAR,0.05,RFECA-k5,recall_macro,0.871560726465091,0.0036909170902309006,0.8689204034352291,0.8742010494949528,10
