imputer,missing_rate,model,f1_mean,f1_std,bal_mean,bal_std,n,f1_pm_std,bal_pm_std
RFECA_SVR(k=20),0.2,RF,0.8728768477898912,0.016111461667773313,0.8637121212121212,0.018091984864438394,10,0.8729 ± 0.0161,0.8637 ± 0.0181
RFECA_SVR(k=20),0.2,SVC,0.8698486952660864,0.02669763406604773,0.8455,0.03267450775130555,10,0.8698 ± 0.0267,0.8455 ± 0.0327
RFECA_SVR(k=20),0.2,GB,0.7299812993408945,0.06665414552914582,0.7228409090909091,0.056947957852597896,10,0.7300 ± 0.0667,0.7228 ± 0.0569
RFECA_SVR(k=20),0.3,EnsembleHard,0.8612716913521261,0.03595526919474765,0.8469318181818182,0.03634760887670568,10,0.8613 ± 0.0360,0.8469 ± 0.0363
RFECA_SVR(k=20),0.3,RF,0.860820257278953,0.022407740754313312,0.849280303030303,0.021397287356907064,10,0.8608 ± 0.0224,0.8493 ± 0.0214
RFECA_SVR(k=20),0.3,EnsembleSoft,0.8564229975338671,0.03425493479018168,0.8443560606060606,0.03619817592802529,10,0.8564 ± 0.0343,0.8444 ± 0.0362
RFECA_SVR(k=20),0.3,LogReg,0.8437833695290216,0.043320850980260395,0.8403863636363635,0.043389150937058835,10,0.8438 ± 0.0433,0.8404 ± 0.0434
RFECA_SVR(k=20),0.3,SVC,0.8389112670826314,0.02551302881072143,0.8119242424242424,0.029436824386059712,10,0.8389 ± 0.0255,0.8119 ± 0.0294
RFECA_SVR(k=20),0.3,GB,0.7112179501297192,0.057267686361849104,0.708780303030303,0.05016023007579821,10,0.7112 ± 0.0573,0.7088 ± 0.0502
SimpleMean,0.0,EnsembleSoft,0.9419927536231885,0.0,0.9333333333333332,0.0,10,0.9420 ± 0.0000,0.9333 ± 0.0000
SimpleMean,0.0,SVC,0.9319400527009222,0.0,0.925,0.0,10,0.9319 ± 0.0000,0.9250 ± 0.0000
